Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	16.77005	0.0002044	0.0059	0.0059	6.785533	0.00882
2	16.71431	0.0002198	0.0059	0.0058	6.793501	0.00884
3	16.65920	0.0003216	0.0059	0.0059	6.801384	0.00914
4	16.60809	0.0003925	0.0089	0.0089	6.808712	0.00936
5	16.59631	0.0003894	0.0059	0.0058	6.810405	0.00935
6	16.43912	0.0276690	0.0242	0.0240	6.826845	0.15972
7	14.30681	2.2825551	0.1489	0.1480	6.414777	17.73519
8	13.59327	2.7797001	0.2281	0.2268	6.326569	22.42490
9	12.93940	2.9147975	0.3985	0.3963	6.351365	24.03579
10	12.65334	2.9305398	0.6663	0.6626	6.377388	24.36206
11	12.90648	2.9462844	0.6510	0.6474	6.343697	24.34309
12	12.91145	2.9593394	0.7028	0.6989	6.338463	24.45880
13	12.86077	2.9550240	0.6754	0.6717	6.345586	24.45214
14	12.91830	2.9566892	0.7089	0.7050	6.338662	24.43024
15	13.02585	2.9416613	0.6602	0.6566	6.332226	24.22474
16	13.09235	2.9611190	0.7150	0.7111	6.318006	24.35878
17	13.21642	2.9384793	0.6542	0.6506	6.312470	24.07507
18	13.22088	2.9583946	0.7151	0.7111	6.304943	24.25211
19	13.30152	2.9499464	0.6572	0.6536	6.299137	24.12477
20	13.18033	2.9629905	0.7272	0.7232	6.307738	24.31950
21	13.25396	2.9541574	0.6512	0.6476	6.302834	24.19286
22	13.15756	2.9621451	0.7120	0.7081	6.310520	24.32638
23	13.34424	2.9588703	0.6664	0.6628	6.291353	24.17817
24	13.25671	2.9635274	0.7182	0.7143	6.299230	24.27568
25	13.34601	2.9542108	0.6482	0.6446	6.292796	24.13509
26	13.25537	2.9413760	0.7213	0.7173	6.307192	24.07661
27	13.22602	2.9423582	0.6909	0.6871	6.310050	24.10402
28	13.19376	2.9431900	0.6696	0.6659	6.313282	24.13194
29	13.19846	2.9369139	0.7153	0.7114	6.314989	24.07226
30	13.27648	2.9305880	0.6727	0.6690	6.308690	23.96608
31	13.33510	2.9359675	0.7154	0.7114	6.300395	23.97771
32	13.38983	2.9352205	0.6667	0.6631	6.294691	23.93671
33	13.45417	2.9263043	0.7215	0.7175	6.290804	23.81650
34	13.50489	2.9375733	0.6698	0.6662	6.281356	23.88594
35	13.52387	2.9123009	0.7003	0.6965	6.288095	23.64790
36	13.57111	2.9244214	0.6790	0.6753	6.278742	23.72711
37	13.61087	2.9021037	0.7309	0.7269	6.282162	23.50332
38	13.66243	2.9173787	0.6549	0.6513	6.271269	23.60793
39	13.70787	2.8871084	0.7280	0.7240	6.276786	23.31065
40	13.75746	2.9176841	0.6763	0.6726	6.260868	23.55234
41	13.76937	2.8832083	0.7008	0.6969	6.271436	23.23879
42	13.79495	2.9097900	0.6917	0.6879	6.259525	23.45928
43	13.79768	2.8875563	0.6857	0.6819	6.266865	23.26028
44	13.81209	2.8986860	0.7223	0.7183	6.261481	23.35029
45	13.82178	2.8893092	0.6737	0.6700	6.263646	23.26127
46	13.83235	2.8910207	0.7073	0.7034	6.261913	23.27005
47	13.83533	2.9014543	0.6860	0.6823	6.258013	23.36076
48	13.83726	2.8963735	0.7014	0.6975	6.259546	23.31453
