Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	14.93194	0.0025545	-0.0207	-0.0206	7.056916	0.01918
2	14.92745	0.0024773	-0.0208	-0.0207	7.057621	0.01878
3	14.92360	0.0024187	-0.0178	-0.0177	7.058223	0.01847
4	14.92072	0.0023601	-0.0208	-0.0207	7.058678	0.01817
5	14.91847	0.0023045	-0.0178	-0.0177	7.059034	0.01788
6	14.91674	0.0022552	-0.0210	-0.0209	7.059310	0.01762
7	14.73518	0.2922869	0.0216	0.0215	7.004691	1.92670
8	12.50677	3.1983265	0.4356	0.4332	6.295657	26.93496
9	11.46347	3.2544913	0.7582	0.7540	6.386536	28.23616
10	11.35302	3.2773011	0.7460	0.7419	6.389653	28.54032
11	11.30931	3.3001715	0.7277	0.7237	6.385496	28.79493
12	11.32881	3.3116198	0.7460	0.7419	6.378962	28.89029
13	11.32126	3.3156285	0.7551	0.7510	6.378217	28.93492
14	11.28936	3.3118596	0.7308	0.7268	6.383102	28.92349
15	11.26299	3.3119040	0.7399	0.7358	6.385918	28.94458
16	11.25853	3.3130385	0.7581	0.7540	6.385956	28.95905
17	11.23808	3.3148414	0.7520	0.7479	6.387451	28.99257
18	11.22372	3.3121124	0.7307	0.7267	6.390057	28.97742
19	11.24074	3.3157807	0.7490	0.7449	6.386799	28.99957
20	11.25088	3.3158121	0.7612	0.7570	6.385698	28.99191
21	11.26038	3.3145827	0.7399	0.7358	6.385156	28.97255
22	11.28530	3.3186745	0.7368	0.7328	6.380891	28.99258
23	11.30420	3.3189518	0.7581	0.7540	6.378757	28.98042
24	11.33136	3.3255699	0.7490	0.7449	6.373282	29.02309
25	11.33368	3.3188506	0.7307	0.7267	6.375637	28.95634
26	11.29997	3.3216958	0.7490	0.7449	6.378146	29.01028
27	11.31302	3.3311578	0.7521	0.7479	6.373078	29.09154
28	11.36818	3.3354657	0.7369	0.7329	6.365517	29.08976
29	11.38684	3.3388721	0.7461	0.7420	6.362211	29.10798
30	11.41539	3.3416221	0.7491	0.7450	6.358108	29.11205
31	11.44472	3.3459354	0.7430	0.7389	6.353324	29.13058
32	11.43849	3.3410717	0.7461	0.7420	6.355860	29.08858
33	11.39114	3.3398330	0.7461	0.7420	6.361382	29.11387
34	11.36138	3.3314794	0.7371	0.7330	6.367785	29.05660
35	11.36405	3.3281010	0.7432	0.7391	6.368806	29.02187
36	11.39300	3.3267560	0.7584	0.7542	6.366233	28.98618
37	11.42708	3.3317061	0.7402	0.7362	6.360685	29.00722
38	11.43651	3.3234168	0.7402	0.7362	6.362874	28.91993
39	11.40957	3.3200860	0.7465	0.7424	6.367037	28.90887
40	11.39963	3.3291045	0.7526	0.7484	6.364619	29.00364
41	11.40847	3.3247612	0.7313	0.7273	6.365351	28.95483
42	11.34018	3.3150862	0.7436	0.7395	6.376398	28.91488
43	11.33780	3.3195317	0.7711	0.7668	6.374932	28.95967
44	11.37277	3.3230452	0.7498	0.7457	6.369829	28.96621
45	11.35366	3.3163343	0.7256	0.7216	6.374471	28.91640
46	11.28623	3.3083000	0.7469	0.7428	6.384822	28.89151
47	11.29342	3.3196709	0.7774	0.7732	6.379634	28.99583
48	11.32231	3.3256142	0.7349	0.7308	6.374234	29.03063
49	11.32689	3.3144874	0.7350	0.7310	6.378055	28.91950
50	11.26826	3.3125468	0.7777	0.7735	6.385102	28.94665
51	11.29869	3.3268517	0.7656	0.7614	6.376281	29.06116
