Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	14.39606	0.0002229	0.0945	0.0940	7.140308	0.00784
2	14.39707	0.0002507	0.0914	0.0909	7.140145	0.00793
3	14.39726	0.0002476	0.0913	0.0908	7.140116	0.00792
4	14.40035	0.0002722	0.0912	0.0907	7.139629	0.00801
5	14.39985	0.0003678	0.0882	0.0877	7.139692	0.00837
6	14.38968	0.0005034	0.0912	0.0907	7.141257	0.00892
7	14.38747	0.0005651	0.0882	0.0877	7.141591	0.00919
8	14.38053	0.0005743	0.0911	0.0906	7.142675	0.00923
9	14.38520	0.0005713	0.0942	0.0937	7.141945	0.00922
10	14.38873	0.0005682	0.0941	0.0936	7.141393	0.00920
11	14.39568	0.0005651	0.0912	0.0907	7.140307	0.00919
12	14.40737	0.0005651	0.0911	0.0906	7.138481	0.00920
13	14.40010	0.0005651	0.0942	0.0936	7.139616	0.00919
14	14.39069	0.0751962	0.1063	0.1057	7.120961	0.46805
15	11.96803	2.7438447	0.4899	0.4872	6.524678	23.07582
16	10.19908	3.2482162	0.8185	0.8140	6.527812	29.16461
17	9.97772	3.2637322	0.8063	0.8018	6.546086	29.49860
18	9.96176	3.2820182	0.8002	0.7958	6.540255	29.69477
19	10.00260	3.2947060	0.8002	0.7958	6.530442	29.78826
20	10.00024	3.2835627	0.8063	0.8018	6.535332	29.67863
21	10.02053	3.2831794	0.8124	0.8080	6.533235	29.65815
22	10.04779	3.2859367	0.8185	0.8140	6.529064	29.66338
23	10.06811	3.2852140	0.8155	0.8111	6.527108	29.63951
24	10.08299	3.2837503	0.8124	0.8079	6.526063	29.61272
25	10.10091	3.2928499	0.8155	0.8111	6.520315	29.68891
26	10.11400	3.2895430	0.8154	0.8110	6.520231	29.64518
27	10.11080	3.2924536	0.8216	0.8171	6.519383	29.67685
28	10.11878	3.2997438	0.8216	0.8171	6.515491	29.74308
29	10.15404	3.3152692	0.8216	0.8171	6.505199	29.86905
30	10.18917	3.3245977	0.8216	0.8171	6.497498	29.93316
31	10.21807	3.3323698	0.8217	0.8172	6.491135	29.98680
32	10.24406	3.3344480	0.8185	0.8140	6.487436	29.98604
33	10.26584	3.3445059	0.8216	0.8171	6.480936	30.06824
34	10.28853	3.3469287	0.8216	0.8171	6.477468	30.07358
35	10.31914	3.3528528	0.8156	0.8111	6.471711	30.10720
36	10.35058	3.3584769	0.8217	0.8172	6.465998	30.13710
37	10.38237	3.3612330	0.8187	0.8142	6.461422	30.13815
38	10.41284	3.3654357	0.8126	0.8082	6.456409	30.15467
39	10.44089	3.3670652	0.8188	0.8143	6.452708	30.14761
40	10.46596	3.3709598	0.8189	0.8144	6.448417	30.16549
41	10.49019	3.3698683	0.8158	0.8114	6.446238	30.13462
42	10.51676	3.3736499	0.8159	0.8115	6.441838	30.15012
43	10.54358	3.3754777	0.8160	0.8115	6.438206	30.14604
44	10.56820	3.3764170	0.8069	0.8025	6.435172	30.13500
45	10.58971	3.3796680	0.8132	0.8087	6.431546	30.14939
