Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	17.48992	0.0007593	0.0926	0.0921	6.683993	0.01111
2	17.48792	0.0007593	0.0956	0.0951	6.684271	0.01111
3	17.47335	0.0007501	0.0926	0.0921	6.686299	0.01107
4	17.46279	0.0008611	0.0925	0.0920	6.687750	0.01152
5	17.45044	0.0010492	0.0925	0.0920	6.689437	0.01232
6	17.43947	0.0012712	0.0925	0.0920	6.690925	0.01330
7	17.44671	0.0013822	0.0925	0.0920	6.689897	0.01380
8	17.42631	0.0814954	0.1076	0.1070	6.674293	0.47255
9	14.65576	2.2984571	0.3846	0.3825	6.368740	17.71107
10	12.02015	3.2744452	1.1301	1.1239	6.319294	28.00547
11	11.82840	3.3007702	1.1849	1.1784	6.329774	28.40033
12	11.78331	3.2760979	1.0571	1.0513	6.343912	28.19963
13	11.67085	3.3158708	1.1271	1.1209	6.340796	28.66537
14	11.64982	3.3297398	1.3493	1.3419	6.337750	28.81439
15	11.54465	3.3224883	1.5136	1.5052	6.351708	28.82643
16	11.41935	3.3051121	1.5714	1.5628	6.371781	28.75663
17	11.33362	3.3034445	1.5806	1.5719	6.381625	28.80726
18	11.31093	3.3129373	1.5775	1.5688	6.380381	28.91669
19	11.28855	3.3069838	1.5714	1.5628	6.385096	28.87665
20	11.29765	3.3078970	1.5775	1.5688	6.383763	28.87836
21	11.29649	3.3081238	1.5806	1.5719	6.383800	28.88146
22	11.30798	3.3171232	1.5836	1.5749	6.379075	28.95947
23	11.31552	3.3236645	1.5806	1.5719	6.375729	29.01679
24	11.32074	3.3193997	1.5775	1.5689	6.376823	28.97147
25	11.30003	3.3257662	1.5745	1.5658	6.376572	29.04930
26	11.34843	3.3470883	1.5745	1.5658	6.363140	29.21735
27	11.41423	3.3626228	1.5715	1.5629	6.350146	29.31541
28	11.43838	3.3609746	1.5684	1.5598	6.348219	29.28038
29	11.46010	3.3728909	1.5715	1.5629	6.341334	29.37818
30	11.48795	3.3725035	1.5716	1.5629	6.338538	29.35235
31	11.51104	3.3919629	1.5746	1.5660	6.328635	29.52169
32	11.55633	3.3982231	1.5747	1.5661	6.321475	29.54596
33	11.59881	3.4010554	1.5778	1.5691	6.315935	29.53940
34	11.64174	3.4076662	1.5809	1.5722	6.308917	29.56882
35	11.68930	3.4107373	1.5779	1.5692	6.302776	29.56048
36	11.73352	3.4163922	1.5810	1.5723	6.296016	29.57961
37	11.76481	3.4193071	1.5780	1.5693	6.291652	29.58269
38	11.78607	3.4209914	1.5842	1.5755	6.288802	29.58193
39	11.82670	3.4243992	1.5842	1.5755	6.283291	29.58229
40	11.86884	3.4255862	1.5813	1.5726	6.278469	29.56019
41	11.90054	3.4244048	1.5844	1.5757	6.275625	29.52377
42	11.93338	3.4295960	1.5845	1.5758	6.270272	29.54735
43	11.97010	3.4308923	1.5846	1.5759	6.265987	29.53066
44	12.00371	3.4319142	1.5877	1.5790	6.262130	29.51382
45	12.03328	3.4313708	1.5878	1.5791	6.259278	29.48529
46	12.06091	3.4325589	1.5849	1.5762	6.255982	29.47480
47	12.08756	3.4332359	1.5880	1.5793	6.252981	29.46023
48	12.11233	3.4333251	1.5851	1.5764	6.250395	29.44158
49	12.13528	3.4329350	1.5852	1.5765	6.248175	29.41981
50	12.15611	3.4335802	1.5853	1.5766	6.245791	29.40957
51	12.17624	3.4345386	1.5915	1.5828	6.243364	29.40286
52	12.19530	3.4339760	1.5886	1.5799	6.241611	29.38256
53	12.21343	3.4337329	1.5918	1.5831	6.239837	29.36604
54	12.23038	3.4333046	1.5889	1.5801	6.238253	29.34870
55	12.24608	3.4331319	1.5921	1.5833	6.236703	29.33477
56	12.26072	3.4333682	1.5892	1.5804	6.235112	29.32555
57	12.27459	3.4329015	1.5893	1.5806	6.233859	29.31029
58	12.28793	3.4312785	1.5895	1.5807	6.233087	29.28451
59	12.30032	3.4314444	1.5896	1.5808	6.231754	29.27641
60	12.31242	3.4311185	1.5867	1.5780	6.230632	29.26389
61	12.32339	3.4300962	1.5838	1.5751	6.229882	29.24567
62	12.33365	3.4299237	1.5871	1.5784	6.228893	29.23605
63	12.34355	3.4292529	1.5902	1.5815	6.228124	29.22200
64	12.35256	3.4276944	1.5904	1.5817	6.227772	29.20028
65	12.36169	3.4272600	1.5906	1.5818	6.226994	29.18908
66	12.37028	3.4258616	1.5877	1.5790	6.226625	29.16920
67	12.37757	3.4250123	1.5879	1.5792	6.226190	29.15553
68	12.38372	3.4241377	1.5911	1.5824	6.225879	29.14250
69	12.38927	3.4229823	1.5913	1.5825	6.225733	29.12730
70	12.39435	3.4226822	1.5884	1.5797	6.225322	29.12053
71	12.39919	3.4218078	1.5885	1.5798	6.225145	29.10854
72	12.40343	3.4209781	1.5887	1.5800	6.225014	29.09743
73	12.40732	3.4198423	1.5889	1.5801	6.225031	29.08372
74	12.41066	3.4189618	1.5921	1.5834	6.225010	29.07283
75	12.41365	3.4179857	1.5923	1.5836	6.225061	29.06132
76	12.41616	3.4167100	1.5955	1.5867	6.225270	29.04735
77	12.41813	3.4158808	1.5957	1.5869	6.225371	29.03802
78	12.41999	3.4147074	1.5929	1.5841	6.225610	29.02553
79	12.42136	3.4136170	1.5930	1.5842	6.225868	29.01420
