Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	13.64895	0.0000996	0.0116	0.0116	7.258824	0.00713
2	13.64369	0.0000996	0.0116	0.0116	7.259670	0.00713
3	13.64159	0.0001397	0.0147	0.0146	7.260004	0.00723
4	13.64041	0.0002044	0.0116	0.0115	7.260184	0.00743
5	13.63973	0.0002106	0.0146	0.0146	7.260293	0.00745
6	13.63905	0.0002661	0.0147	0.0146	7.260394	0.00765
7	13.63967	0.0002692	0.0086	0.0085	7.260293	0.00766
8	13.64035	0.0002630	0.0115	0.0115	7.260185	0.00764
9	13.64091	0.0002568	0.0116	0.0116	7.260096	0.00761
10	13.64146	0.0002507	0.0147	0.0146	7.260008	0.00759
11	11.84659	1.5544815	0.1821	0.1811	6.992481	12.44743
12	8.70499	2.8287717	0.5290	0.5261	6.884624	26.10049
13	8.17015	2.8606255	0.6995	0.6957	6.937400	26.82795
14	8.38271	2.8766422	0.6143	0.6109	6.903332	26.83106
15	8.31196	2.9011348	0.6326	0.6291	6.900983	27.13745
16	8.19122	2.9141161	0.6540	0.6504	6.910093	27.36513
17	8.11168	2.9197800	0.6722	0.6685	6.917413	27.48597
18	8.04115	2.9035470	0.7362	0.7321	6.933771	27.37246
19	8.10987	2.9119682	1.0771	1.0711	6.921260	27.40613
20	8.44948	2.9159510	1.1623	1.1559	6.877132	27.18385
21	8.12552	2.9202666	1.1715	1.1650	6.915469	27.47999
22	7.92697	2.9212839	1.1685	1.1620	6.939851	27.64674
23	7.83724	2.9261654	1.1746	1.1681	6.948831	27.76887
24	7.77666	2.9294314	1.1716	1.1651	6.954909	27.85134
25	7.75014	2.9318742	1.1776	1.1711	6.957094	27.89816
26	7.73886	2.9366049	1.1807	1.1742	6.956279	27.95685
27	7.75448	2.9480520	1.1777	1.1712	6.948923	28.06455
28	7.81009	2.9631269	1.1807	1.1742	6.934877	28.17801
29	7.85543	2.9708383	1.1808	1.1743	6.925610	28.22229
30	7.89477	2.9799251	1.1840	1.1775	6.916470	28.28573
31	7.93967	2.9874165	1.1840	1.1775	6.907408	28.32784
32	7.98101	2.9920588	1.1810	1.1745	6.900136	28.34295
33	8.01637	2.9992037	1.1811	1.1746	6.892454	28.38900
34	8.05373	3.0038347	1.1873	1.1807	6.885706	28.40709
35	8.09385	3.0075147	1.1812	1.1747	6.879073	28.41300
36	8.13690	3.0123267	1.1813	1.1748	6.871571	28.42830
37	8.17742	3.0151471	1.1875	1.1810	6.865309	28.42486
38	8.21847	3.0179745	1.1785	1.1720	6.858991	28.42108
39	8.25575	3.0194706	1.1847	1.1782	6.853753	28.40650
40	8.27103	3.0143132	1.1817	1.1752	6.854249	28.34062
41	8.28615	3.0140334	1.1788	1.1723	6.852530	28.32554
42	8.30675	3.0215084	1.1850	1.1785	6.846602	28.38649
43	8.34681	3.0255069	1.1851	1.1786	6.839902	28.39566
44	8.37109	3.0250014	1.1792	1.1728	6.837179	28.37086
45	8.41503	3.0268580	1.1854	1.1789	6.830998	28.35472
46	8.44076	3.0273692	1.1856	1.1791	6.827644	28.33933
47	8.47868	3.0278256	1.1827	1.1762	6.822840	28.31360
48	8.51535	3.0291347	1.1889	1.1824	6.817808	28.29772
49	8.54832	3.0291465	1.1801	1.1736	6.813813	28.27144
50	8.57425	3.0292498	1.1832	1.1767	6.810632	28.25178
51	8.60019	3.0307724	1.1865	1.1800	6.806813	28.24673
52	8.62561	3.0304798	1.1836	1.1771	6.803876	28.22344
53	8.64942	3.0307963	1.1868	1.1803	6.800862	28.20771
54	8.66988	3.0307839	1.1932	1.1866	6.798400	28.19128
55	8.68917	3.0294070	1.1842	1.1777	6.796691	28.16180
56	8.70748	3.0297541	1.1906	1.1840	6.794329	28.15080
57	8.72630	3.0285783	1.1877	1.1812	6.792588	28.12380
58	8.74252	3.0277560	1.1849	1.1784	6.791002	28.10251
59	8.75934	3.0282674	1.1882	1.1816	6.788749	28.09442
60	8.77508	3.0261298	1.1884	1.1819	6.787806	28.06007
61	8.78524	3.0268056	1.1947	1.1881	6.786284	28.05895
62	8.79958	3.0258191	1.1889	1.1824	6.784997	28.03752
63	8.80964	3.0239561	1.1861	1.1795	6.784616	28.01052
64	8.81491	3.0233961	1.1894	1.1828	6.784231	28.00064
65	8.82344	3.0233352	1.1897	1.1831	6.783231	27.99328
66	8.83241	3.0221361	1.1929	1.1864	6.782685	27.97395
67	8.83927	3.0222517	1.1932	1.1867	6.781809	27.96973
68	8.84726	3.0204504	1.1905	1.1839	6.781647	27.94504
69	8.85156	3.0185340	1.1877	1.1812	6.781980	27.92209
70	8.85466	3.0185644	1.1910	1.1844	6.781593	27.91996
71	8.86059	3.0176945	1.1912	1.1847	6.781266	27.90641
72	8.86549	3.0173661	1.1946	1.1880	6.780822	27.89921
73	8.87044	3.0156572	1.1918	1.1853	6.780984	27.87788
74	8.87431	3.0134623	1.1952	1.1886	6.781491	27.85245
75	8.87703	3.0132981	1.1954	1.1889	6.781236	27.84864
76	8.88182	3.0110978	1.1867	1.1801	6.781634	27.82244
77	8.88346	3.0110492	1.1931	1.1865	6.781459	27.82067
78	8.88716	3.0086065	1.1903	1.1837	6.782095	27.79286
79	8.88770	3.0072700	1.1906	1.1840	6.782621	27.77880
80	8.89037	3.0066626	1.1970	1.1904	6.782569	27.77052
81	8.89271	3.0045187	1.1882	1.1816	6.783236	27.74684
82	8.88934	3.0040877	1.1946	1.1880	6.783834	27.74508
83	8.89168	3.0035108	1.2009	1.1943	6.783807	27.73737
84	8.89070	3.0007184	1.1891	1.1826	6.785161	27.70967
85	8.88683	3.0005364	1.1986	1.1920	6.785709	27.71083
86	8.88825	2.9992619	1.1959	1.1893	6.786102	27.69673
87	8.88487	2.9977026	1.1931	1.1866	6.787200	27.68347
88	8.88264	2.9970110	1.1995	1.1929	6.787776	27.67816
89	8.87921	2.9947910	1.1908	1.1842	6.789174	27.65820
90	8.87442	2.9949062	1.1972	1.1906	6.789702	27.66310
91	8.87393	2.9929536	1.1975	1.1909	6.790627	27.64358
92	8.86963	2.9919653	1.2008	1.1942	6.791585	27.63684
93	8.86778	2.9907953	1.1951	1.1885	6.792327	27.62636
94	8.86032	2.9884801	1.1955	1.1889	6.794256	27.60855
95	8.85390	2.9886680	1.2049	1.1983	6.794950	27.61545
96	8.85314	2.9863534	1.1961	1.1896	6.796069	27.59244
97	8.84737	2.9856870	1.1965	1.1899	6.797063	27.59013
98	8.84536	2.9849177	1.2029	1.1963	6.797648	27.58384
99	8.84133	2.9830342	1.1972	1.1906	6.798972	27.56776
100	8.83285	2.9823681	1.2006	1.1940	6.800297	27.56755
101	8.82899	2.9819201	1.2071	1.2004	6.800964	27.56597
102	8.82573	2.9798677	1.1953	1.1887	6.802272	27.54757
103	8.81817	2.9791595	1.2047	1.1980	6.803504	27.54621
104	8.81420	2.9786390	1.2050	1.1984	6.804217	27.54397
105	8.80991	2.9760490	1.1993	1.1928	6.805890	27.52088
106	8.79790	2.9755227	1.2057	1.1991	6.807583	27.52481
107	8.79562	2.9745366	1.2061	1.1995	6.808300	27.51652
108	8.78953	2.9725043	1.1973	1.1908	6.809944	27.50049
109	8.77715	2.9722323	1.2099	1.2033	6.811571	27.50731
110	8.77590	2.9703336	1.2043	1.1976	6.812570	27.48889
111	8.76623	2.9692152	1.2015	1.1949	6.814245	27.48495
112	8.76200	2.9685321	1.2049	1.1983	6.815065	27.48126
113	8.75771	2.9674502	1.2022	1.1956	6.816070	27.47353
114	8.75082	2.9666163	1.2026	1.1960	6.817282	27.47035
115	8.74572	2.9661268	1.2061	1.1995	6.818122	27.46929
116	8.74176	2.9646343	1.2003	1.1937	6.819271	27.45711
