Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	15.64488	0.0024310	0.0228	0.0227	6.949263	0.01859
2	15.64475	0.0024002	0.0258	0.0257	6.949289	0.01843
3	15.64390	0.0023786	0.0228	0.0226	6.949420	0.01832
4	15.64252	0.0023539	0.0227	0.0226	6.949630	0.01820
5	15.64154	0.0023323	0.0258	0.0256	6.949781	0.01809
6	15.64141	0.0023076	0.0227	0.0225	6.949806	0.01796
7	15.63853	0.0022860	0.0227	0.0225	6.950240	0.01785
8	15.63807	0.0022737	0.0257	0.0256	6.950311	0.01779
9	15.63761	0.0022428	0.0257	0.0256	6.950386	0.01763
10	15.63709	0.0022243	0.0257	0.0255	6.950468	0.01754
11	15.63709	0.0022058	0.0226	0.0225	6.950472	0.01744
12	15.63689	0.0021842	0.0227	0.0226	6.950505	0.01734
13	15.63539	0.0021626	0.0227	0.0225	6.950734	0.01723
14	15.63428	0.0021379	0.0227	0.0225	6.950905	0.01710
15	15.63467	0.0021225	0.0257	0.0255	6.950850	0.01702
16	15.63460	0.0021071	0.0227	0.0226	6.950863	0.01695
17	15.63506	0.0020917	0.0257	0.0256	6.950798	0.01687
18	15.63559	0.0020793	0.0227	0.0226	6.950723	0.01681
19	15.63624	0.0020732	0.0257	0.0256	6.950627	0.01678
20	15.63676	0.0020732	0.0257	0.0256	6.950549	0.01678
21	15.63670	0.0020824	0.0227	0.0225	6.950556	0.01682
22	15.63729	0.0021071	0.0258	0.0256	6.950463	0.01695
23	15.63729	0.0021194	0.0227	0.0226	6.950461	0.01701
24	15.63702	0.0021349	0.0227	0.0226	6.950497	0.01709
25	15.63820	0.0021379	0.0257	0.0256	6.950320	0.01710
26	15.63886	0.0021133	0.0197	0.0196	6.950228	0.01698
27	15.63814	0.0020855	0.0258	0.0257	6.950341	0.01684
28	15.63788	0.0020670	0.0227	0.0225	6.950384	0.01675
29	15.63801	0.0020732	0.0258	0.0256	6.950363	0.01678
30	15.63820	0.0020670	0.0228	0.0226	6.950335	0.01675
31	15.63899	0.0020732	0.0228	0.0226	6.950217	0.01678
32	15.63931	0.0020701	0.0258	0.0257	6.950169	0.01676
33	15.63945	0.0021163	0.0258	0.0256	6.950140	0.01699
34	15.63624	0.0028106	0.0288	0.0287	6.950467	0.02054
35	15.63107	0.0037737	0.0228	0.0226	6.951024	0.02558
36	15.62760	0.0035422	0.0258	0.0257	6.951593	0.02436
37	15.61779	0.0029927	0.0289	0.0287	6.953177	0.02148
38	15.61112	0.0027674	0.0258	0.0257	6.954222	0.02031
39	15.59609	0.0025545	0.0259	0.0257	6.956512	0.01922
40	15.58753	0.0023570	0.0258	0.0257	6.957833	0.01821
41	15.57734	0.0021780	0.0259	0.0258	6.959393	0.01730
