Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	16.86382	0.0011509	0.0379	0.0377	6.772008	0.01261
2	16.85738	0.0011447	0.0349	0.0347	6.772926	0.01258
3	16.85976	0.0011293	0.0378	0.0376	6.772591	0.01251
4	16.83929	0.0013730	0.0379	0.0377	6.775460	0.01362
5	16.80780	0.0025606	0.0379	0.0377	6.779715	0.01932
6	16.79677	0.0029402	0.0408	0.0406	6.781211	0.02121
7	16.79758	0.0032427	0.0408	0.0406	6.781032	0.02273
8	16.78560	0.0029217	0.0378	0.0376	6.782807	0.02112
9	16.75538	0.0027118	0.0378	0.0376	6.787167	0.02007
10	16.73936	0.0024064	0.0378	0.0376	6.789518	0.01855
11	16.76045	0.0021996	0.0408	0.0406	6.786546	0.01754
12	16.76559	0.0020176	0.0378	0.0376	6.785849	0.01665
13	15.75139	0.9628680	0.1717	0.1708	6.656816	6.70346
14	10.11361	3.1738332	0.7894	0.7851	6.568105	28.49373
15	8.86467	3.2124785	0.8716	0.8669	6.694581	29.90088
16	8.74973	3.2438356	0.8747	0.8699	6.693969	30.32224
17	8.81741	3.2779119	0.8686	0.8638	6.671102	30.61670
18	8.77036	3.2574372	0.8656	0.8608	6.685560	30.44533
19	8.73330	3.2636264	0.8929	0.8880	6.687071	30.54133
20	8.67421	3.2539074	0.8686	0.8638	6.698192	30.49147
21	8.64460	3.2562927	0.8686	0.8638	6.700541	30.54178
22	8.65797	3.2628878	0.8778	0.8729	6.696058	30.59872
23	8.63632	3.2542521	0.8716	0.8668	6.702406	30.52773
24	8.63048	3.2523120	0.8838	0.8790	6.703947	30.51261
25	8.64546	3.2603006	0.8869	0.8821	6.698652	30.58266
26	8.64730	3.2517611	0.8686	0.8638	6.702252	30.49238
27	8.70456	3.2671490	0.8778	0.8729	6.688805	30.60267
28	8.73541	3.2850335	0.8747	0.8699	6.677321	30.76147
29	8.81284	3.3211107	0.8839	0.8791	6.652528	31.06807
30	8.86489	3.3341407	0.8839	0.8790	6.640893	31.15746
31	8.90911	3.3278308	0.8688	0.8640	6.638678	31.05341
32	8.94192	3.3510698	0.8688	0.8640	6.624780	31.26499
33	9.00622	3.3644430	0.8718	0.8670	6.611721	31.34662
34	9.06733	3.3778050	0.8810	0.8761	6.599073	31.43068
35	9.10203	3.3787127	0.8749	0.8701	6.594815	31.40943
36	9.14652	3.3856752	0.8902	0.8853	6.586849	31.44194
37	9.18392	3.3954108	0.8811	0.8763	6.578486	31.50917
38	9.24641	3.3769649	0.8508	0.8461	6.579529	31.26459
39	9.28463	3.3981779	0.8873	0.8824	6.566160	31.44880
40	9.60551	3.3966597	0.8813	0.8765	6.531502	31.15289
41	9.66013	3.3854916	0.8723	0.8675	6.530228	30.99218
42	9.82083	3.3979492	0.9028	0.8978	6.507404	30.98004
43	10.25077	3.3847162	0.8664	0.8616	6.466119	30.48181
44	10.40446	3.3924646	0.8695	0.8647	6.446343	30.43024
45	10.42576	3.3984008	0.8909	0.8860	6.441639	30.47143
46	10.42292	3.3982290	0.8849	0.8801	6.442014	30.47210
47	10.43312	3.4022205	0.8911	0.8862	6.439297	30.50324
48	10.46261	3.4015389	0.8852	0.8803	6.436402	30.47178
49	10.46329	3.4010486	0.8731	0.8683	6.436527	30.46634
50	10.48894	3.4062898	0.8823	0.8775	6.431651	30.49693
51	10.50126	3.4042831	0.8886	0.8837	6.431139	30.46670
52	10.51398	3.4079078	0.8917	0.8868	6.428311	30.49203
53	10.51068	3.3968533	0.8767	0.8718	6.433126	30.38513
54	10.47293	3.4042707	0.9012	0.8962	6.434187	30.49027
55	10.56081	3.4002453	0.8770	0.8722	6.426374	30.37699
56	10.52170	3.3929658	0.8741	0.8693	6.433510	30.33741
57	10.65476	3.3949365	0.8955	0.8906	6.418428	30.24646
58	10.79819	3.3813808	0.8653	0.8605	6.408466	29.99479
59	10.82114	3.3904884	0.8929	0.8880	6.402388	30.06550
60	10.78943	3.3907750	0.9053	0.9003	6.405666	30.09435
61	10.76472	3.3899168	0.8750	0.8702	6.408652	30.10623
62	10.74712	3.3900568	0.8782	0.8734	6.410481	30.12210
63	10.75426	3.3913095	0.8906	0.8857	6.409217	30.12855
64	10.76427	3.3866490	0.8755	0.8707	6.410003	30.07444
65	10.73095	3.3861663	0.8970	0.8921	6.413767	30.09707
66	10.74557	3.3890332	0.9034	0.8984	6.411055	30.11327
