Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	21.54616	0.0085593	-0.0189	6.158232	0.04735
2	21.54553	0.0085562	-0.0219	6.158308	0.04734
3	21.54452	0.0085717	-0.0128	6.158427	0.04742
4	21.54382	0.0085717	-0.0159	6.158511	0.04742
5	21.54288	0.0085717	-0.0189	6.158624	0.04742
6	21.54186	0.0085810	-0.0159	6.158744	0.04746
7	21.54101	0.0085717	-0.0128	6.158849	0.04742
8	21.53960	0.0085717	-0.0159	6.159018	0.04742
9	21.53898	0.0085717	-0.0129	6.159093	0.04742
10	21.53804	0.0085810	-0.0159	6.159204	0.04746
11	21.53734	0.0085717	-0.0159	6.159290	0.04742
12	21.53632	0.0085872	-0.0189	6.159409	0.04749
13	21.53570	0.0085717	-0.0189	6.159487	0.04742
14	21.53437	0.0085717	-0.0159	6.159646	0.04742
15	21.53383	0.0085717	-0.0129	6.159712	0.04742
16	21.53297	0.0085655	-0.0129	6.159816	0.04739
17	21.53234	0.0085624	-0.0129	6.159891	0.04738
18	21.53148	0.0085500	-0.0159	6.159997	0.04732
19	21.53039	0.0085438	-0.0129	6.160129	0.04729
20	21.53000	0.0085407	-0.0129	6.160177	0.04728
21	21.52922	0.0085438	-0.0159	6.160270	0.04729
22	21.52860	0.0086058	-0.0159	6.160334	0.04759
23	21.52782	0.0085965	-0.0099	6.160429	0.04754
24	21.52712	0.0085810	-0.0189	6.160517	0.04747
25	21.52579	0.0085810	-0.0220	6.160676	0.04747
26	21.52462	0.0085872	-0.0159	6.160816	0.04750
27	21.52353	0.0085810	-0.0129	6.160948	0.04747
28	21.52236	0.0085810	-0.0129	6.161089	0.04747
29	21.52142	0.0085810	-0.0129	6.161201	0.04747
30	21.52064	0.0085810	-0.0099	6.161295	0.04748
31	21.51963	0.0085810	-0.0129	6.161417	0.04748
32	21.51885	0.0085872	-0.0159	6.161510	0.04751
33	21.51768	0.0085872	-0.0159	6.161650	0.04751
34	21.51682	0.0085872	-0.0159	6.161753	0.04751
35	21.51557	0.0085965	-0.0159	6.161902	0.04755
36	21.51432	0.0086058	-0.0129	6.162050	0.04760
37	21.51354	0.0086151	-0.0220	6.162143	0.04764
38	21.51253	0.0086243	-0.0129	6.162263	0.04769
39	21.51144	0.0086274	-0.0159	6.162394	0.04770
40	21.51011	0.0086429	-0.0159	6.162550	0.04778
41	21.50902	0.0089805	-0.0129	6.162623	0.04940
42	21.50832	0.0097301	-0.0159	6.162577	0.05303
43	21.50723	0.0103808	-0.0129	6.162595	0.05619
44	21.50629	0.0110750	-0.0159	6.162586	0.05958
45	21.50582	0.0118688	-0.0159	6.162502	0.06346
46	21.50497	0.0128676	-0.0129	6.162428	0.06838
47	21.50387	0.0139848	-0.0099	6.162361	0.07390
48	21.50286	0.0153884	-0.0189	6.162231	0.08088
49	21.50153	0.0171908	-0.0159	6.162066	0.08990
50	21.50044	0.0198475	-0.0189	6.161716	0.10329
51	21.49927	0.0220743	-0.0190	6.161449	0.11459
52	21.49834	0.0238698	-0.0159	6.161232	0.12375
53	21.49717	0.0283590	-0.0159	6.160543	0.14682
54	21.49600	0.0282840	-0.0189	6.160697	0.14643
55	21.49545	0.0274248	-0.0099	6.160922	0.14201
56	21.49444	0.0267752	-0.0129	6.161164	0.13866
57	21.49397	0.0263567	-0.0189	6.161298	0.13651
58	21.49304	0.0260383	-0.0159	6.161469	0.13488
59	21.49148	0.0257418	-0.0098	6.161712	0.13336
60	21.49086	0.0253797	-0.0189	6.161853	0.13151
61	21.48992	0.0250958	-0.0190	6.162018	0.13005
62	21.48883	0.0247993	-0.0159	6.162204	0.12854
63	21.48828	0.0248025	-0.0190	6.162269	0.12855
64	21.48719	0.0245248	-0.0129	6.162451	0.12713
65	21.48641	0.0242285	-0.0129	6.162600	0.12562
66	21.48532	0.0239447	-0.0189	6.162783	0.12417
67	21.48439	0.0236733	-0.0190	6.162945	0.12278
68	21.48361	0.0234145	-0.0190	6.163087	0.12146
69	21.48283	0.0232181	-0.0129	6.163217	0.12046
70	21.48213	0.0230280	-0.0129	6.163336	0.11949
71	21.48096	0.0228596	-0.0189	6.163507	0.11864
72	21.47995	0.0226508	-0.0159	6.163667	0.11757
73	21.47901	0.0224825	-0.0159	6.163811	0.11672
74	21.47831	0.0222581	-0.0159	6.163936	0.11558
75	21.47730	0.0220182	-0.0190	6.164102	0.11436
76	21.47668	0.0218904	-0.0189	6.164201	0.11371
77	21.47605	0.0218717	-0.0129	6.164279	0.11361
78	21.47520	0.0222301	-0.0098	6.164316	0.11544
