Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	15.71361	-0.0000373	-0.1732	6.939822	0.00000
2	15.71361	-0.0000373	-0.1671	6.939822	0.00000
3	15.71302	-0.0000435	-0.1763	6.939909	0.00000
4	15.71223	-0.0000373	-0.1763	6.940026	0.00000
5	15.71171	-0.0000435	-0.1763	6.940104	0.00000
6	15.70980	-0.0000435	-0.1734	6.940387	0.00000
7	15.70777	-0.0000435	-0.1703	6.940689	0.00000
8	15.70594	-0.0000435	-0.1763	6.940962	0.00000
9	15.69460	-0.0000435	-0.1733	6.942648	0.00000
10	15.67815	-0.0000373	-0.1732	6.945095	0.00000
11	15.66236	-0.0000435	-0.1763	6.947445	0.00000
12	15.64332	-0.0000373	-0.1763	6.950283	0.00000
13	15.62081	-0.0000342	-0.1762	6.953638	0.00000
14	15.59767	-0.0000342	-0.1793	6.957092	0.00000
15	15.57891	-0.0000280	-0.1702	6.959892	0.00000
16	15.56304	-0.0000250	-0.1732	6.962264	0.00000
17	15.54653	-0.0000280	-0.1733	6.964733	0.00000
18	15.52911	-0.0000065	-0.1734	6.967339	0.00000
19	15.50713	0.0000028	-0.1763	6.970284	0.00813
20	15.48745	0.0000028	-0.1733	6.973234	0.00812
21	15.47312	0.0000213	-0.1702	6.975388	0.00798
22	15.46062	0.0000120	-0.1702	6.977262	0.00801
23	15.44871	0.0000120	-0.1763	6.979050	0.00801
24	15.43186	0.0000120	-0.1641	6.981581	0.00800
25	15.41352	0.0000028	-0.1763	6.984333	0.00809
26	15.39506	0.0000028	-0.1763	6.987109	0.00808
27	15.37629	0.0000120	-0.1732	6.989939	0.00797
28	15.36415	0.0000120	-0.1732	6.991767	0.00797
29	15.35616	0.0000028	-0.1702	6.992966	0.00806
30	15.35129	0.0000028	-0.1702	6.993700	0.00806
31	15.34922	0.0000028	-0.1732	6.994013	0.00805
32	15.35142	0.0000028	-0.1732	6.993680	0.00806
33	15.35356	0.0000028	-0.1702	6.993357	0.00806
34	15.33164	0.0000028	-0.1732	6.996663	0.00805
35	15.30739	0.0000028	-0.1702	7.000322	0.00803
36	15.30628	0.0000028	-0.1702	7.000488	0.00803
37	15.31717	0.0000028	-0.1732	6.998845	0.00804
38	15.32937	-0.0000034	-0.1732	6.997349	0.00000
39	15.33987	0.0000028	-0.1702	6.995421	0.00805
40	15.34948	-0.0000034	-0.1702	6.994318	0.00000
41	15.35778	0.0000028	-0.1640	6.992722	0.00806
42	15.35967	-0.0000065	-0.1732	6.992782	0.00000
43	15.34844	0.0000028	-0.1701	6.994130	0.00805
44	15.33345	0.0000028	-0.1732	6.996389	0.00805
45	15.30726	0.3372938	-0.1186	6.906778	2.21027
46	15.03165	0.9012057	-0.0006	6.773683	6.35695
47	14.64989	1.5605228	0.0993	6.612363	11.61659
48	14.39376	1.6595453	0.1539	6.612508	12.50101
49	14.23617	1.6842590	0.1993	6.624434	12.75502
50	14.14066	1.6868530	0.2448	6.635823	12.80783
51	14.08377	1.6898665	0.3175	6.642125	12.85153
52	14.05048	1.6873913	0.4294	6.647253	12.84207
53	14.03423	1.6765218	0.4961	6.653039	12.75752
54	14.02716	1.6744549	0.5567	6.654654	12.74274
55	14.03079	1.6704970	0.5566	6.655529	12.70882
56	14.03773	1.6747827	0.5415	6.653178	12.74198
57	14.04636	1.6801260	0.5445	6.650251	12.78332
58	14.05124	1.6810808	0.5507	6.649297	12.78961
59	14.05211	1.6815981	0.5295	6.649009	12.79360
60	14.04848	1.6840809	0.5113	6.648635	12.81534
61	14.04123	1.6873017	0.5023	6.648478	12.84439
62	14.03085	1.6907437	0.5083	6.648648	12.87632
63	14.02273	1.6879094	0.5265	6.650659	12.85555
64	14.02448	1.6773072	0.5416	6.654033	12.76722
65	14.02373	1.6856389	0.5174	6.651301	12.83642
66	14.01923	1.6931809	0.4870	6.649320	12.90037
67	14.01110	1.6982729	0.4841	6.648637	12.94527
68	14.00885	1.6965268	0.5052	6.649521	12.93155
69	14.01154	1.6885868	0.5387	6.651873	12.86487
70	14.01085	1.6902306	0.5448	6.651403	12.87872
71	14.00611	1.6984725	0.5386	6.649214	12.94859
72	13.99948	1.6999746	0.5174	6.649557	12.96326
73	13.99162	1.7016220	0.5205	6.650011	12.97956
74	13.99124	1.7021662	0.5567	6.649874	12.98419
75	13.99536	1.6945421	0.5992	6.651936	12.91959
76	13.99792	1.6905097	0.5902	6.652977	12.88532
77	13.99849	1.6986522	0.5447	6.650135	12.95263
78	14.00242	1.7026905	0.5418	6.648255	12.98479
79	13.99824	1.7026505	0.5841	6.648808	12.98585
80	13.99505	1.7023659	0.6295	6.649316	12.98455
81	13.99530	1.6979087	0.6446	6.650800	12.94751
82	13.99461	1.6975695	0.6235	6.651003	12.94493
83	13.99093	1.7032748	0.5962	6.649537	12.99348
84	13.98693	1.7040390	0.5902	6.649793	13.00116
85	13.98431	1.7047034	0.6326	6.649905	13.00755
86	13.98506	1.7042188	0.6690	6.649973	13.00327
87	13.98731	1.7017618	0.6901	6.650520	12.98213
88	13.98556	1.7013025	0.6751	6.650901	12.97891
89	13.98188	1.7052879	0.6448	6.650020	13.01321
90	13.97876	1.7068968	0.6205	6.649874	13.02762
91	13.97489	1.7081263	0.6477	6.649954	13.03912
92	13.97551	1.7085912	0.6750	6.649716	13.04276
93	13.97925	1.7060923	0.6902	6.650084	13.02076
94	13.98194	1.7058075	0.6811	6.649835	13.01750
95	13.97969	1.7095611	0.6781	6.648847	13.04940
96	13.97626	1.7105112	0.6842	6.648966	13.05845
97	13.97295	1.7109513	0.6902	6.649242	13.06322
98	13.97189	1.7110963	0.6993	6.649329	13.06478
99	13.97251	1.7110463	0.7084	6.649266	13.06415
100	13.97251	1.7110563	0.7144	6.649263	13.06423
