Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	16.36891	0.0008696	0.0359	6.843157	0.01122
2	16.36830	0.0008634	0.0360	6.843246	0.01119
3	16.36797	0.0008634	0.0391	6.843294	0.01119
4	16.36837	0.0008418	0.0379	6.843240	0.01110
5	16.36844	0.0007832	0.0437	6.843241	0.01084
6	16.36917	0.0008078	0.0321	6.843130	0.01095
7	16.36971	0.0008202	0.0290	6.843050	0.01100
8	16.36904	0.0007215	0.0293	6.843164	0.01058
9	16.36710	0.0006197	0.0184	6.843463	0.01016
10	16.36436	0.0008109	0.0294	6.843827	0.01096
11	16.35554	0.0008233	0.0351	6.845104	0.01101
12	16.33791	0.0008541	0.0235	6.847657	0.01114
13	16.31869	0.0008480	0.0257	6.850450	0.01111
14	16.30954	0.0008325	0.0298	6.851781	0.01104
15	16.30701	0.0008480	0.0388	6.852147	0.01110
16	16.30661	0.0008480	0.0357	6.852205	0.01110
17	16.30734	0.0008480	0.0388	6.852098	0.01110
18	16.30808	0.0008480	0.0389	6.851991	0.01110
19	16.30881	0.0008418	0.0419	6.851886	0.01108
20	16.30941	0.0008480	0.0388	6.851798	0.01110
21	16.30921	0.0008480	0.0359	6.851827	0.01110
22	16.30854	0.0008480	0.0328	6.851924	0.01110
23	16.30761	0.0008541	0.0388	6.852058	0.01113
24	16.30761	0.0008480	0.0449	6.852059	0.01110
25	16.30761	0.0008480	0.0388	6.852059	0.01110
26	16.30728	0.0008541	0.0388	6.852107	0.01113
27	16.30754	0.0008480	0.0419	6.852069	0.01110
28	16.30834	0.0008541	0.0390	6.851952	0.01113
29	16.30841	0.0008480	0.0388	6.851943	0.01110
30	16.30888	0.0008387	0.0358	6.851877	0.01106
31	16.30934	0.0008480	0.0418	6.851807	0.01110
32	16.31021	0.0008480	0.0389	6.851681	0.01110
33	16.30668	-0.1450288	0.0691	6.852657	0.00000
34	15.73696	1.6337598	0.1418	6.452246	11.87799
35	14.60875	1.2833898	0.1872	6.708502	9.40870
36	13.85364	3.3772457	0.2144	6.093498	27.61258
37	13.40126	3.4106306	0.2296	6.127355	28.24651
38	13.09454	3.4453957	0.2569	6.145994	28.79669
39	12.84806	3.4508394	0.2781	6.168907	29.03525
40	12.67951	3.4543829	0.2901	6.184693	29.19823
41	12.56469	3.4642735	0.2933	6.192756	29.38027
42	12.47609	3.4794665	0.2901	6.196213	29.59277
43	12.41148	3.4942927	0.2841	6.197344	29.78382
44	12.37116	3.5024493	0.2841	6.198440	29.89303
45	12.35946	3.4784273	0.2810	6.208432	29.67493
46	12.37056	3.4441241	0.2780	6.219880	29.34190
47	12.37193	3.4506590	0.2872	6.217343	29.40256
48	12.36501	3.4631664	0.2873	6.213463	29.52620
49	12.36787	3.4619546	0.2902	6.213616	29.51249
50	12.37337	3.4672004	0.2872	6.211133	29.55777
51	12.37343	3.4670336	0.2781	6.211188	29.55615
52	12.39642	3.4718714	0.2840	6.207076	29.58377
53	12.46740	3.4853913	0.2871	6.194932	29.65552
54	12.53535	3.4939761	0.2963	6.184936	29.68290
55	12.56139	3.4947415	0.2902	6.182030	29.66960
56	12.58546	3.4973476	0.2963	6.178657	29.67517
57	12.62415	3.5016737	0.2811	6.173194	29.68541
58	12.64484	3.5048617	0.2780	6.169961	29.69909
59	12.64971	3.5087212	0.2841	6.168077	29.73154
60	12.65561	3.5114284	0.2871	6.166507	29.75233
61	12.66175	3.5129434	0.2841	6.165344	29.76174
62	12.66500	3.5169355	0.2841	6.163577	29.79670
63	12.67023	3.5183354	0.2902	6.162547	29.80572
64	12.67469	3.5174321	0.2901	6.162426	29.79371
65	12.67704	3.5193870	0.2871	6.161486	29.81023
66	12.68011	3.5093332	0.2871	6.164804	29.71334
67	12.69793	3.5091718	0.2781	6.163073	29.69780
68	12.77476	3.5114335	0.2811	6.154560	29.65864
69	12.86240	3.5135215	0.2811	6.145048	29.60951
70	12.92332	3.5149782	0.2811	6.138448	29.57550
