Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	14.77319	-0.0000065	-0.0914	7.082127	0.00000
2	14.76757	-0.0000034	-0.0852	7.082992	0.00000
3	14.76381	-0.0000065	-0.0913	7.083573	0.00000
4	14.75915	-0.0000034	-0.0914	7.084291	0.00000
5	14.75264	-0.0000065	-0.0914	7.085294	0.00000
6	14.74671	-0.0000157	-0.0914	7.086209	0.00000
7	14.74186	-0.0000126	-0.0914	7.086957	0.00000
8	14.73708	-0.0000065	-0.0913	7.087694	0.00000
9	14.73274	-0.0000157	-0.0914	7.088363	0.00000
10	14.73096	-0.0000219	-0.0975	7.088639	0.00000
11	14.73013	-0.0000065	-0.0914	7.088767	0.00000
12	14.72860	-0.0000126	-0.0885	7.089003	0.00000
13	14.72503	-0.0000157	-0.0854	7.089554	0.00000
14	14.71955	-0.0000157	-0.0855	7.090400	0.00000
15	14.71502	-0.0000126	-0.0824	7.091099	0.00000
16	14.71305	-0.0000065	-0.0945	7.091404	0.00000
17	14.71126	-0.0000126	-0.0885	7.091679	0.00000
18	14.70801	-0.0000157	-0.0885	7.092181	0.00000
19	14.70438	-0.0000157	-0.0914	7.092742	0.00000
20	14.70342	-0.0000219	-0.0915	7.092890	0.00000
21	14.70922	-0.0000157	-0.0855	7.091994	0.00000
22	14.72108	-0.0000219	-0.0915	7.090164	0.00000
23	14.73408	-0.0000157	-0.0885	7.088157	0.00000
24	14.74703	-0.0000157	-0.0885	7.086160	0.00000
25	14.75941	-0.0000219	-0.0885	7.084251	0.00000
26	14.77077	-0.0000157	-0.0915	7.082501	0.00000
27	14.77964	-0.0000126	-0.0885	7.081134	0.00000
28	14.78449	-0.0000157	-0.0854	7.080386	0.00000
29	14.78111	-0.0000157	-0.0885	7.080908	0.00000
30	14.76994	-0.0000126	-0.0854	7.082629	0.00000
31	14.76323	-0.0000157	-0.0854	7.083661	0.00000
32	14.76030	-0.0000250	-0.0855	7.084114	0.00000
33	14.75896	-0.0000219	-0.0854	7.084320	0.00000
34	14.75826	-0.0000250	-0.0945	7.084428	0.00000
35	14.75819	-0.0000126	-0.0855	7.084438	0.00000
36	14.75704	-0.0000157	-0.0855	7.084615	0.00000
37	14.75417	-0.0000250	-0.0824	7.085058	0.00000
38	14.75271	-0.0362677	-0.0038	7.085284	0.00000
39	14.67184	3.0372260	0.1417	6.123840	24.04410
40	14.56976	3.1322788	0.3021	6.103097	24.94096
41	14.50021	3.1521601	0.4384	6.103652	25.16071
42	14.45716	3.1562735	0.5625	6.106693	25.22484
43	14.43407	3.1649085	0.6958	6.106192	25.31607
44	14.42149	3.1526062	0.8138	6.111563	25.21553
45	14.41385	3.1513820	0.8654	6.112753	25.20967
46	14.41713	3.1629210	0.8562	6.108585	25.30949
47	14.43407	3.1656889	0.8473	6.105935	25.32291
48	14.44950	3.1598565	0.8412	6.106292	25.26136
49	14.45944	3.1544673	0.8442	6.107062	25.20734
50	14.46469	3.1555807	0.8472	6.106156	25.21376
51	14.46671	3.1534159	0.8502	6.106666	25.19334
52	14.46507	3.1435639	0.8472	6.110098	25.10750
53	14.45906	3.1458868	0.8473	6.109944	25.13187
54	14.44248	3.1572327	0.8504	6.107880	25.24275
55	14.42820	3.1659615	0.8534	6.106445	25.32915
56	14.41808	3.1712093	0.8412	6.105736	25.38214
57	14.41056	3.1779551	0.8382	6.104264	25.44672
58	14.40545	3.1834091	0.8412	6.102975	25.49833
59	14.40222	3.1854018	0.8473	6.102642	25.51807
60	14.40045	3.1865069	0.8503	6.102455	25.52902
61	14.40033	3.1858053	0.8473	6.102701	25.52289
62	14.39982	3.1871403	0.8533	6.102309	25.53504
63	14.39850	3.1903326	0.8563	6.101383	25.56417
64	14.39768	3.1919789	0.8564	6.100920	25.57928
65	14.39761	3.1917304	0.8563	6.101009	25.57712
66	14.39774	3.1903947	0.8534	6.101440	25.56522
67	14.39812	3.1911775	0.8533	6.101141	25.57190
68	14.39837	3.1928861	0.8504	6.100548	25.58686
69	14.39875	3.1937436	0.8533	6.100224	25.59420
70	14.39907	3.1941662	0.8533	6.100052	25.59774
71	14.39951	3.1934391	0.8504	6.100248	25.59101
72	14.39982	3.1933770	0.8565	6.100237	25.59025
73	14.40014	3.1941040	0.8655	6.099963	25.59647
74	14.40033	3.1946261	0.8564	6.099771	25.60097
75	14.40083	3.1935572	0.8534	6.100074	25.59118
76	14.40121	3.1937436	0.8504	6.099974	25.59258
77	14.40134	3.1949306	0.8564	6.099567	25.60300
78	14.40159	3.1958132	0.8534	6.099248	25.61065
79	14.40184	3.1946882	0.8534	6.099596	25.60052
80	14.40184	3.1946261	0.8443	6.099616	25.59998
81	14.40134	3.1964846	0.8504	6.099050	25.61676
82	14.40083	3.1977031	0.8504	6.098697	25.62789
83	14.40064	3.1984368	0.8473	6.098473	25.63451
84	14.40039	3.1989840	0.8565	6.098317	25.63952
85	14.40058	3.1980886	0.8595	6.098595	25.63147
86	14.40052	3.1965468	0.8535	6.099113	25.61786
87	14.40033	3.1956268	0.8565	6.099438	25.60983
88	14.39970	3.1961800	0.8564	6.099319	25.61515
89	14.39932	3.1974296	0.8564	6.098942	25.62646
90	14.39894	3.1982192	0.8533	6.098718	25.63371
91	14.39862	3.1988286	0.8565	6.098548	25.63931
92	14.39856	3.1993509	0.8533	6.098381	25.64398
93	14.39862	3.1994069	0.8563	6.098356	25.64443
94	14.39869	3.1987975	0.8534	6.098552	25.63900
95	14.39869	3.1987602	0.8595	6.098564	25.63866
96	14.39869	3.1991954	0.8534	6.098420	25.64252
97	14.39894	3.1987975	0.8444	6.098526	25.63883
98	14.39894	3.1968763	0.8444	6.099164	25.62182
99	14.39894	3.1968514	0.8444	6.099173	25.62160
100	14.39862	3.1975788	0.8504	6.098963	25.62825
101	14.39894	3.1969384	0.8505	6.099144	25.62237
102	14.39982	3.1948374	0.8594	6.099752	25.60318
103	14.40096	3.1933459	0.8534	6.100131	25.58922
104	14.40090	3.1925878	0.8624	6.100390	25.58255
105	14.40563	3.1896679	0.8535	6.100877	25.55359
106	14.41840	3.1861404	0.8504	6.100748	25.51398
107	14.44577	3.1887234	0.8473	6.097104	25.51884
108	14.47595	3.1912760	0.8414	6.093189	25.52159
109	14.50268	3.1921269	0.8474	6.090192	25.51157
110	14.52074	3.1929780	0.8565	6.088078	25.50723
111	14.53246	3.1937112	0.8655	6.086645	25.50601
112	14.53779	3.1920955	0.8595	6.086638	25.48827
113	14.53544	3.1905983	0.8535	6.087370	25.47660
114	14.53754	3.1907908	0.8534	6.087094	25.47693
115	14.54413	3.1907908	0.8595	6.086425	25.47261
116	14.54457	3.1913996	0.8597	6.086179	25.47769
117	14.54204	3.1921887	0.8595	6.086176	25.48631
118	14.53728	3.1920023	0.8535	6.086720	25.48778
119	14.53202	3.1921266	0.8414	6.087213	25.49233
120	14.53005	3.1921888	0.8473	6.087392	25.49416
121	14.52923	3.1923379	0.8536	6.087427	25.49602
122	14.52841	3.1935807	0.8566	6.087100	25.50752
123	14.52841	3.1924001	0.8444	6.087490	25.49711
124	14.52536	3.1922199	0.8444	6.087858	25.49751
125	14.52213	3.1925244	0.8475	6.088086	25.50232
126	14.52042	3.1923380	0.8445	6.088321	25.50180
127	14.51820	3.1926736	0.8505	6.088435	25.50621
128	14.51655	3.1919777	0.8475	6.088832	25.50115
129	14.51535	3.1903935	0.8535	6.089478	25.48795
130	14.51338	3.1890208	0.8507	6.090131	25.47713
131	14.51167	3.1873875	0.8597	6.090844	25.46383
132	14.51148	3.1856552	0.8535	6.091436	25.44867
133	14.51326	3.1826819	0.8535	6.092238	25.42127
134	14.51617	3.1808326	0.8475	6.092552	25.40305
135	14.51896	3.1796786	0.8446	6.092650	25.39105
136	14.52004	3.1774702	0.8506	6.093269	25.37087
137	14.52137	3.1740782	0.8536	6.094254	25.34008
138	14.52416	3.1715739	0.8596	6.094797	25.31618
139	14.52758	3.1691260	0.8536	6.095257	25.29238
140	14.53151	3.1664435	0.8507	6.095742	25.26618
141	14.53494	3.1633099	0.8535	6.096427	25.23635
142	14.53754	3.1593357	0.8566	6.097474	25.19965
143	14.54109	3.1569038	0.8536	6.097914	25.17593
144	14.54667	3.1504162	0.8415	6.099484	25.11520
145	14.55111	3.1449962	0.8445	6.100819	25.06463
146	14.55529	3.1409628	0.8475	6.101721	25.02645
147	14.55910	3.1344075	0.8535	6.103493	24.96634
148	14.56177	3.1222613	0.8536	6.107225	24.85785
149	14.56469	3.1175494	0.8506	6.108480	24.81458
150	14.56881	3.1128710	0.8475	6.109598	24.77086
151	14.57262	3.1109449	0.8445	6.109842	24.75152
152	14.57395	3.1110372	0.8507	6.109675	24.75148
153	14.57395	3.1035713	0.8537	6.112136	24.68593
154	14.57370	3.0943376	0.8566	6.115205	24.60504
155	14.57560	3.0945954	0.8536	6.114924	24.60610
156	14.57795	3.0976231	0.8506	6.113684	24.63119
157	14.57884	3.1039340	0.8538	6.111513	24.68601
158	14.57922	3.1034238	0.8597	6.111642	24.68129
159	14.57947	3.1018810	0.8568	6.112125	24.66759
160	14.57820	3.1024219	0.8597	6.112077	24.67314
161	14.57706	3.1046041	0.8507	6.111475	24.69302
162	14.57586	3.1065470	0.8508	6.110959	24.71084
163	14.57465	3.1034791	0.8507	6.112094	24.68468
164	14.57357	3.1030120	0.8508	6.112359	24.68126
165	14.57357	3.1038111	0.8477	6.112096	24.68827
166	14.57370	3.1038971	0.8536	6.112054	24.68895
167	14.57287	3.1054587	0.8537	6.111624	24.70318
168	14.57173	3.1054280	0.8569	6.111752	24.70364
169	14.57078	3.1055448	0.8568	6.111811	24.70526
170	14.57046	3.1069345	0.8538	6.111386	24.71767
171	14.57033	3.1110988	0.8567	6.110026	24.75432
172	14.56938	3.1069529	0.8537	6.111491	24.71852
173	14.56868	3.1036882	0.8537	6.112639	24.69029
174	14.56646	3.1034792	0.8477	6.112936	24.68987
175	14.56430	3.1076110	0.8508	6.111796	24.72752
176	14.56284	3.1147051	0.8537	6.109606	24.79076
177	14.56215	3.1086443	0.8508	6.111677	24.73797
178	14.56151	3.1012298	0.8508	6.114187	24.67325
179	14.55942	3.1004494	0.8477	6.114660	24.66773
180	14.55732	3.1013036	0.8508	6.114594	24.67655
181	14.55587	3.1066456	0.8569	6.112982	24.72440
182	14.55510	3.1002712	0.8478	6.115163	24.66890
183	14.55510	3.0939755	0.8447	6.117240	24.61362
184	14.55288	3.0928766	0.8477	6.117832	24.60537
185	14.55047	3.0953019	0.8537	6.117280	24.62819
186	14.54857	3.1025328	0.8569	6.115090	24.69290
187	14.54692	3.1113636	0.8508	6.112345	24.77154
188	14.54692	3.1112467	0.8508	6.112383	24.77051
189	14.54698	3.1086752	0.8508	6.113225	24.74787
190	14.54559	3.1063628	0.8540	6.114132	24.72844
191	14.54274	3.1083493	0.8599	6.113770	24.74771
192	14.54026	3.1094134	0.8538	6.113673	24.75863
193	14.53931	3.1076113	0.8538	6.114366	24.74340
194	14.53792	3.1087614	0.8477	6.114130	24.75440
195	14.53690	3.1103608	0.8508	6.113706	24.76910
196	14.53658	3.1110991	0.8510	6.113495	24.77579
197	14.53601	3.1126928	0.8630	6.113027	24.79016
198	14.53519	3.1217255	0.8752	6.110130	24.87011
199	14.53481	3.1233583	0.8720	6.109629	24.88471
200	14.53475	3.1195942	0.8660	6.110879	24.85165
201	14.53398	3.1197729	0.8568	6.110898	24.85371
202	14.53348	3.1209863	0.8540	6.110549	24.86471
203	14.53246	3.1235123	0.8540	6.109819	24.88757
204	14.53094	3.1282954	0.8478	6.108396	24.93063
205	14.53024	3.1312123	0.8418	6.107504	24.95674
206	14.53100	3.1317057	0.8508	6.107263	24.96059
207	14.53145	3.1308792	0.8540	6.107490	24.95304
208	14.53050	3.1324274	0.8630	6.107077	24.96727
209	14.52917	3.1341302	0.8691	6.106651	24.98310
210	14.52955	3.1339389	0.8631	6.106675	24.98118
211	14.52993	3.1331739	0.8571	6.106889	24.97420
212	14.52980	3.1318969	0.8510	6.107323	24.96305
213	14.52910	3.1317181	0.8479	6.107454	24.96192
214	14.52898	3.1323041	0.8509	6.107273	24.96716
215	14.52815	3.1329641	0.8570	6.107140	24.97350
216	14.52701	3.1344264	0.8601	6.106774	24.98710
217	14.52600	3.1392899	0.8541	6.105271	25.03056
218	14.52543	3.1424762	0.8572	6.104277	25.05898
219	14.52543	3.1417660	0.8509	6.104512	25.05273
220	14.52524	3.1398579	0.8601	6.105162	25.03605
221	14.52365	3.1380923	0.8601	6.105907	25.02153
222	14.52137	3.1378701	0.8570	6.106214	25.02104
223	14.52004	3.1403643	0.8572	6.105526	25.04386
224	14.52042	3.1422786	0.8601	6.104855	25.06047
225	14.52194	3.1439216	0.8571	6.104157	25.07396
226	14.52264	3.1441501	0.8662	6.104010	25.07552
227	14.52289	3.1465844	0.8663	6.103180	25.09679
228	14.52371	3.1525495	0.8723	6.101125	25.14880
229	14.52454	3.1527598	0.8602	6.100972	25.15013
