Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	18.69483	0.0001601	-0.0421	6.520173	0.00951
2	18.69368	0.0001724	-0.0421	6.520324	0.00954
3	18.69232	0.0001632	-0.0421	6.520506	0.00952
4	18.69111	0.0001539	-0.0392	6.520668	0.00950
5	18.69011	0.0001447	-0.0422	6.520802	0.00948
6	18.68939	0.0001447	-0.0422	6.520898	0.00948
7	18.68853	0.0001447	-0.0452	6.521012	0.00948
8	18.68760	0.0001354	-0.0422	6.521136	0.00946
9	18.68638	0.0001385	-0.0361	6.521298	0.00947
10	18.68552	0.0001262	-0.0422	6.521413	0.00945
11	18.68452	0.0001385	-0.0483	6.521546	0.00947
12	18.68366	0.0001354	-0.0361	6.521660	0.00946
13	18.68252	0.0001262	-0.0392	6.521813	0.00945
14	18.68223	0.0001231	-0.0482	6.521852	0.00944
15	18.68152	0.0001169	-0.0391	6.521947	0.00943
16	18.68023	0.0001169	-0.0452	6.522119	0.00943
17	18.67966	0.0001231	-0.0361	6.522194	0.00944
18	18.67866	0.0001169	-0.0423	6.522328	0.00943
19	18.67816	0.0001292	-0.0392	6.522394	0.00945
20	18.67744	0.0001262	-0.0392	6.522490	0.00944
21	18.67651	0.0001262	-0.0422	6.522613	0.00944
22	18.67558	0.0001292	-0.0452	6.522737	0.00945
23	18.67479	0.0001169	-0.0392	6.522843	0.00943
24	18.67451	0.0001231	-0.0392	6.522880	0.00944
25	18.67351	0.0001169	-0.0422	6.523014	0.00943
26	18.67265	0.0001169	-0.0422	6.523128	0.00943
27	18.67179	0.0001231	-0.0361	6.523242	0.00944
28	18.67122	0.0001169	-0.0362	6.523319	0.00943
29	18.67014	0.0001138	-0.0392	6.523462	0.00942
30	18.66921	0.0001262	-0.0483	6.523585	0.00944
31	18.66821	0.0001169	-0.0362	6.523719	0.00943
32	18.66692	0.0001231	-0.0361	6.523890	0.00944
33	18.66585	0.0001169	-0.0422	6.524033	0.00943
34	18.66471	0.0001231	-0.0392	6.524185	0.00943
35	18.66356	0.0001354	-0.0391	6.524337	0.00945
36	18.66256	0.0001262	-0.0392	6.524471	0.00944
37	18.66156	0.0001385	-0.0362	6.524603	0.00946
38	18.66049	0.0001262	-0.0454	6.524747	0.00944
39	18.65920	0.0001292	-0.0391	6.524918	0.00944
40	18.65799	0.0001354	-0.0392	6.525080	0.00945
41	18.65648	0.0001262	-0.0422	6.525281	0.00944
42	18.65505	0.0001292	-0.0392	6.525471	0.00944
43	18.65420	0.0001169	-0.0392	6.525586	0.00942
44	18.65248	0.0001262	-0.0422	6.525814	0.00943
45	18.65098	0.0001231	-0.0362	6.526014	0.00943
46	18.64998	0.0001169	-0.0361	6.526148	0.00942
47	18.64848	0.0001138	-0.0362	6.526348	0.00941
48	18.64669	0.0003390	-0.0270	6.526565	0.00997
49	18.15731	3.3453950	0.0940	5.692875	24.52296
50	15.70141	3.1719520	0.2575	5.976490	24.57188
51	13.61941	3.2099932	0.4089	6.174703	26.26342
52	12.27093	3.2264989	0.5633	6.310429	27.36849
53	11.46378	3.2374324	0.7238	6.393076	28.07224
54	11.00172	3.2475320	0.8085	6.439462	28.52405
55	10.80104	3.2644002	0.8146	6.454743	28.84534
56	10.85877	3.2749343	0.7814	6.444235	28.90285
57	10.98866	3.2835020	0.7571	6.426691	28.88421
58	11.09764	3.2998217	0.7481	6.408456	28.95727
59	11.16485	3.3163621	0.7329	6.394731	29.06497
60	11.20880	3.3163742	0.7238	6.390000	29.03046
61	11.24411	3.3161658	0.6996	6.386287	29.00068
62	11.25088	3.3134361	0.6874	6.386622	28.96893
63	11.14786	3.3144520	0.6814	6.397306	29.05984
64	11.02111	3.3187157	0.6693	6.409294	29.20164
65	10.93652	3.3116937	0.6602	6.421207	29.20038
66	10.83516	3.3028834	0.6512	6.435695	29.19492
67	10.73333	3.3038099	0.6542	6.446405	29.28529
68	10.65794	3.3077339	0.6511	6.453049	29.38433
69	10.60637	3.3130964	0.6572	6.456517	29.47867
70	10.57006	3.3151895	0.6420	6.459634	29.52866
71	10.52879	3.3048573	0.6420	6.468312	29.46005
72	10.47927	3.2982049	0.6360	6.476427	29.43434
73	10.44025	3.2971106	0.6360	6.481153	29.45506
74	10.41956	3.2979664	0.6330	6.483077	29.48027
75	10.40710	3.2971738	0.6179	6.484768	29.48252
76	10.39373	3.2894522	0.6087	6.489378	29.41687
77	10.37607	3.2888867	0.6088	6.491553	29.42555
78	10.36747	3.2959099	0.6270	6.489639	29.50211
79	10.38331	3.3092676	0.6300	6.482458	29.62165
80	10.42307	3.3143653	0.6209	6.476029	29.63981
81	10.44336	3.3163068	0.6300	6.473021	29.64251
82	10.42319	3.2996086	0.6300	6.482011	29.49359
83	10.38801	3.2959097	0.6300	6.487379	29.48545
84	10.36017	3.2887297	0.6240	6.493368	29.43685
85	10.34326	3.2834461	0.6210	6.497388	29.39816
86	10.33314	3.2855757	0.6210	6.497635	29.42746
87	10.32794	3.2913701	0.6270	6.495842	29.48915
88	10.32036	3.2962626	0.6270	6.494678	29.54385
89	10.30759	3.2970805	0.6270	6.495750	29.56235
90	10.29025	3.2949672	0.6210	6.498525	29.55547
91	10.27230	3.2870277	0.6240	6.503755	29.49118
92	10.25605	3.2851430	0.6331	6.506323	29.48565
93	10.25492	3.2903651	0.6301	6.504307	29.53847
94	10.27309	3.2976094	0.6119	6.499334	29.59570
95	10.28822	3.2959736	0.6058	6.498337	29.56713
96	10.28478	3.2972695	0.6179	6.498186	29.58280
97	10.28997	3.3377091	0.6361	6.481076	29.98068
98	10.32375	3.3446643	0.6240	6.474547	30.02199
99	10.45459	3.3466684	0.6089	6.459485	29.93410
100	10.78421	3.3447858	0.6210	6.424535	29.64666
101	11.08466	3.3375740	0.6240	6.395041	29.33479
102	11.28148	3.3303126	0.6301	6.376779	29.10826
103	11.41441	3.3259294	0.6240	6.364264	28.96148
104	11.56066	3.3234539	0.6179	6.349619	28.82359
105	11.63245	3.3212511	0.6331	6.342821	28.74676
106	11.64264	3.3190243	0.6483	6.342588	28.71754
107	11.67385	3.3073136	0.6482	6.343728	28.58135
108	11.71201	3.2746742	0.6361	6.352073	28.24029
109	11.75443	3.2342752	0.6361	6.362866	27.82332
110	11.86574	3.1787071	0.6482	6.371874	27.21377
111	11.99694	3.1386304	0.6483	6.372700	26.74070
112	12.16255	3.1277522	0.6453	6.358740	26.52072
113	12.33142	3.1340229	0.6544	6.338101	26.46012
114	12.44652	3.1332567	0.6483	6.325949	26.37214
115	12.49411	3.1439113	0.6423	6.316918	26.43779
116	12.49938	3.1705659	0.6301	6.306599	26.68184
117	12.46375	3.1859184	0.6301	6.304790	26.85006
118	12.36059	3.1880121	0.6362	6.315055	26.94335
119	12.22054	3.1919704	0.6392	6.328609	27.08116
120	12.09565	3.2025780	0.6452	6.338078	27.27144
121	11.98300	3.2086033	0.6454	6.347941	27.41063
122	11.85202	3.2105285	0.6361	6.361336	27.52526
123	11.76259	3.2124912	0.6301	6.370255	27.61008
124	11.71177	3.2160489	0.6332	6.374401	27.68168
125	11.65962	3.2217964	0.6484	6.377855	27.77533
126	11.58993	3.2217348	0.6514	6.385427	27.82690
127	11.52984	3.2253027	0.6453	6.390576	27.90616
128	11.47088	3.2311315	0.6544	6.394731	28.00646
129	11.42168	3.2355152	0.6695	6.398381	28.08578
130	11.38911	3.2376456	0.6786	6.401095	28.13098
131	11.35000	3.2387268	0.6817	6.404925	28.17115
132	11.32986	3.2391643	0.6727	6.406946	28.19072
133	11.29754	3.2416081	0.6545	6.409511	28.23895
134	11.24468	3.2438089	0.6635	6.414406	28.30064
135	11.19584	3.2436844	0.6757	6.419775	28.33692
136	11.17329	3.2446161	0.6727	6.421868	28.36327
137	11.15872	3.2446476	0.6546	6.423444	28.37479
138	11.12909	3.2448042	0.6363	6.426615	28.39914
139	11.09718	3.2469431	0.6303	6.429259	28.44449
140	11.05273	3.2480255	0.6364	6.433688	28.48937
141	11.00218	3.2500153	0.6636	6.438430	28.54788
142	10.96773	3.2495778	0.6636	6.442371	28.57040
143	10.95841	3.2495466	0.6455	6.443403	28.57734
144	10.93176	3.2509483	0.6455	6.445767	28.61174
145	10.91155	3.2517244	0.6455	6.447673	28.63506
146	10.91413	3.2519747	0.6607	6.447291	28.63548
147	10.89697	3.2512865	0.6637	6.449444	28.64216
148	10.86972	3.2522192	0.6728	6.452060	28.67253
149	10.84347	3.2517564	0.6759	6.455123	28.68854
150	10.82904	3.2518504	0.6759	6.456670	28.70076
151	10.82348	3.2526890	0.6729	6.456946	28.71330
152	10.80911	3.2526266	0.6820	6.458548	28.72395
153	10.78313	3.2532777	0.6820	6.461142	28.75069
154	10.76597	3.2533092	0.6850	6.463014	28.76447
155	10.76683	3.2533092	0.6821	6.462920	28.76380
156	10.75985	3.2534032	0.6639	6.463649	28.77020
157	10.74768	3.2539353	0.6639	6.464774	28.78498
158	10.73522	3.2529090	0.6669	6.466554	28.78473
159	10.72471	3.2529404	0.6791	6.467698	28.79330
160	10.72145	3.2519767	0.6700	6.468442	28.78642
161	10.71471	3.2526902	0.6610	6.468897	28.79872
162	10.69861	3.2534038	0.6640	6.470383	28.81839
163	10.69085	3.2537481	0.6671	6.471099	28.82788
164	10.68092	3.2521899	0.6671	6.472817	28.82042
165	10.67522	3.2521336	0.6641	6.473468	28.82437
166	10.67305	3.2529097	0.6641	6.473395	28.83369
167	10.65725	3.2520400	0.6792	6.475485	28.83761
168	10.63844	3.2517273	0.6823	6.477684	28.84938
169	10.63531	3.2522217	0.6884	6.477830	28.85671
170	10.63406	3.2517273	0.6914	6.478167	28.85284
171	10.62540	3.2510767	0.7005	6.479384	28.85328
172	10.61412	3.2512582	0.6975	6.480555	28.86398
173	10.61076	3.2508578	0.6885	6.481087	28.86270
174	10.60780	3.2507640	0.6915	6.481451	28.86412
175	10.59527	3.2508580	0.6885	6.482796	28.87494
176	10.58759	3.2504514	0.6886	6.483808	28.87702
177	10.58417	3.2504514	0.6825	6.484185	28.87972
178	10.58241	3.2507330	0.6765	6.484266	28.88389
179	10.58469	3.2506078	0.6796	6.484065	28.88086
180	10.59174	3.2499884	0.6826	6.483536	28.86919
181	10.59448	3.2502386	0.6796	6.483133	28.86949
182	10.58429	3.2498008	0.6827	6.484434	28.87324
183	10.56511	3.2487751	0.6857	6.486966	28.87831
184	10.55681	3.2487751	0.6919	6.487883	28.88488
185	10.55044	3.2486876	0.6859	6.488623	28.88906
186	10.53981	3.2485939	0.6889	6.489836	28.89655
187	10.52083	3.2483439	0.6859	6.492035	28.90913
188	10.50822	3.2480313	0.6889	6.493557	28.91604
189	10.50260	3.2480939	0.6980	6.494154	28.92112
