Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	11.80743	0.0058890	-0.0309	7.564634	0.03891
2	11.80766	0.0064179	-0.0398	7.564441	0.04214
3	11.80784	0.0062664	-0.0339	7.564454	0.04121
4	11.80796	0.0062911	-0.0338	7.564427	0.04136
5	11.80802	0.0062911	-0.0340	7.564416	0.04136
6	11.80802	0.0061736	-0.0278	7.564450	0.04064
7	11.80802	0.0060839	-0.0279	7.564476	0.04010
8	11.80772	0.0059725	-0.0340	7.564559	0.03942
9	11.80796	0.0058519	-0.0278	7.564554	0.03868
10	11.80831	0.0057901	-0.0278	7.564510	0.03831
11	11.80843	0.0057622	-0.0340	7.564498	0.03814
12	11.80860	0.0057746	-0.0310	7.564464	0.03821
13	11.80884	0.0057901	-0.0341	7.564419	0.03831
14	11.80837	0.0058086	-0.0342	7.564495	0.03842
15	11.80866	0.0058055	-0.0310	7.564445	0.03840
16	11.80896	0.0057808	-0.0281	7.564401	0.03825
17	11.80896	0.0057499	-0.0280	7.564410	0.03806
18	11.80884	0.0057375	-0.0311	7.564434	0.03799
19	11.80890	0.0057004	-0.0280	7.564435	0.03776
20	11.80931	0.0056293	-0.0280	7.564384	0.03733
21	11.80902	0.0055581	-0.0282	7.564455	0.03690
22	11.80902	0.0055272	-0.0281	7.564464	0.03671
23	11.80919	0.0054839	-0.0281	7.564446	0.03645
24	11.80919	0.0054468	-0.0250	7.564457	0.03622
25	11.80919	0.0054035	-0.0282	7.564469	0.03596
26	11.80931	0.0053232	-0.0192	7.564472	0.03547
27	11.80925	0.0053448	-0.0282	7.564476	0.03560
28	11.80931	0.0052984	-0.0311	7.564479	0.03532
29	11.80931	0.0052490	-0.0314	7.564493	0.03502
30	11.80954	0.0052180	-0.0282	7.564461	0.03484
31	11.80960	0.0051809	-0.0251	7.564462	0.03461
32	11.80925	0.0050975	-0.0313	7.564547	0.03411
33	11.80984	0.0050727	-0.0311	7.564452	0.03396
34	11.80978	0.0050727	-0.0373	7.564462	0.03396
35	11.80990	0.0051098	-0.0313	7.564431	0.03418
36	11.80972	0.0050820	-0.0283	7.564470	0.03401
37	11.80960	0.0051438	-0.0282	7.564472	0.03439
38	11.80925	0.0544794	0.0141	7.549213	0.35784
39	11.72081	3.0761318	0.1535	6.426698	26.34774
40	11.45859	3.1727210	0.2958	6.418587	27.45638
41	11.22633	3.2045095	0.4138	6.431734	27.93559
42	11.02877	3.2194962	0.5593	6.447550	28.23105
43	10.83345	3.2131798	0.6865	6.471583	28.31996
44	10.69998	3.2030778	0.7409	6.490412	28.32449
45	10.63030	3.2050385	0.7471	6.497371	28.39773
46	10.59886	3.1994463	0.7410	6.503124	28.36733
47	10.58366	3.1960953	0.7319	6.506170	28.34627
48	10.56767	3.2176312	0.7198	6.499256	28.57013
49	10.53873	3.2430412	0.7168	6.492200	28.84274
50	10.49522	3.2526675	0.7198	6.493119	28.97205
51	10.45771	3.2554595	0.7256	6.496135	29.02943
52	10.44263	3.2500838	0.7319	6.499988	28.98837
53	10.44932	3.2535629	0.7257	6.497834	29.01739
54	10.44705	3.2579828	0.7167	6.496290	29.06284
55	10.43197	3.2663094	0.7077	6.494574	29.15714
56	10.41797	3.2696825	0.7075	6.494749	29.20170
57	10.42625	3.2707485	0.7075	6.493402	29.20560
58	10.44087	3.2725610	0.7015	6.491052	29.21179
59	10.45255	3.2744116	0.7137	6.489013	29.22070
60	10.46418	3.2758797	0.7198	6.487137	29.22588
61	10.47325	3.2704031	0.7198	6.488357	29.16453
62	10.47870	3.2677131	0.7167	6.488846	29.13362
63	10.48143	3.2720588	0.7229	6.486785	29.17433
64	10.48052	3.2758796	0.7196	6.485337	29.21278
65	10.47484	3.2781767	0.7229	6.485031	29.24001
66	10.46707	3.2788610	0.7228	6.485609	29.25300
67	10.46072	3.2785158	0.7228	6.486449	29.25470
68	10.45658	3.2781392	0.7165	6.487057	29.25430
69	10.45505	3.2786414	0.7197	6.487022	29.26049
70	10.45816	3.2766329	0.7136	6.487493	29.23815
71	10.46406	3.2759425	0.7258	6.487124	29.22659
72	10.47394	3.2772917	0.7227	6.485489	29.23200
73	10.48171	3.2786725	0.7318	6.484074	29.23939
74	10.48568	3.2791433	0.7379	6.483446	29.24085
75	10.49142	3.2790177	0.7319	6.482866	29.23501
76	10.49993	3.2825275	0.7347	6.480508	29.26283
77	10.50459	3.2802104	0.7287	6.480934	29.23622
78	10.50629	3.2795197	0.7288	6.481026	29.22804
79	10.50703	3.2802417	0.7319	6.480653	29.23458
80	10.50709	3.2782956	0.7257	6.481434	29.21533
81	10.50902	3.2785153	0.7257	6.481133	29.21595
82	10.51231	3.2831617	0.7196	6.478890	29.25916
83	10.51277	3.2828476	0.7166	6.478968	29.25569
84	10.51311	3.2829104	0.7104	6.478905	29.25604
85	10.51862	3.2836013	0.7104	6.478020	29.25844
86	10.52759	3.2842921	0.7136	6.476754	29.25805
87	10.53458	3.2833813	0.7135	6.476355	29.24346
88	10.53799	3.2830672	0.7136	6.476107	29.23763
89	10.53646	3.2834441	0.7165	6.476123	29.24258
90	10.53419	3.2840408	0.7135	6.476132	29.25029
91	10.53078	3.2832243	0.7107	6.476836	29.24497
92	10.52379	3.2810578	0.7044	6.478480	29.22921
93	10.51544	3.2809323	0.6955	6.479448	29.23466
94	10.49749	3.2816232	0.6955	6.481142	29.25587
95	10.47377	3.2815104	0.6924	6.483797	29.27381
96	10.45459	3.2815609	0.6894	6.485887	29.28972
97	10.44195	3.2824402	0.6864	6.486922	29.30858
98	10.43554	3.2822518	0.6893	6.487704	29.31187
99	10.43038	3.2821263	0.6830	6.488323	29.31478
100	10.43327	3.2752839	0.6893	6.490784	29.24480
101	10.44223	3.2721533	0.6863	6.491068	29.20668
102	10.46735	3.2731880	0.6833	6.487877	29.19676
103	10.54578	3.2752827	0.6863	6.478395	29.15468
104	10.64682	3.2715866	0.6891	6.468780	29.03780
105	10.73271	3.2727461	0.6863	6.458895	28.98106
106	10.76809	3.2729025	0.6862	6.454958	28.95460
107	10.77060	3.2684310	0.6772	6.456468	28.90883
108	10.76797	3.2669326	0.6681	6.457354	28.89624
109	10.76871	3.2664938	0.6711	6.457448	28.89136
110	10.77506	3.2689325	0.6772	6.455779	28.91022
111	10.78656	3.2679292	0.6741	6.454920	28.89133
112	10.79188	3.2627146	0.6833	6.456417	28.83612
113	10.79434	3.2542415	0.6862	6.459526	28.75131
114	10.81128	3.2400633	0.6802	6.463316	28.59950
115	10.84559	3.2010048	0.6893	6.475087	28.19196
116	10.88710	3.1146807	0.6953	6.504809	27.32182
117	10.93015	3.0670656	0.6986	6.518877	26.82939
118	10.98498	3.0388784	0.6953	6.523836	26.51773
119	11.05014	3.0482746	0.7045	6.512720	26.56117
120	11.10699	3.0559461	0.6924	6.503261	26.59390
121	11.14983	3.0693647	0.6953	6.493151	26.69182
122	11.17837	3.0853874	0.6922	6.483655	26.82496
123	11.19728	3.1003665	0.7012	6.475668	26.95501
124	11.19775	3.1075773	0.7105	6.472794	27.02393
125	11.17895	3.1216425	0.7225	6.469383	27.17292
126	11.15318	3.1355652	0.7379	6.466797	27.32595
127	11.12234	3.1454822	0.7257	6.466334	27.44443
128	11.09118	3.1595381	0.7196	6.464270	27.60335
129	11.06097	3.1713058	0.7045	6.462988	27.73978
130	11.03539	3.1702773	0.7105	6.466229	27.74911
131	11.01179	3.1697942	0.7105	6.469038	27.76225
132	10.99619	3.1691314	0.7257	6.471031	27.76760
133	10.98153	3.1643681	0.7226	6.474543	27.73252
134	10.96962	3.1716973	0.7225	6.472966	27.81255
135	10.96479	3.1805963	0.7318	6.469980	27.90250
136	10.95841	3.1888775	0.7347	6.467409	27.98770
137	10.94721	3.1933817	0.7409	6.466866	28.03997
138	10.92354	3.1940842	0.7408	6.469206	28.06486
139	10.89519	3.1966080	0.7377	6.471344	28.11109
140	10.87368	3.1991388	0.7468	6.472720	28.15220
141	10.86227	3.2036609	0.7469	6.472185	28.20498
142	10.85986	3.2065048	0.7498	6.471320	28.23453
143	10.85270	3.2083972	0.7529	6.471360	28.25848
144	10.83883	3.2107571	0.7560	6.471954	28.29216
145	10.82566	3.2135786	0.7499	6.472286	28.32984
146	10.81672	3.2147748	0.7469	6.472797	28.34842
147	10.81294	3.2144010	0.7498	6.473364	28.34769
148	10.81289	3.2140958	0.7498	6.473492	28.34476
149	10.81283	3.2147997	0.7530	6.473218	28.35167
150	10.81157	3.2155972	0.7439	6.473039	28.36043
151	10.80962	3.2166441	0.7470	6.472837	28.37215
152	10.80980	3.2180276	0.7652	6.472266	28.38550
153	10.81203	3.2183953	0.7589	6.471873	28.38737
154	10.81415	3.2169182	0.7651	6.472228	28.37131
155	10.81632	3.2202653	0.7591	6.470653	28.40229
156	10.81403	3.2245118	0.7560	6.469213	28.44550
157	10.80871	3.2251918	0.7469	6.469530	28.45627
158	10.80127	3.2185761	0.7379	6.472990	28.39748
159	10.79308	3.2075699	0.7499	6.478287	28.29639
160	10.78582	3.2055845	0.7591	6.479885	28.28262
161	10.78725	3.2155975	0.7591	6.475729	28.37925
162	10.79200	3.2239570	0.7560	6.471867	28.45719
163	10.79926	3.2261463	0.7500	6.470191	28.47293
164	10.80510	3.2303022	0.7560	6.467890	28.50897
165	10.81747	3.2286669	0.7620	6.467178	28.48338
166	10.82463	3.2289164	0.7681	6.466290	28.48026
167	10.82692	3.2334795	0.7682	6.464220	28.52301
168	10.83012	3.2345348	0.7590	6.463446	28.53081
169	10.83385	3.2400631	0.7561	6.460835	28.58187
170	10.82904	3.2417693	0.7440	6.460685	28.60229
171	10.81037	3.2423570	0.7500	6.462504	28.62259
172	10.78845	3.2424197	0.7561	6.464891	28.64033
173	10.76900	3.2405637	0.7561	6.467773	28.63739
174	10.74951	3.2387956	0.7591	6.470627	28.63534
175	10.73236	3.2399142	0.7621	6.472070	28.65970
176	10.72122	3.2423892	0.7560	6.472307	28.69266
177	10.71911	3.2428205	0.7620	6.472367	28.69854
178	10.70918	3.2402207	0.7499	6.474504	28.68087
179	10.69599	3.2366659	0.7501	6.477384	28.65638
180	10.68794	3.2325881	0.7470	6.479908	28.62273
181	10.68526	3.2297479	0.7471	6.481344	28.59701
182	10.69045	3.2276823	0.7501	6.481599	28.57271
183	10.69616	3.2245443	0.7471	6.482226	28.53753
184	10.69062	3.2212205	0.7531	6.484172	28.50930
185	10.68515	3.2199612	0.7500	6.485284	28.50124
186	10.68338	3.2202667	0.7592	6.485357	28.50561
187	10.68372	3.2211582	0.7593	6.484962	28.51407
188	10.68515	3.2203602	0.7561	6.485124	28.50514
189	10.69114	3.2154490	0.7471	6.486431	28.45240
190	10.70038	3.2157230	0.7412	6.485296	28.44789
191	10.69839	3.2181160	0.7261	6.484557	28.47287
192	10.69028	3.2187643	0.7259	6.485195	28.48553
193	10.68560	3.2191321	0.7352	6.485566	28.49277
