Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	16.27687	0.0010763	0.0174	6.856487	0.01211
2	16.27787	0.0011256	0.0085	6.856332	0.01234
3	16.27754	0.0011318	-0.0058	6.856380	0.01237
4	16.27507	0.0011966	-0.0235	6.856726	0.01266
5	16.27294	0.0012645	-0.0266	6.857023	0.01298
6	16.27314	0.0012645	-0.0236	6.856994	0.01298
7	16.27360	0.0012583	-0.0266	6.856927	0.01295
8	16.27394	0.0012552	-0.0266	6.856880	0.01293
9	16.27440	0.0012676	-0.0327	6.856809	0.01299
10	16.27514	0.0012645	-0.0175	6.856703	0.01298
11	16.27474	0.0012645	-0.0175	6.856761	0.01298
12	16.27287	0.0012583	-0.0206	6.857034	0.01295
13	16.27147	0.0012645	-0.0206	6.857237	0.01298
14	16.27147	0.0012583	-0.0267	6.857238	0.01295
15	16.27074	0.0012460	-0.0237	6.857347	0.01289
16	16.26987	0.0012552	-0.0206	6.857471	0.01293
17	16.26881	0.0012521	-0.0266	6.857627	0.01292
18	16.26727	0.0012460	-0.0267	6.857851	0.01289
19	16.26421	0.0012583	-0.0236	6.858295	0.01294
20	16.26094	0.0012552	-0.0266	6.858771	0.01293
21	16.26008	0.0012645	-0.0236	6.858895	0.01297
22	16.25894	0.0012583	-0.0296	6.859061	0.01294
23	16.25801	0.0012552	-0.0237	6.859198	0.01293
24	16.25715	0.0012521	-0.0296	6.859324	0.01291
25	16.25628	0.0012552	-0.0236	6.859450	0.01293
26	16.25688	0.0012460	-0.0206	6.859364	0.01289
27	16.25874	0.0012521	-0.0206	6.859091	0.01291
28	16.25954	0.0012552	-0.0235	6.858974	0.01293
29	16.25961	0.0012521	-0.0266	6.858965	0.01292
30	16.25974	0.0012552	-0.0296	6.858945	0.01293
31	16.26048	0.0012552	-0.0206	6.858839	0.01293
32	16.26141	0.0012429	-0.0206	6.858705	0.01287
33	16.26274	0.0012552	-0.0205	6.858509	0.01293
34	16.26447	0.0012429	-0.0236	6.858259	0.01287
35	16.21673	1.3466495	0.0339	6.480372	9.51743
36	15.86127	1.3020021	0.0612	6.538954	9.25828
37	15.54855	1.2401089	0.0733	6.598366	8.85250
38	15.35162	1.5402738	0.0976	6.529514	11.25065
39	15.21864	2.7508575	0.1945	6.159087	21.26148
40	15.11580	2.8436701	0.3278	6.140246	22.10950
41	15.04213	2.8633927	0.4518	6.141673	22.32011
42	14.99245	2.8743988	0.5397	6.143361	22.44294
43	14.96329	2.8802305	0.6244	6.144549	22.50977
44	14.94417	2.8856479	0.7122	6.144811	22.56737
45	14.93039	2.8765977	0.7757	6.149202	22.49735
46	14.92288	2.8709720	0.7909	6.151820	22.45321
47	14.91731	2.8756300	0.7698	6.150897	22.49653
48	14.91346	2.8852175	0.7547	6.148191	22.58134
49	14.90827	2.8911948	0.7576	6.146798	22.63585
50	14.90238	2.8940206	0.7728	6.146502	22.66362
51	14.90302	2.8979555	0.7969	6.145156	22.69718
52	14.90994	2.8923681	0.8001	6.146241	22.64499
53	14.91769	2.8873410	0.8061	6.147056	22.59719
54	14.91929	2.8878854	0.7880	6.146710	22.60096
55	14.93295	2.8953077	0.7759	6.142863	22.65703
56	14.94526	2.8984164	0.7727	6.140559	22.67670
57	14.94315	2.8972123	0.7698	6.141172	22.66755
58	14.94276	2.8969787	0.7880	6.141288	22.66575
59	14.94591	2.8965474	0.8122	6.141097	22.66021
60	14.95085	2.8930921	0.8273	6.141697	22.62759
61	14.95348	2.8905600	0.8214	6.142240	22.60427
62	14.95360	2.8940380	0.7880	6.141100	22.63416
63	14.96297	2.8960860	0.7457	6.139450	22.64640
64	14.96432	2.8920562	0.7244	6.140613	22.61093
65	14.95778	2.8921102	0.7335	6.141285	22.61517
66	14.95142	2.8925712	0.7516	6.141804	22.62280
67	14.94738	2.8917930	0.7758	6.142482	22.61842
68	14.94738	2.8876877	0.8001	6.143813	22.58306
69	14.94559	2.8857077	0.8061	6.144644	22.56705
70	14.95405	2.8891536	0.8062	6.142635	22.59184
71	14.96195	2.8935769	0.8122	6.140371	22.62537
72	14.96073	2.8937206	0.8094	6.140453	22.62731
73	14.95656	2.8936668	0.8092	6.140910	22.62925
74	14.95771	2.8930022	0.7760	6.141003	22.62287
75	14.96079	2.8946727	0.7458	6.140137	22.63549
76	14.96028	2.8922538	0.7335	6.140975	22.61496
77	14.95566	2.8882321	0.7426	6.142764	22.58300
78	14.95534	2.8844456	0.7760	6.144025	22.55058
79	14.96118	2.8859946	0.8033	6.142908	22.56054
80	14.96747	2.8863415	0.8153	6.142133	22.55991
81	14.97530	2.8870533	0.8002	6.141077	22.56153
82	14.99688	2.8865685	0.7820	6.138962	22.54496
83	15.01545	2.8844451	0.7760	6.137693	22.51604
84	15.01841	2.8832132	0.7881	6.137780	22.50376
85	15.01069	2.8827230	0.7880	6.138750	22.50397
86	15.00607	2.8852167	0.7760	6.138432	22.52806
87	15.00446	2.8866223	0.7579	6.138146	22.54107
88	14.99996	2.8840445	0.7488	6.139453	22.52149
89	14.99566	2.8799075	0.7366	6.141243	22.48840
90	14.98866	2.8773977	0.7518	6.142793	22.47083
91	14.98345	2.8766569	0.7670	6.143582	22.46744
92	14.98159	2.8771409	0.7972	6.143622	22.47266
93	14.98313	2.8822928	0.8245	6.141793	22.51607
94	14.98673	2.8842121	0.8245	6.140793	22.53051
95	14.99065	2.8857372	0.8214	6.139887	22.54138
96	15.00497	2.8837575	0.8033	6.139018	22.51613
97	15.01969	2.8806604	0.7791	6.138469	22.48109
98	15.02239	2.8786343	0.7700	6.138839	22.46214
99	15.01834	2.8778276	0.7579	6.139526	22.45753
100	15.01526	2.8765670	0.7549	6.140258	22.44846
101	15.01172	2.8754559	0.7762	6.140990	22.44093
102	15.00896	2.8779711	0.7761	6.140468	22.46413
103	15.01095	2.8813778	0.7822	6.139158	22.49226
104	15.01416	2.8829800	0.7913	6.138302	22.50418
105	15.01442	2.8833268	0.7883	6.138163	22.50702
106	15.01378	2.8826392	0.7882	6.138453	22.50148
107	15.01333	2.8789989	0.7701	6.139676	22.47046
108	15.01223	2.8731863	0.7549	6.141668	22.42115
109	15.00851	2.8680345	0.7822	6.143726	22.37901
110	15.00523	2.8707145	0.8064	6.143206	22.40390
111	15.00902	2.8786882	0.8125	6.140230	22.47024
112	15.01268	2.8826392	0.8126	6.138568	22.50210
113	15.02593	2.8832131	0.7732	6.136988	22.49945
114	15.04747	2.8759991	0.7490	6.137047	22.42517
115	15.06124	2.8713707	0.7610	6.137089	22.37760
116	15.06208	2.8707438	0.7822	6.137203	22.37174
117	15.05262	2.8700276	0.7884	6.138431	22.37098
118	15.04226	2.8701471	0.8004	6.139484	22.37790
119	15.03654	2.8727024	0.7974	6.139263	22.40310
120	15.03840	2.8757663	0.8004	6.138078	22.42834
121	15.04014	2.8776303	0.7914	6.137294	22.44336
122	15.03815	2.8774869	0.7762	6.137550	22.44327
123	15.03577	2.8731682	0.7641	6.139194	22.40755
124	15.03352	2.8700875	0.7612	6.140425	22.38239
125	15.02966	2.8682372	0.7641	6.141429	22.36870
126	15.02387	2.8684641	0.7703	6.141967	22.37395
127	15.02284	2.8721413	0.7732	6.140888	22.40611
128	15.02747	2.8753124	0.7793	6.139376	22.43070
129	15.02792	2.8764534	0.7885	6.138961	22.44023
130	15.02413	2.8765669	0.7944	6.139324	22.44338
131	15.02271	2.8771405	0.8097	6.139288	22.44911
132	15.02612	2.8777678	0.8097	6.138726	22.45255
133	15.03480	2.8781980	0.8066	6.137673	22.45128
134	15.04574	2.8787715	0.8066	6.136337	22.44995
135	15.05590	2.8795185	0.8036	6.135026	22.45055
136	15.06665	2.8801758	0.7915	6.133683	22.45005
137	15.07702	2.8809767	0.7794	6.132335	22.45100
138	15.08951	2.8811738	0.7552	6.130958	22.44556
139	15.10136	2.8794583	0.7401	6.130264	22.42409
140	15.10620	2.8767693	0.7461	6.130621	22.39828
141	15.10620	2.8727256	0.7764	6.131922	22.36361
142	15.09627	2.8707973	0.8037	6.133586	22.35272
143	15.07895	2.8729110	0.8189	6.134730	22.38071
144	15.07180	2.8765426	0.8218	6.134312	22.41593
145	15.06620	2.8775703	0.7915	6.134570	22.42795
146	15.07335	2.8750252	0.7734	6.134638	22.40204
147	15.08294	2.8718541	0.7946	6.134649	22.36937
148	15.08262	2.8703735	0.8127	6.135160	22.35686
149	15.07599	2.8728275	0.8219	6.135068	22.38168
150	15.07154	2.8753657	0.7946	6.134718	22.40599
151	15.06671	2.8755987	0.7795	6.135151	22.41074
152	15.06980	2.8742190	0.7766	6.135270	22.39715
153	15.07489	2.8733111	0.7826	6.135027	22.38646
154	15.07650	2.8730245	0.7856	6.134950	22.38308
155	15.07541	2.8734843	0.7826	6.134917	22.38765
156	15.07496	2.8740278	0.7735	6.134790	22.39257
157	15.07611	2.8737710	0.7826	6.134751	22.38970
158	15.07656	2.8731141	0.7826	6.134915	22.38381
159	15.07438	2.8724274	0.8099	6.135367	22.37916
160	15.06916	2.8727678	0.8220	6.135806	22.38505
161	15.06498	2.8746849	0.8098	6.135629	22.40389
162	15.06633	2.8758556	0.7887	6.135109	22.41317
163	15.07747	2.8767397	0.7736	6.133652	22.41440
164	15.09737	2.8743262	0.7736	6.132335	22.38236
165	15.10807	2.8722539	0.7888	6.131877	22.35850
166	15.10877	2.8710538	0.8131	6.132188	22.34781
167	15.10246	2.8723137	0.8069	6.132448	22.36220
168	15.09988	2.8743979	0.8009	6.132048	22.38153
169	15.09827	2.8745113	0.7858	6.132181	22.38343
170	15.09234	2.8713107	0.7858	6.133834	22.35937
171	15.08172	2.8687202	0.7949	6.135787	22.34320
172	15.06697	2.8658442	0.8010	6.138267	22.32692
173	15.05185	2.8633927	0.8009	6.140652	22.31449
174	15.03937	2.8635359	0.8101	6.141923	22.32281
175	15.03467	2.8689474	0.8161	6.140672	22.37193
176	15.03815	2.8717112	0.8131	6.139414	22.39367
177	15.04072	2.8738669	0.7889	6.138447	22.41071
178	15.05088	2.8706007	0.7647	6.138429	22.37689
179	15.05687	2.8671509	0.7617	6.138911	22.34389
180	15.05732	2.8641919	0.7707	6.139817	22.31825
181	15.05043	2.8631959	0.7830	6.140865	22.31361
182	15.04297	2.8633928	0.7889	6.141588	22.31954
183	15.03950	2.8648720	0.8012	6.141478	22.33421
184	15.04136	2.8671511	0.8132	6.140546	22.35270
185	15.04400	2.8686609	0.8315	6.139781	22.36415
186	15.04432	2.8699740	0.8314	6.139324	22.37523
187	15.04323	2.8708873	0.8376	6.139144	22.38369
