Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	12.02189	0.0001323	-0.0066	7.529220	0.00641
2	12.02124	0.0001169	-0.0066	7.529334	0.00636
3	12.02053	0.0001169	-0.0096	7.529456	0.00636
4	12.01946	0.0000984	-0.0065	7.529641	0.00631
5	12.01816	0.0000922	-0.0127	7.529865	0.00629
6	12.01645	0.0000891	-0.0036	7.530159	0.00629
7	12.01592	0.0000922	-0.0158	7.530250	0.00629
8	12.01627	0.0000922	-0.0096	7.530189	0.00629
9	12.01674	0.0000984	-0.0066	7.530108	0.00631
10	12.01680	0.0000922	-0.0098	7.530098	0.00629
11	12.01740	0.0000891	-0.0068	7.529997	0.00629
12	12.01775	0.0000737	-0.0038	7.529938	0.00625
13	12.01787	0.0000830	-0.0098	7.529916	0.00627
14	12.01805	0.0000830	-0.0008	7.529886	0.00627
15	12.01822	0.0000830	-0.0067	7.529856	0.00627
16	12.01870	0.0000460	-0.0151	7.529777	0.00621
17	12.01864	-0.0000126	-0.0204	7.530080	0.00000
18	12.01929	-0.0000065	-0.0179	7.529968	0.00000
19	12.01952	0.0000336	-0.0118	7.529635	0.00621
20	12.01941	0.0000120	-0.0083	7.529654	0.00625
21	12.01994	0.0000460	-0.0142	7.529564	0.00621
22	12.02000	0.0000521	-0.0102	7.529554	0.00622
23	12.02071	0.0000645	-0.0040	7.529431	0.00624
24	12.02142	0.0000676	-0.0042	7.529309	0.00624
25	12.02165	0.0000460	-0.0098	7.529270	0.00622
26	12.02248	0.0000213	-0.0086	7.529127	0.00622
27	12.02307	0.0000336	-0.0092	7.529026	0.00621
28	12.02360	0.0000028	-0.0147	7.528929	0.00633
29	12.02331	-0.0000589	-0.0202	7.529278	0.00000
30	12.02366	0.0000367	-0.0135	7.528925	0.00621
31	12.02437	0.0000460	-0.0094	7.528803	0.00622
32	12.02443	0.0000275	-0.0080	7.528793	0.00622
33	12.02425	0.0000028	-0.0095	7.528818	0.00633
34	12.02502	0.0000429	-0.0039	7.528691	0.00621
35	12.02585	0.0000552	-0.0069	7.528549	0.00623
36	12.02621	0.0000552	-0.0040	7.528488	0.00623
37	12.02621	0.0000583	-0.0009	7.528488	0.00623
38	12.02615	0.0000552	-0.0010	7.528498	0.00623
39	12.02597	0.0000552	-0.0008	7.528528	0.00623
40	12.02615	0.0000583	-0.0039	7.528498	0.00623
41	12.02638	0.0000645	-0.0071	7.528457	0.00624
42	12.02638	0.0000583	-0.0041	7.528457	0.00623
43	12.02674	0.0000460	-0.0042	7.528397	0.00622
44	12.02650	0.0000460	-0.0131	7.528438	0.00622
45	12.02674	0.0000521	-0.0010	7.528397	0.00622
46	12.02674	0.0000521	0.0081	7.528397	0.00622
47	12.18233	1.6483578	0.1384	6.910189	13.14767
48	12.89049	2.9767037	0.2987	6.334520	24.63080
49	13.49117	3.0370975	0.4444	6.248160	24.78867
50	13.89409	3.0548734	0.5531	6.199266	24.68842
51	14.11703	3.0266115	0.6351	6.185361	24.29585
52	14.22812	3.0467230	0.6228	6.166926	24.40385
53	14.29796	3.0636609	0.6260	6.153957	24.50936
54	14.33697	3.0660770	0.6349	6.149087	24.50603
