Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	16.31228	0.0024683	0.0164	6.851060	0.01883
2	16.31268	0.0024837	0.0134	6.850998	0.01890
3	16.31301	0.0024312	0.0224	6.850961	0.01864
4	16.31381	0.0023417	0.0104	6.850863	0.01819
5	16.31415	0.0021719	0.0164	6.850850	0.01735
6	16.31482	0.0020916	0.0194	6.850769	0.01696
7	16.31548	0.0020484	0.0195	6.850681	0.01674
8	16.31628	0.0020268	0.0164	6.850569	0.01664
9	16.31682	0.0020299	0.0194	6.850491	0.01665
10	16.31708	0.0020577	0.0194	6.850447	0.01679
11	16.31775	0.0020978	0.0163	6.850341	0.01699
12	16.31822	0.0020669	0.0193	6.850280	0.01683
13	16.31862	0.0020206	0.0193	6.850231	0.01661
14	16.31895	0.0020114	0.0223	6.850185	0.01656
15	16.31935	0.0019867	0.0194	6.850131	0.01644
16	16.31949	0.0019496	0.0163	6.850120	0.01626
17	16.31995	0.0019311	0.0163	6.850055	0.01617
18	16.32002	0.0019311	0.0162	6.850046	0.01617
19	16.32029	0.0019404	0.0133	6.850005	0.01621
20	16.32069	0.0019404	0.0193	6.849947	0.01621
21	16.32095	0.0019496	0.0192	6.849906	0.01626
22	16.32095	0.0019589	0.0162	6.849904	0.01631
23	16.32095	0.0019713	0.0193	6.849902	0.01637
24	16.32142	0.0019682	0.0163	6.849835	0.01635
25	16.32149	0.0019466	0.0101	6.849829	0.01624
26	16.32169	0.0019157	0.0102	6.849807	0.01609
27	16.32162	0.0018972	0.0162	6.849820	0.01600
28	16.32182	0.0018694	0.0193	6.849797	0.01587
29	16.32189	0.0018416	0.0132	6.849792	0.01573
30	16.32196	0.0018200	0.0133	6.849787	0.01563
31	16.32176	0.0017984	0.0163	6.849821	0.01552
32	16.32216	0.0017799	0.0162	6.849766	0.01543
33	16.32202	0.0017737	0.0223	6.849787	0.01540
34	16.32222	0.0017552	0.0162	6.849761	0.01532
35	16.32202	0.0017336	0.0102	6.849795	0.01521
36	16.32229	0.0017181	0.0193	6.849759	0.01514
37	16.32222	0.0016996	0.0132	6.849773	0.01505
38	16.32222	0.0016873	0.0131	6.849775	0.01499
39	16.32222	0.0016842	0.0162	6.849776	0.01497
40	16.32222	0.0016564	0.0162	6.849781	0.01484
41	16.32242	0.0016472	0.0192	6.849754	0.01480
42	16.32229	0.0016379	0.0223	6.849775	0.01475
43	16.32236	0.0016379	0.0132	6.849765	0.01475
44	16.32222	0.0016194	0.0193	6.849789	0.01466
45	16.32256	0.0016163	0.0192	6.849741	0.01465
46	16.32216	0.0016040	0.0193	6.849801	0.01459
47	16.32216	0.0015947	0.0162	6.849803	0.01454
48	16.32222	0.0015824	0.0102	6.849796	0.01449
49	16.32222	0.0015854	0.0193	6.849795	0.01450
50	16.32222	0.0017027	0.0132	6.849772	0.01506
51	16.32216	0.0016842	0.0161	6.849785	0.01497
52	16.32229	0.0016749	0.0161	6.849768	0.01493
53	16.32209	0.0016225	0.0162	6.849807	0.01468
54	16.32202	0.0015854	0.0223	6.849824	0.01450
55	16.32196	0.0016070	0.0162	6.849830	0.01460
56	16.32196	0.0016040	0.0102	6.849830	0.01459
57	16.32209	0.0015762	0.0162	6.849816	0.01446
58	16.32182	0.0016163	0.0162	6.849847	0.01465
59	16.32169	0.0016101	0.0132	6.849868	0.01462
60	16.32169	0.0015916	0.0131	6.849872	0.01453
61	16.32162	0.0017274	0.0162	6.849854	0.01518
62	16.32136	0.0017891	0.0162	6.849881	0.01548
63	16.32149	0.0018447	0.0133	6.849850	0.01575
64	16.32136	0.0018694	0.0132	6.849864	0.01587
65	16.32149	0.0019558	0.0162	6.849828	0.01629
66	16.32109	0.0020299	0.0162	6.849871	0.01665
67	16.32122	0.0021194	0.0162	6.849833	0.01709
68	16.32129	0.0021379	0.0192	6.849819	0.01718
69	16.32129	0.0021009	0.0161	6.849827	0.01700
70	16.32115	0.0021626	0.0162	6.849834	0.01731
71	16.32102	0.0022089	0.0161	6.849844	0.01754
72	16.32089	0.0021379	0.0193	6.849878	0.01718
73	16.32142	0.0020978	0.0133	6.849808	0.01699
74	16.32149	0.0020731	0.0132	6.849804	0.01687
75	16.32209	0.0021626	0.0133	6.849698	0.01731
76	16.32262	0.0020299	0.0132	6.849648	0.01665
77	16.32269	0.0018169	0.0133	6.849681	0.01561
78	16.32296	0.0017984	0.0102	6.849646	0.01552
79	16.32342	0.0018077	0.0163	6.849576	0.01557
80	16.32402	0.0017336	0.0132	6.849504	0.01521
81	16.32449	0.0016842	0.0162	6.849446	0.01497
82	16.32436	0.0016749	0.0223	6.849467	0.01493
83	16.32476	0.0017027	0.0162	6.849404	0.01506
84	16.32489	0.0017459	0.0162	6.849376	0.01527
85	16.32549	0.0017428	0.0193	6.849289	0.01526
86	16.32556	0.0016842	0.0162	6.849291	0.01497
87	16.32556	0.0016749	0.0162	6.849293	0.01493
88	16.32576	0.0017120	0.0162	6.849256	0.01511
89	16.32576	0.0016749	0.0162	6.849264	0.01493
90	16.32576	0.0016472	0.0193	6.849269	0.01480
