Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	16.48411	-0.0000466	-0.1589	6.826954	0.00000
2	16.48264	-0.0000435	-0.1588	6.827167	0.00000
3	16.48116	-0.0000435	-0.1618	6.827380	0.00000
4	16.47989	-0.0000527	-0.1559	6.827564	0.00000
5	16.47821	-0.0000435	-0.1558	6.827806	0.00000
6	16.47674	-0.0000496	-0.1558	6.828019	0.00000
7	16.47500	-0.0024167	-0.0875	6.828271	0.00000
8	16.47359	0.0002958	-0.0437	6.828103	0.00897
9	16.47238	-0.0000435	-0.1528	6.828648	0.00000
10	16.47084	-0.0000496	-0.1559	6.828871	0.00000
11	16.46943	-0.0000496	-0.1783	6.829074	0.00000
12	16.46796	-0.0002562	0.0820	6.829287	0.00000
13	16.46709	-0.0001915	0.1591	6.829413	0.00000
14	16.46575	-0.0000959	-0.1558	6.829607	0.00000
15	16.46347	-0.0000496	-0.1558	6.829936	0.00000
16	16.46166	-0.0000435	-0.1559	6.830197	0.00000
17	16.46005	-0.0000496	-0.1558	6.830430	0.00000
18	16.45838	-0.0000496	-0.1528	6.830672	0.00000
19	16.45643	-0.0000527	-0.1589	6.830953	0.00000
20	16.45476	-0.0000496	-0.1619	6.831195	0.00000
21	16.45295	-0.0000435	-0.1618	6.831456	0.00000
22	16.45174	-0.0000435	-0.1589	6.831631	0.00000
23	16.45067	-0.0000496	-0.1649	6.831785	0.00000
24	16.44873	-0.0000527	-0.1589	6.832066	0.00000
25	16.44692	-0.0000496	-0.1559	6.832328	0.00000
26	16.44511	-0.0000527	-0.1588	6.832589	0.00000
27	16.44042	-0.0000496	-0.1588	6.833267	0.00000
28	16.43540	-0.0000496	-0.1588	6.833993	0.00000
29	16.43332	-0.0000435	-0.1589	6.834294	0.00000
30	16.43065	-0.0000496	-0.1558	6.834681	0.00000
31	16.42362	-0.0000496	-0.1588	6.835698	0.00000
32	16.41719	-0.0000527	-0.1588	6.836628	0.00000
33	16.40936	-0.0000496	-0.1619	6.837761	0.00000
34	16.39150	-0.0000527	-0.1618	6.840348	0.00000
35	16.37552	-0.0000435	-0.1558	6.842664	0.00000
36	16.36931	-0.0000435	-0.1588	6.843565	0.00000
37	16.36790	-0.0000373	-0.1619	6.843768	0.00000
38	16.36777	-0.0000342	-0.1588	6.843788	0.00000
39	16.36737	-0.0000435	-0.1527	6.843846	0.00000
40	16.36717	-0.0000435	-0.1588	6.843875	0.00000
41	16.36550	-0.0000342	-0.1527	6.844117	0.00000
42	16.36463	-0.0000280	-0.1588	6.844243	0.00000
43	16.36436	-0.0000342	-0.1588	6.844282	0.00000
44	16.36416	-0.0000280	-0.1588	6.844311	0.00000
45	16.36389	-0.0000250	-0.1558	6.844350	0.00000
46	16.36403	-0.0000342	-0.1648	6.844330	0.00000
47	16.36416	-0.0000373	-0.1557	6.844311	0.00000
48	16.36436	-0.0000342	-0.1618	6.844282	0.00000
49	16.36429	-0.0000373	-0.1587	6.844291	0.00000
50	16.36423	-0.0000435	-0.1588	6.844301	0.00000
51	16.36323	-0.0000342	-0.1587	6.844447	0.00000
52	16.36129	-0.0000373	-0.1557	6.844728	0.00000
53	16.35688	-0.0000342	-0.1527	6.845367	0.00000
54	16.35300	-0.0000435	-0.1618	6.845929	0.00000
55	16.35087	-0.0000435	-0.1587	6.846239	0.00000
56	16.34973	-0.0000342	-0.1587	6.846404	0.00000
57	16.34946	-0.0000435	-0.1587	6.846443	0.00000
58	16.34940	-0.0000496	-0.1557	6.846453	0.00000
59	16.34926	-0.0000342	-0.1526	6.846472	0.00000
60	16.34906	-0.0000435	-0.1587	6.846501	0.00000
61	16.34853	-0.0000435	-0.1587	6.846579	0.00000
62	16.34759	-0.0000435	-0.1526	6.846714	0.00000
63	16.34679	-0.0000435	-0.1496	6.846831	0.00000
64	16.34506	-0.0000435	-0.1586	6.847083	0.00000
65	16.34425	-0.0000435	-0.1617	6.847199	0.00000
66	16.34025	-0.0000681	-0.1586	6.847780	0.00000
67	16.32476	-0.0000373	-0.1496	6.850029	0.00000
68	16.31195	-0.0000250	-0.1557	6.851891	0.00000
69	16.30868	-0.0000157	-0.1495	6.852366	0.00000
70	16.30874	-0.0000126	-0.1556	6.852356	0.00000
71	16.30914	-0.0000157	-0.1526	6.852298	0.00000
72	16.30988	-0.0000126	-0.1556	6.852191	0.00000
73	16.31021	-0.0000065	-0.1526	6.852143	0.00000
74	16.31081	-0.0000065	-0.1555	6.852055	0.00000
75	16.31128	-0.0000126	-0.1525	6.851988	0.00000
76	16.31128	-0.0000157	-0.1616	6.851988	0.00000
77	16.30981	-0.0000065	-0.1496	6.852201	0.00000
78	16.30921	-0.0000034	-0.1525	6.852288	0.00000
79	16.30941	-0.0000065	-0.1586	6.852259	0.00000
80	16.31008	-0.0000126	-0.1495	6.852162	0.00000
81	16.31028	-0.0000065	-0.1495	6.852133	0.00000
82	16.30828	-0.0000157	-0.1525	6.852424	0.00000
83	16.30141	-0.0000219	-0.1556	6.853422	0.00000
84	16.29600	-0.0000157	-0.1555	6.854208	0.00000
85	16.29400	-0.0000219	-0.1525	6.854499	0.00000
86	16.29287	-0.0000250	-0.1586	6.854664	0.00000
87	16.29260	-0.0000157	-0.1494	6.854702	0.00000
88	16.29227	-0.0000219	-0.1524	6.854751	0.00000
89	16.29220	-0.0000157	-0.1585	6.854761	0.00000
90	16.29134	-0.0000219	-0.1646	6.854887	0.00000
91	16.29200	-0.0000157	-0.1524	6.854790	0.00000
92	16.29307	-0.0000157	-0.1585	6.854635	0.00000
93	16.29294	-0.0000219	-0.1554	6.854654	0.00000
94	16.28794	-0.0000157	-0.1525	6.855381	0.00000
95	16.28187	-0.0000126	-0.1464	6.856264	0.00000
96	16.26954	-0.0000065	-0.1464	6.858058	0.00000
97	16.24995	-0.0000157	-0.1434	6.860909	0.00000
98	16.08233	-0.0000034	-0.1555	6.885400	0.00000
99	15.66826	-0.0000065	-0.1555	6.946568	0.00000
100	15.52937	-0.0000065	-0.1615	6.967300	0.00000
101	15.50713	-0.0000034	-0.1585	6.970630	0.00000
102	15.51848	-0.0000157	-0.1584	6.968931	0.00000
103	15.53948	-0.0000126	-0.1524	6.965787	0.00000
104	15.55195	-0.0000157	-0.1494	6.963923	0.00000
105	15.56011	-0.0000065	-0.1524	6.962703	0.00000
106	15.57467	-0.0000034	-0.1493	6.960526	0.00000
107	15.58185	-0.0000065	-0.1494	6.959453	0.00000
108	15.58617	-0.0000126	-0.1462	6.958809	0.00000
109	15.59701	-0.0000065	-0.1554	6.957189	0.00000
110	15.61015	-0.0000065	-0.1584	6.955228	0.00000
111	15.62532	-0.0000126	-0.1583	6.952965	0.00000
112	15.63945	-0.0000065	-0.1584	6.950858	0.00000
113	15.64973	-0.0000126	-0.1584	6.949327	0.00000
114	15.65726	-0.0000065	-0.1614	6.948206	0.00000
115	15.66302	-0.0000157	-0.1553	6.947348	0.00000
116	15.67278	-0.0000126	-0.1553	6.945895	0.00000
117	15.56592	0.0000028	-0.1523	6.961488	0.00816
118	14.85615	-0.0000126	-0.1524	7.069367	0.00000
