Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	9.56472	0.0007431	-0.1167	7.972354	0.00817
2	9.56694	0.0007307	-0.1106	7.971937	0.00810
3	9.56904	0.0007369	-0.1137	7.971536	0.00813
4	9.57165	0.0007400	-0.1105	7.971041	0.00815
5	9.57386	0.0007369	-0.1105	7.970622	0.00814
6	9.57597	0.0007400	-0.1106	7.970222	0.00815
7	9.57730	0.0007400	-0.1136	7.969970	0.00816
8	9.57741	0.0007369	-0.1106	7.969950	0.00814
9	9.57835	0.0007307	-0.1106	7.969773	0.00810
10	9.57952	0.0007369	-0.1106	7.969551	0.00814
11	9.58113	0.0007307	-0.1043	7.969248	0.00811
12	9.58201	0.0007400	-0.1075	7.969077	0.00816
13	9.58351	0.0007369	-0.1104	7.968794	0.00814
14	9.58501	0.0007307	-0.1107	7.968513	0.00811
15	9.58639	0.0007307	-0.1166	7.968250	0.00811
16	9.58794	0.0007307	-0.1165	7.967956	0.00811
17	9.58850	0.0007307	-0.1135	7.967851	0.00811
18	9.58889	0.0007307	-0.1106	7.967777	0.00811
19	9.58977	0.0007307	-0.1076	7.967609	0.00811
20	9.59011	0.0007369	-0.1166	7.967545	0.00814
21	9.58961	0.0007400	-0.1133	7.967638	0.00816
22	9.59016	0.0007307	-0.1104	7.967536	0.00811
23	9.58961	0.0007369	-0.1133	7.967639	0.00814
24	9.58151	0.0007307	-0.1074	7.969174	0.00811
25	9.57204	0.0007307	-0.1103	7.970970	0.00810
26	9.56832	0.0007400	-0.1135	7.971672	0.00815
27	9.56865	0.0007307	-0.1103	7.971611	0.00810
28	9.56993	0.0007307	-0.1103	7.971370	0.00810
29	9.57220	0.0007215	-0.1164	7.970942	0.00805
30	9.57425	0.0007215	-0.1133	7.970553	0.00805
31	9.57586	0.0007215	-0.1132	7.970248	0.00805
32	9.57713	0.0007307	-0.1102	7.970004	0.00810
33	9.57808	0.0007215	-0.1073	7.969828	0.00805
34	9.57907	0.0007307	-0.1103	7.969636	0.00810
35	9.58040	0.0007307	-0.1072	7.969384	0.00811
36	9.58052	0.0007215	-0.1163	7.969366	0.00805
37	9.58162	0.0007215	-0.1102	7.969156	0.00805
38	9.58312	0.0007215	-0.1071	7.968872	0.00806
39	9.58445	0.0007307	-0.1070	7.968618	0.00811
40	9.58528	0.0007215	-0.1070	7.968463	0.00806
41	9.58523	0.0007215	-0.1101	7.968473	0.00806
42	9.58456	0.0007307	-0.1070	7.968597	0.00811
43	9.58279	0.0007307	-0.1100	7.968933	0.00811
44	9.58174	0.0007215	-0.1098	7.969135	0.00805
45	9.58002	0.0007215	-0.1070	7.969460	0.00805
46	9.57880	0.0007307	-0.1070	7.969689	0.00810
47	9.57896	0.0007215	-0.1129	7.969660	0.00805
48	9.57963	0.0007307	-0.1099	7.969531	0.00810
49	9.58079	0.0007215	-0.1099	7.969313	0.00805
50	9.58168	0.0007215	-0.1099	7.969145	0.00805
51	9.58235	0.0007369	-0.1069	7.969015	0.00814
52	9.57591	0.0007400	-0.1159	7.970233	0.00815
53	9.55198	0.0007616	-0.1129	7.974765	0.00826
54	9.53165	0.0007678	-0.1128	7.978620	0.00829
55	9.51084	0.0007739	-0.1128	7.982571	0.00832
56	9.49087	0.0007863	-0.1098	7.986364	0.00838
57	9.47257	0.0007924	-0.1067	7.989844	0.00841
58	9.45759	0.0008017	-0.1097	7.992693	0.00845
59	9.44317	0.0008110	-0.1096	7.995437	0.00850
60	9.42903	0.0008295	-0.1095	7.998127	0.00860
