Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	8.50654	0.0000830	-0.1587	8.177627	0.00434
2	8.50665	0.0000830	-0.1589	8.177606	0.00434
3	8.50789	0.0000922	-0.1558	8.177358	0.00437
4	8.51059	0.0001385	-0.1559	8.176815	0.00455
5	8.51269	0.0001632	-0.1559	8.176392	0.00465
6	8.51339	0.0001878	-0.1618	8.176248	0.00476
7	8.51339	0.0002249	-0.1588	8.176239	0.00494
8	8.51339	0.0002773	-0.1590	8.176225	0.00519
9	8.51377	0.0003266	-0.1590	8.176138	0.00544
10	8.51350	0.0003667	-0.1528	8.176180	0.00565
11	8.51355	0.0004007	-0.1590	8.176160	0.00583
12	8.51382	0.0004469	-0.1560	8.176094	0.00607
13	8.51388	0.0004901	-0.1529	8.176070	0.00631
14	8.51712	0.0005086	-0.1590	8.175424	0.00641
15	8.52289	0.0005518	-0.1530	8.174268	0.00666
16	8.52569	0.0007030	-0.1590	8.173668	0.00751
17	8.52364	0.0006752	-0.1591	8.174082	0.00735
18	8.52235	0.0006876	-0.1562	8.174335	0.00742
19	8.52219	0.0006660	-0.1501	8.174373	0.00730
20	8.52186	0.0006598	-0.1561	8.174439	0.00726
21	8.52170	0.0006505	-0.1501	8.174474	0.00721
22	8.52138	0.0006505	-0.1530	8.174538	0.00721
23	8.52154	0.0006413	-0.1531	8.174509	0.00716
24	8.52159	0.0006351	-0.1560	8.174500	0.00712
25	8.52159	0.0006166	-0.1532	8.174506	0.00702
26	8.52154	0.0006073	-0.1530	8.174519	0.00697
27	8.52122	0.0005796	-0.1593	8.174591	0.00681
28	8.52073	0.0005518	-0.1501	8.174696	0.00665
29	8.51965	0.0005611	-0.1531	8.174907	0.00671
30	8.51954	0.0005549	-0.1531	8.174930	0.00667
31	8.52402	0.0005456	-0.1592	8.174046	0.00662
32	8.53061	0.0005395	-0.1470	8.172744	0.00659
33	8.53687	0.0005364	-0.1533	8.171506	0.00658
34	8.54135	0.0005456	-0.1531	8.170617	0.00663
35	8.54405	0.0005395	-0.1500	8.170085	0.00660
36	8.54901	0.0005364	-0.1533	8.169103	0.00658
37	8.55398	0.0005395	-0.1531	8.168120	0.00660
38	8.55933	0.0005456	-0.1502	8.167061	0.00664
39	8.56321	0.0005456	-0.1533	8.166293	0.00664
