Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	12.21376	0.0000460	-0.1692	7.496429	0.00632
2	12.21287	0.0000429	-0.1784	7.496581	0.00631
3	12.21204	0.0000460	-0.1664	7.496722	0.00632
4	12.21239	0.0000429	-0.1723	7.496662	0.00631
5	12.21293	0.0000460	-0.1694	7.496570	0.00632
6	12.20835	0.0000367	-0.1663	7.497350	0.00631
7	12.19528	0.0000429	-0.1724	7.499578	0.00631
8	12.18078	0.0000460	-0.1723	7.502049	0.00630
9	12.17247	0.0000367	-0.1725	7.503467	0.00629
10	12.16760	0.0000429	-0.1694	7.504297	0.00629
11	12.15976	0.0000367	-0.1694	7.505635	0.00628
12	12.15335	0.0000336	-0.1785	7.506729	0.00628
13	12.14914	0.0000460	-0.1693	7.507448	0.00628
14	12.14160	0.0000367	-0.1693	7.508735	0.00627
15	12.13632	0.0000429	-0.1694	7.509637	0.00627
16	12.13792	0.0000367	-0.1695	7.509363	0.00627
17	12.14220	0.0000429	-0.1693	7.508633	0.00628
18	12.14611	0.0000460	-0.1694	7.507965	0.00628
19	12.14926	0.0000367	-0.1663	7.507428	0.00628
20	12.15038	0.0000429	-0.1694	7.507235	0.00628
21	12.15163	0.0000367	-0.1693	7.507023	0.00628
22	12.15406	0.0000429	-0.1693	7.506607	0.00628
23	12.15733	0.0000460	-0.1724	7.506050	0.00629
24	12.15958	0.0000460	-0.1662	7.505665	0.00629
25	12.16231	0.0000336	-0.1724	7.505199	0.00629
26	12.16522	0.0000460	-0.1664	7.504702	0.00629
27	12.16861	0.0000429	-0.1693	7.504125	0.00629
28	12.17247	0.0000460	-0.1663	7.503467	0.00629
29	12.17603	0.0000367	-0.1724	7.502859	0.00629
30	12.17965	0.0000336	-0.1662	7.502241	0.00630
31	12.18310	0.0000460	-0.1694	7.501654	0.00630
32	12.18648	0.0000336	-0.1633	7.501076	0.00630
33	12.18951	0.0000367	-0.1664	7.500560	0.00630
34	12.19236	0.0000367	-0.1664	7.500074	0.00630
35	12.19534	0.0000336	-0.1662	7.499568	0.00630
36	12.19795	0.0000367	-0.1662	7.499122	0.00630
37	12.20033	0.0000367	-0.1662	7.498717	0.00631
38	12.20336	0.0000336	-0.1602	7.498201	0.00631
39	12.20508	0.0000367	-0.1692	7.497907	0.00631
40	12.20574	0.0000336	-0.1632	7.497796	0.00631
41	12.20627	0.0000275	-0.1692	7.497704	0.00631
42	12.20704	0.0000367	-0.1722	7.497573	0.00631
43	12.20722	0.0000336	-0.1663	7.497543	0.00631
44	12.20698	0.0000275	-0.1662	7.497583	0.00631
45	12.20651	0.0000336	-0.1693	7.497664	0.00631
46	12.20591	0.0000275	-0.1722	7.497765	0.00631
47	12.20633	0.0000460	-0.1631	7.497694	0.00631
48	12.20734	0.0000275	-0.1691	7.497522	0.00631
49	12.20894	0.0000367	-0.1600	7.497249	0.00631
50	12.21067	0.0000336	-0.1664	7.496955	0.00631
51	12.21114	0.0000275	-0.1662	7.496874	0.00632
52	12.21061	0.0000367	-0.1692	7.496965	0.00631
53	12.21013	0.0000336	-0.1632	7.497046	0.00631
54	12.21049	0.0000367	-0.1693	7.496986	0.00631
55	12.21079	0.0000275	-0.1692	7.496935	0.00632
56	12.21132	0.0000367	-0.1692	7.496844	0.00631
57	12.21239	0.0000275	-0.1692	7.496662	0.00632
58	12.21435	0.0000336	-0.1661	7.496328	0.00631
59	12.21715	0.0000213	-0.1691	7.495851	0.00633
60	12.22066	0.0000275	-0.1721	7.495254	0.00632
61	12.22345	0.0000275	-0.1721	7.494779	0.00632
62	12.22541	0.0000367	-0.1631	7.494445	0.00632
63	12.22732	0.0000336	-0.1692	7.494121	0.00632
64	12.22726	0.0000367	-0.1691	7.494131	0.00632
65	12.22636	0.0000275	-0.1631	7.494283	0.00632
66	12.22523	0.0000429	-0.1660	7.494475	0.00632
67	12.22351	0.0000367	-0.1629	7.494769	0.00632
68	12.21828	0.0000336	-0.1721	7.495659	0.00632
69	12.21120	0.0000275	-0.1661	7.496864	0.00632
70	12.20532	0.0000275	-0.1721	7.497866	0.00631
71	12.19902	0.0000336	-0.1691	7.498940	0.00631
72	12.19320	0.0000367	-0.1599	7.499932	0.00630
73	12.19124	0.0000275	-0.1659	7.500266	0.00630
74	12.19034	0.0000367	-0.1661	7.500418	0.00630
75	12.19397	0.0000367	-0.1629	7.499801	0.00630
76	12.19908	0.0000336	-0.1659	7.498930	0.00631
77	12.20443	0.0000275	-0.1660	7.498018	0.00631
78	12.20942	0.0000275	-0.1690	7.497168	0.00631
79	12.21227	0.0000367	-0.1659	7.496682	0.00631
80	12.21227	0.0000367	-0.1660	7.496682	0.00631
81	12.21085	0.0000336	-0.1659	7.496925	0.00631
82	12.20532	0.0000367	-0.1630	7.497867	0.00631
83	12.19872	0.0000275	-0.1659	7.498990	0.00631
84	12.19551	0.0000336	-0.1629	7.499537	0.00630
85	12.19088	0.0000367	-0.1630	7.500327	0.00630
86	12.16884	0.0809421	-0.1115	7.479335	0.53474
87	11.42290	2.7430325	0.0340	6.589099	23.40867
88	10.18993	2.8429244	0.2157	6.696214	25.18064
89	9.31793	2.8447708	0.3673	6.801478	25.81527
90	8.76422	2.8365102	0.4912	6.873748	26.13549
91	8.45496	2.8366854	0.5246	6.912456	26.36664
92	8.29225	2.8521318	0.5276	6.925902	26.64758
93	8.19195	2.8667017	0.5246	6.931845	26.87415
94	8.12507	2.8792067	0.5247	6.934496	27.05487
95	8.09431	2.8878656	0.5277	6.934360	27.16838
96	8.08192	2.8932703	0.5127	6.933412	27.23406
97	8.07504	2.8963484	0.5066	6.932850	27.27136
98	8.06619	2.8989724	0.5005	6.932746	27.30549
99	8.05819	2.9018310	0.5035	6.932425	27.34142
100	8.05131	2.9031498	0.5066	6.932676	27.36049
101	8.04294	2.9062198	0.5095	6.932302	27.39894
102	8.03670	2.9093150	0.5187	6.931647	27.43599
103	8.03824	2.9111391	0.5218	6.930606	27.45375
104	8.04406	2.9116071	0.5277	6.929661	27.45407
105	8.04843	2.9108810	0.5248	6.929450	27.44309
106	8.04869	2.9108510	0.5187	6.929430	27.44258
107	8.04619	2.9109350	0.5127	6.929705	27.44541
108	8.04096	2.9112831	0.5186	6.930199	27.45312
109	8.03425	2.9125315	0.5096	6.930461	27.47137
