Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	14.06375	0.0033979	0.0175	7.191880	0.02373
2	14.06306	0.0033855	0.0144	7.191992	0.02366
3	14.06243	0.0033855	0.0174	7.192091	0.02366
4	14.06231	0.0036048	0.0175	7.192058	0.02487
5	14.06218	0.0036882	0.0145	7.192057	0.02533
6	14.06231	0.0037160	0.0174	7.192030	0.02548
7	14.06218	0.0037253	0.0175	7.192048	0.02553
8	14.06218	0.0037408	0.0175	7.192044	0.02562
9	14.06206	0.0037562	0.0204	7.192060	0.02571
10	14.06225	0.0037593	0.0174	7.192030	0.02572
11	14.06212	0.0037624	0.0143	7.192049	0.02574
12	14.06193	0.0037686	0.0144	7.192077	0.02577
13	14.06174	0.0037778	0.0144	7.192104	0.02583
14	14.06200	0.0037871	0.0205	7.192062	0.02588
15	14.06212	0.0037964	0.0205	7.192040	0.02593
16	14.06181	0.0038334	0.0174	7.192081	0.02613
17	14.06156	0.0039663	0.0175	7.192088	0.02687
18	14.06112	0.0042382	0.0145	7.192090	0.02839
19	14.06049	0.0045720	0.0205	7.192106	0.03026
20	14.05987	0.0050573	0.0144	7.192084	0.03299
21	14.05905	0.0058766	0.0206	7.192006	0.03765
22	14.05843	0.0071697	0.0175	7.191776	0.04508
23	14.05787	0.0089714	0.0175	7.191400	0.05556
24	14.05724	0.0096683	0.0175	7.191318	0.05964
25	14.05636	0.0096281	0.0145	7.191467	0.05941
26	14.05568	0.0103159	0.0206	7.191396	0.06346
27	14.05499	0.0114070	0.0144	7.191219	0.06991
28	14.05424	0.0116334	0.0205	7.191279	0.07125
29	14.05355	0.0118505	0.0235	7.191330	0.07254
30	14.05280	0.0123560	0.0236	7.191316	0.07555
31	14.05230	0.0126290	0.0175	7.191323	0.07717
32	14.05180	0.0128772	0.0145	7.191336	0.07865
33	14.05117	0.0124274	0.0236	7.191554	0.07597
34	14.05067	0.0119528	0.0205	7.191759	0.07315
35	14.05086	0.0115249	0.0207	7.191842	0.07061
36	14.05061	0.0110133	0.0145	7.192016	0.06758
37	14.05086	0.0105515	0.0177	7.192097	0.06485
38	14.05099	0.0100556	0.0206	7.192207	0.06193
39	14.05061	0.0100277	0.0145	7.192274	0.06177
40	14.05048	0.0094329	0.0146	7.192448	0.05827
41	14.04986	0.0088847	0.0207	7.192690	0.05506
42	14.04980	0.0083923	0.0176	7.192827	0.05218
43	14.04930	0.0081261	0.0176	7.192975	0.05063
44	14.04886	0.0077360	0.0297	7.193145	0.04837
45	14.04867	0.0074575	0.0177	7.193246	0.04675
46	14.04842	0.0072223	0.0147	7.193346	0.04539
47	14.04817	0.0070707	0.0177	7.193425	0.04451
48	14.04798	0.0069283	0.0177	7.193491	0.04369
49	14.04780	0.0067922	0.0207	7.193556	0.04291
50	14.04748	0.0066901	0.0268	7.193631	0.04232
51	14.04692	0.0065787	0.0177	7.193749	0.04168
52	14.04654	0.0065076	0.0117	7.193826	0.04127
53	14.04629	0.0064581	0.0177	7.193879	0.04099
54	14.04598	0.0064272	0.0178	7.193936	0.04081
55	14.04536	0.0063715	0.0147	7.194049	0.04049
