Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	9.69110	0.0062973	-0.0556	7.946704	0.04283
2	9.69132	0.0066036	-0.0496	7.946561	0.04482
3	9.69204	0.0065417	-0.0556	7.946446	0.04442
4	9.69227	0.0063190	-0.0524	7.946477	0.04297
5	9.69271	0.0063159	-0.0465	7.946394	0.04295
6	9.69343	0.0061922	-0.0496	7.946299	0.04214
7	9.69371	0.0061643	-0.0497	7.946256	0.04196
8	9.69416	0.0064613	-0.0497	7.946074	0.04389
9	9.69477	0.0065510	-0.0497	7.945929	0.04448
10	9.69493	0.0068573	-0.0496	7.945797	0.04648
11	9.69499	0.0065170	-0.0529	7.945898	0.04426
12	9.69538	0.0063963	-0.0496	7.945865	0.04347
13	9.69588	0.0062540	-0.0468	7.945817	0.04254
14	9.69560	0.0061643	-0.0498	7.945899	0.04196
15	9.69599	0.0061489	-0.0498	7.945831	0.04186
16	9.69616	0.0060932	-0.0557	7.945818	0.04150
17	9.69627	0.0060282	-0.0466	7.945818	0.04108
18	9.69660	0.0059509	-0.0529	7.945781	0.04057
19	9.69694	0.0058458	-0.0499	7.945752	0.03989
20	9.69694	0.0057530	-0.0468	7.945783	0.03929
21	9.69716	0.0056695	-0.0528	7.945768	0.03875
22	9.69721	0.0055489	-0.0529	7.945797	0.03797
23	9.69755	0.0054314	-0.0468	7.945773	0.03721
24	9.69783	0.0053046	-0.0470	7.945762	0.03639
25	9.69822	0.0052335	-0.0468	7.945711	0.03593
26	9.69788	0.0051686	-0.0499	7.945795	0.03551
27	9.69816	0.0051192	-0.0437	7.945759	0.03520
28	9.69833	0.0050480	-0.0470	7.945751	0.03474
29	9.69872	0.0049615	-0.0470	7.945706	0.03418
30	9.69883	0.0049028	-0.0438	7.945704	0.03380
31	9.69872	0.0048595	-0.0498	7.945739	0.03353
32	9.69883	0.0048224	-0.0439	7.945730	0.03329
33	9.69905	0.0047884	-0.0409	7.945699	0.03307
34	9.69938	0.0047420	-0.0498	7.945651	0.03277
35	9.69933	0.0047173	-0.0438	7.945670	0.03261
36	9.69972	0.0046988	-0.0500	7.945602	0.03250
37	9.70016	0.0046709	-0.0470	7.945528	0.03232
38	9.69966	0.0046617	-0.0561	7.945625	0.03226
39	9.70011	0.0046369	-0.0499	7.945549	0.03210
40	9.70011	0.0046091	-0.0471	7.945558	0.03192
41	9.70066	0.0045875	-0.0499	7.945460	0.03178
42	9.70049	0.0045566	-0.0469	7.945502	0.03158
43	9.70049	0.0045319	-0.0499	7.945510	0.03143
44	9.70044	0.0045195	-0.0470	7.945524	0.03135
45	9.70116	0.0044762	-0.0500	7.945402	0.03107
46	9.70066	0.0044484	-0.0439	7.945505	0.03089
47	9.70133	0.0044113	-0.0500	7.945391	0.03066
48	9.70138	0.0044391	-0.0409	7.945372	0.03083
49	9.70138	0.0044299	-0.0471	7.945375	0.03077
50	9.70150	0.0044206	-0.0409	7.945357	0.03072
51	9.70166	0.0045628	-0.0440	7.945280	0.03162
52	9.70177	0.0046369	-0.0409	7.945235	0.03210
53	9.70133	0.0045720	-0.0468	7.945339	0.03168
54	9.70150	0.0045288	-0.0470	7.945322	0.03141
55	9.70205	0.0044608	-0.0469	7.945239	0.03097
56	9.70222	0.0044113	-0.0501	7.945224	0.03066
57	9.70216	0.0043588	-0.0471	7.945251	0.03032
58	9.70239	0.0043279	-0.0471	7.945219	0.03012
59	9.70244	0.0042970	-0.0440	7.945219	0.02993
60	9.70272	0.0042630	-0.0409	7.945177	0.02971
61	9.70233	0.0042414	-0.0471	7.945258	0.02957
62	9.70088	0.0042166	-0.0468	7.945538	0.02941
63	9.70038	0.0041796	-0.0468	7.945644	0.02918
64	9.70055	0.0041517	-0.0530	7.945622	0.02900
65	9.70094	0.0041116	-0.0501	7.945561	0.02875
66	9.70122	0.0040807	-0.0410	7.945519	0.02855
67	9.70133	0.0040405	-0.0412	7.945511	0.02829
68	9.70088	0.0040189	-0.0410	7.945602	0.02816
69	9.70122	0.0039818	-0.0471	7.945551	0.02792
70	9.70150	0.0039602	-0.0470	7.945505	0.02778
71	9.70150	0.0039385	-0.0560	7.945512	0.02765
72	9.70127	0.0039138	-0.0532	7.945562	0.02749
73	9.70166	0.0038860	-0.0471	7.945498	0.02731
74	9.70127	0.0038767	-0.0439	7.945574	0.02726
75	9.70072	0.0038489	-0.0439	7.945688	0.02708
76	9.70105	0.0038304	-0.0442	7.945631	0.02696
77	9.70105	0.0038180	-0.0470	7.945635	0.02688
78	9.70138	0.0037964	-0.0409	7.945579	0.02675
79	9.70150	0.0037779	-0.0471	7.945564	0.02663
80	9.70127	0.0037686	-0.0471	7.945608	0.02657
81	9.70088	0.0037593	-0.0470	7.945685	0.02651
82	9.70049	0.0037563	-0.0470	7.945759	0.02649
83	9.70077	0.0037346	-0.0440	7.945714	0.02636
84	9.70088	0.0037315	-0.0469	7.945694	0.02634
85	9.70105	0.0037346	-0.0409	7.945661	0.02636
86	9.69149	0.0340021	-0.0197	7.937044	0.23247
87	9.32751	1.1943141	0.0558	7.521134	10.02257
88	8.79257	2.4412266	0.1288	7.047233	22.14403
89	8.42050	2.4717912	0.1770	7.083509	22.68534
90	8.15932	2.4981295	0.2467	7.106685	23.12144
91	7.97311	2.5157132	0.3707	7.123718	23.42402
92	7.83922	2.5285280	0.5134	7.135862	23.64525
93	7.75206	2.5403778	0.6557	7.142092	23.82624
94	7.70218	2.5380776	0.7828	7.149971	23.83656
95	7.67528	2.5041977	0.8798	7.169795	23.50561
96	7.66435	2.5158183	0.9190	7.165748	23.63275
97	7.68479	2.5270817	0.9070	7.157582	23.73499
98	7.74550	2.5311628	0.8889	7.147365	23.73575
99	7.78420	2.5279357	0.8768	7.143629	23.67628
100	7.81075	2.5248983	0.8889	7.141456	23.62709
101	7.82798	2.5258439	0.9070	7.138666	23.62515
102	7.83238	2.5293946	0.9191	7.136389	23.65863
103	7.81986	2.5323198	0.9280	7.136705	23.69715
104	7.80741	2.5368326	0.9190	7.136261	23.75198
105	7.78664	2.5468038	0.9069	7.134356	23.86869
106	7.76180	2.5587523	0.8979	7.132055	24.00875
107	7.73523	2.5638548	0.9039	7.133228	24.07965
108	7.71392	2.5649893	0.9160	7.135574	24.10607
109	7.69822	2.5662844	0.9341	7.137083	24.13029
110	7.68585	2.5673046	0.9341	7.138272	24.14939
111	7.67539	2.5657746	0.9313	7.140418	24.14082
112	7.66493	2.5658435	0.9282	7.141802	24.14878
113	7.65543	2.5697124	0.9251	7.141245	24.19537
114	7.64777	2.5736523	0.9250	7.140401	24.24144
115	7.64249	2.5768310	0.9251	7.139598	24.27801
116	7.64212	2.5791327	0.9281	7.138550	24.30208
117	7.64503	2.5804761	0.9313	7.137516	24.31396
118	7.64788	2.5812742	0.9373	7.136750	24.32023
119	7.64920	2.5824688	0.9495	7.136001	24.33167
120	7.64930	2.5843011	0.9463	7.135113	24.35056
121	7.64830	2.5860076	0.9402	7.134434	24.36893
122	7.64677	2.5865650	0.9373	7.134375	24.37577
123	7.64508	2.5861857	0.9344	7.134784	24.37303
124	7.64302	2.5868236	0.9221	7.134757	24.38108
125	7.64059	2.5891285	0.9223	7.133985	24.40664
126	7.63832	2.5911811	0.9344	7.133311	24.42949
127	7.63732	2.5924061	0.9344	7.132862	24.44288
128	7.63922	2.5942870	0.9343	7.131708	24.46103
