Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	17.74070	0.0099130	-0.0552	6.647442	0.05723
2	17.73924	0.0095629	-0.0551	6.647718	0.05536
3	17.73722	0.0097581	-0.0581	6.647954	0.05641
4	17.73486	0.0101485	-0.0522	6.648197	0.05849
5	17.73249	0.0101918	-0.0492	6.648513	0.05872
6	17.73006	0.0100927	-0.0491	6.648870	0.05820
7	17.72804	0.0099316	-0.0522	6.649182	0.05734
8	17.72637	0.0096775	-0.0491	6.649466	0.05599
9	17.72436	0.0094916	-0.0491	6.649783	0.05500
10	17.72255	0.0092996	-0.0461	6.650073	0.05398
11	17.72088	0.0092996	-0.0552	6.650303	0.05398
12	17.71886	0.0093368	-0.0552	6.650573	0.05418
13	17.71740	0.0092376	-0.0552	6.650795	0.05365
14	17.71566	0.0092686	-0.0552	6.651028	0.05382
15	17.71420	0.0093894	-0.0522	6.651204	0.05446
16	17.71261	0.0092593	-0.0491	6.651452	0.05377
17	17.71087	0.0090487	-0.0552	6.651736	0.05266
18	17.70899	0.0090921	-0.0552	6.651985	0.05289
19	17.70461	0.0101020	-0.0523	6.652374	0.05827
20	17.70030	0.0096434	-0.0492	6.653066	0.05583
21	17.69745	0.0092005	-0.0583	6.653553	0.05347
22	17.69370	0.0088319	-0.0491	6.654149	0.05152
23	17.68231	0.0083241	-0.0491	6.655828	0.04884
24	17.67356	0.0079495	-0.0491	6.657115	0.04687
25	17.67050	0.0077917	-0.0492	6.657570	0.04604
26	17.66821	0.0078783	-0.0521	6.657868	0.04650
27	17.66620	0.0083891	-0.0491	6.658038	0.04920
28	17.66432	0.0084634	-0.0583	6.658281	0.04959
29	17.66016	0.0083179	-0.0491	6.658887	0.04882
30	17.65273	0.0082931	-0.0552	6.659918	0.04870
31	17.64725	0.0083117	-0.0522	6.660671	0.04880
32	17.64330	0.0083736	-0.0492	6.661205	0.04913
33	17.64038	0.0083272	-0.0522	6.661617	0.04889
34	17.63879	0.0083427	-0.0461	6.661834	0.04897
35	17.63699	0.0084634	-0.0492	6.662058	0.04961
36	17.63490	0.0085966	-0.0552	6.662317	0.05032
37	17.63074	0.0089310	-0.0522	6.662822	0.05210
38	17.62318	0.0088505	-0.0612	6.663884	0.05168
39	17.61119	0.0089496	-0.0521	6.665521	0.05221
40	17.57642	0.0090921	-0.0521	6.670305	0.05300
41	17.55129	0.0089248	-0.0491	6.673823	0.05213
42	17.53933	0.0087762	-0.0582	6.675514	0.05135
43	17.53379	0.0086616	-0.0552	6.676306	0.05074
44	17.52951	0.0085966	-0.0491	6.676915	0.05040
45	17.52121	0.0085625	-0.0520	6.678074	0.05023
46	17.51679	0.0085161	-0.0490	6.678698	0.04998
47	17.51520	0.0084449	-0.0491	6.678934	0.04960
48	17.51388	0.0084046	-0.0490	6.679125	0.04939
49	17.51312	0.0082932	-0.0521	6.679254	0.04880
50	17.51243	0.0081724	-0.0521	6.679376	0.04816
51	17.51181	0.0080950	-0.0520	6.679478	0.04775
52	17.51119	0.0080238	-0.0460	6.679580	0.04737
53	17.51063	0.0078845	-0.0492	6.679686	0.04664
54	17.51008	0.0079340	-0.0521	6.679753	0.04690
55	17.50925	0.0078938	-0.0551	6.679876	0.04669
56	17.50842	0.0078164	-0.0491	6.680008	0.04628
57	17.50794	0.0077421	-0.0521	6.680091	0.04589
58	17.50732	0.0076988	-0.0460	6.680186	0.04566
59	17.50663	0.0076369	-0.0520	6.680295	0.04533
60	17.50594	0.0075657	-0.0460	6.680407	0.04496
61	17.49930	0.0075007	-0.0460	6.681342	0.04462
62	17.49267	0.0074326	-0.0521	6.682278	0.04426
63	17.49053	0.0073862	-0.0490	6.682585	0.04402
64	17.48984	0.0073274	-0.0520	6.682693	0.04371
65	17.48970	0.0072593	-0.0551	6.682727	0.04335
66	17.48929	0.0072222	-0.0551	6.682792	0.04315
67	17.48874	0.0072005	-0.0489	6.682874	0.04304
68	17.48805	0.0071510	-0.0491	6.682980	0.04278
69	17.48770	0.0071108	-0.0520	6.683037	0.04257
70	17.48735	0.0070613	-0.0489	6.683095	0.04231
71	17.48653	0.0070335	-0.0490	6.683216	0.04216
72	17.48590	0.0069809	-0.0521	6.683314	0.04189
73	17.48521	0.0069097	-0.0521	6.683425	0.04151
74	17.48439	0.0068571	-0.0521	6.683551	0.04124
75	17.48370	0.0068014	-0.0520	6.683659	0.04095
76	17.48294	0.0067705	-0.0550	6.683771	0.04078
77	17.48225	0.0067395	-0.0489	6.683874	0.04062
78	17.48149	0.0066746	-0.0430	6.683993	0.04028
79	17.48066	0.0066498	-0.0490	6.684113	0.04015
80	17.47969	0.0066312	-0.0459	6.684252	0.04006
81	17.47865	0.0066034	-0.0459	6.684401	0.03991
82	17.47776	0.0065787	-0.0489	6.684531	0.03978
83	17.47672	0.0065632	-0.0489	6.684679	0.03970
84	17.47548	0.0065415	-0.0519	6.684856	0.03959
85	17.47472	0.0065137	-0.0520	6.684967	0.03944
86	17.47355	0.0064704	-0.0459	6.685140	0.03922
87	17.47223	0.0064425	-0.0520	6.685328	0.03907
88	17.47113	0.0064178	-0.0490	6.685487	0.03894
89	17.46968	0.0063900	-0.0458	6.685694	0.03880
