Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	13.04628	0.0053942	-0.1551	7.355662	0.03534
2	13.04226	0.0052428	-0.1612	7.356364	0.03445
3	13.03794	0.0053850	-0.1531	7.357037	0.03529
4	13.03417	0.0058086	-0.1550	7.357544	0.03777
5	13.03089	0.0056292	-0.1461	7.358134	0.03672
6	13.02822	0.0054468	-0.1581	7.358623	0.03565
7	13.02597	0.0052613	-0.1582	7.359043	0.03457
8	13.02396	0.0055025	-0.1583	7.359310	0.03598
9	13.02226	0.0056107	-0.1492	7.359561	0.03662
10	13.01946	0.0054406	-0.1491	7.360068	0.03562
11	13.01357	0.0052891	-0.1553	7.361080	0.03474
12	13.00834	0.0051005	-0.1522	7.361992	0.03364
13	13.00591	0.0049151	-0.1552	7.362443	0.03256
14	13.00421	0.0047976	-0.1552	7.362754	0.03188
15	13.00269	0.0046523	-0.1523	7.363044	0.03103
16	13.00124	0.0045194	-0.1523	7.363319	0.03026
17	13.00020	0.0044113	-0.1522	7.363518	0.02964
18	12.99923	0.0044391	-0.1523	7.363671	0.02980
19	12.99765	0.0044205	-0.1491	7.363937	0.02969
20	12.99662	0.0043896	-0.1521	7.364115	0.02951
21	12.99583	0.0043680	-0.1552	7.364251	0.02939
22	12.99492	0.0043495	-0.1521	7.364407	0.02928
23	12.99437	0.0043031	-0.1491	7.364509	0.02902
24	12.99352	0.0042506	-0.1552	7.364663	0.02871
25	12.99285	0.0042382	-0.1492	7.364777	0.02864
26	12.99140	0.0041981	-0.1490	7.365028	0.02841
27	12.99012	0.0041610	-0.1522	7.365248	0.02820
28	12.98903	0.0041362	-0.1522	7.365435	0.02805
29	12.98800	0.0041177	-0.1581	7.365611	0.02795
30	12.98763	0.0040961	-0.1491	7.365677	0.02782
31	12.98702	0.0040806	-0.1612	7.365781	0.02773
32	12.98593	0.0040899	-0.1490	7.365959	0.02779
33	12.98472	0.0040714	-0.1551	7.366164	0.02768
34	12.98381	0.0040559	-0.1522	7.366319	0.02759
35	12.98362	0.0040405	-0.1553	7.366353	0.02750
36	12.98326	0.0040188	-0.1552	7.366419	0.02738
37	12.98314	0.0040157	-0.1520	7.366440	0.02736
38	12.98302	0.0040096	-0.1459	7.366461	0.02733
39	12.98277	0.0040003	-0.1521	7.366504	0.02727
40	12.98235	0.0040096	-0.1431	7.366571	0.02733
41	12.98156	0.0040188	-0.1520	7.366699	0.02738
42	12.98047	0.0040157	-0.1490	7.366881	0.02736
43	12.97913	0.0039910	-0.1520	7.367108	0.02722
44	12.97597	0.0039910	-0.1582	7.367629	0.02722
45	12.97088	0.0039848	-0.1490	7.368473	0.02719
46	12.96420	0.0039570	-0.1490	7.369583	0.02703
47	12.95947	0.0039385	-0.1489	7.370370	0.02692
48	12.95759	-0.0099778	-0.1217	7.371915	0.00000
49	12.34687	2.1096920	-0.0127	6.716142	17.12752
50	10.58423	2.8289075	0.1538	6.654724	24.77445
51	9.27968	2.8599222	0.2991	6.799594	25.99458
52	8.39785	2.8831555	0.4295	6.898465	26.88656
53	7.85100	2.8934581	0.5627	6.962436	27.41621
54	7.53254	2.9002178	0.7081	6.999630	27.73909
55	7.34782	2.9015740	0.8201	7.022536	27.90145
56	7.25779	2.9028457	0.9081	7.033440	27.98758
57	7.21797	2.8910935	0.9443	7.044250	27.89473
58	7.26600	2.9068330	0.9381	7.030458	28.02332
59	7.36485	2.9208672	0.9320	7.011069	28.09229
60	7.37025	2.9251764	0.9381	7.008308	28.13362
61	7.30540	2.9280331	0.9443	7.015178	28.21670
62	7.25742	2.9142497	0.9534	7.027962	28.10915
63	7.24064	2.9297238	0.9503	7.022604	28.28756
64	7.23468	2.9271016	0.9504	7.024634	28.26450
65	7.21091	2.9452345	0.9351	7.018862	28.47732
66	7.16827	2.9448794	0.9383	7.024456	28.50869
67	7.13213	2.9426200	0.9443	7.030157	28.51437
68	7.11727	2.9433311	0.9534	7.031703	28.53425
69	7.10576	2.9477010	0.9778	7.031037	28.59053
70	7.09654	2.9532558	0.9897	7.029499	28.65764
71	7.09862	2.9589652	0.9868	7.026446	28.71706
72	7.10076	2.9602694	0.9687	7.025537	28.72926
73	7.08831	2.9550841	0.9414	7.029651	28.68408
74	7.06270	2.9517298	0.9233	7.034550	28.66944
75	7.03534	2.9472495	0.9081	7.040231	28.64415
76	7.02120	2.9438261	0.9262	7.043714	28.61917
77	7.02504	2.9440310	0.9475	7.043123	28.61816
78	7.03030	2.9475329	0.9717	7.040737	28.65136
79	7.03638	2.9555553	0.9869	7.036030	28.73235
80	7.06166	2.9649995	0.9869	7.028192	28.81256
81	7.08415	2.9693750	0.9899	7.023200	28.84069
82	7.07936	2.9596900	0.9626	7.028539	28.74088
83	7.05547	2.9504633	0.9477	7.036092	28.66186
84	7.02619	2.9469361	0.9354	7.041553	28.64838
85	7.01241	2.9461406	0.9354	7.043701	28.65130
86	7.01002	2.9468760	0.9416	7.043645	28.66118
87	7.00841	2.9491129	0.9537	7.042753	28.68652
88	7.00623	2.9525206	0.9658	7.041360	28.72492
89	7.00576	2.9565877	0.9657	7.039423	28.76898
90	7.00784	2.9600952	0.9718	7.037438	28.80492
91	7.00935	2.9611882	0.9687	7.036710	28.81540
92	7.00555	2.9572034	0.9657	7.039148	28.77577
93	6.99568	2.9519356	0.9567	7.042992	28.72744
94	6.98332	2.9500840	0.9415	7.045479	28.71787
95	6.97288	2.9491434	0.9537	7.047274	28.71646
96	6.96956	2.9500841	0.9628	7.047236	28.72934
97	6.97594	2.9531725	0.9750	7.044902	28.75719
98	6.99147	2.9576743	0.9688	7.040710	28.79259
99	7.02073	2.9605842	0.9628	7.035557	28.79940
100	7.04626	2.9618945	0.9538	7.031668	28.79213
101	7.04408	2.9554949	0.9508	7.035079	28.72530
102	7.02499	2.9520680	0.9568	7.039189	28.70443
103	7.00680	2.9528162	0.9659	7.041142	28.72762
104	6.99667	2.9552298	0.9659	7.041249	28.76199
105	6.99682	2.9583866	0.9690	7.039679	28.79577
106	7.00794	2.9611701	0.9599	7.036897	28.81638
107	7.02037	2.9626317	0.9538	7.034599	28.82169
108	7.01933	2.9589177	0.9447	7.036553	28.78268
109	7.00831	2.9544694	0.9508	7.040138	28.74412
110	6.99578	2.9532266	0.9477	7.042344	28.74122
111	6.98727	2.9546687	0.9659	7.042723	28.76382
112	6.98690	2.9589059	0.9659	7.040688	28.80965
113	7.00108	2.9654411	0.9720	7.035674	28.86800
114	7.03622	2.9694661	0.9720	7.029236	28.88178
115	7.07223	2.9684804	0.9630	7.025148	28.84107
116	7.08769	2.9688430	0.9600	7.023010	28.83203
117	7.08279	2.9682204	0.9541	7.023935	28.82945
118	7.06785	2.9676403	0.9570	7.026114	28.83572
119	7.05531	2.9751569	0.9630	7.024028	28.92687
120	7.05719	2.9877992	0.9783	7.017608	29.06102
121	7.06775	2.9880718	0.9692	7.016139	29.05504
122	7.08061	2.9897989	0.9601	7.013671	29.06275
123	7.14928	2.9894103	0.9480	7.005195	29.00082
124	7.21133	2.9667142	0.9450	7.008386	28.70626
