Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	14.32838	0.0001882	0.0223	0.0222	7.150907	0.00769
2	14.32768	0.0001913	0.0192	0.0191	7.151015	0.00770
3	14.32699	0.0001820	0.0253	0.0252	7.151125	0.00767
4	14.32649	0.0001728	0.0313	0.0312	7.151205	0.00765
5	14.32560	0.0001820	0.0283	0.0282	7.151342	0.00767
6	14.32472	0.0001820	0.0222	0.0221	7.151481	0.00767
7	14.32403	0.0001820	0.0192	0.0191	7.151589	0.00767
8	14.32327	0.0001820	0.0190	0.0189	7.151708	0.00767
9	14.32270	0.0001728	0.0222	0.0220	7.151798	0.00764
10	14.32201	0.0001666	0.0252	0.0251	7.151908	0.00763
11	14.32138	0.0001635	0.0161	0.0160	7.152007	0.00762
12	14.32075	0.0001635	0.0252	0.0251	7.152106	0.00762
13	14.31999	0.0001666	0.0252	0.0250	7.152224	0.00762
14	14.31943	0.0001635	0.0282	0.0281	7.152313	0.00761
15	14.31855	0.0001574	0.0252	0.0250	7.152452	0.00760
16	14.31810	0.0001543	0.0221	0.0220	7.152522	0.00759
17	14.31747	0.0001543	0.0252	0.0251	7.152621	0.00759
18	14.31665	0.0001512	0.0250	0.0249	7.152749	0.00758
19	14.31621	0.0001543	0.0251	0.0250	7.152818	0.00759
20	14.31558	0.0001543	0.0250	0.0249	7.152917	0.00759
21	14.31502	0.0001512	0.0220	0.0219	7.153006	0.00758
22	14.31458	0.0001450	0.0251	0.0249	7.153076	0.00756
23	14.31376	0.0001574	0.0250	0.0249	7.153203	0.00759
24	14.31294	0.0001450	0.0251	0.0249	7.153333	0.00756
25	14.31275	0.0001450	0.0281	0.0280	7.153363	0.00756
26	14.31206	0.0001512	0.0312	0.0310	7.153471	0.00758
27	14.31142	0.0001450	0.0251	0.0250	7.153570	0.00756
28	14.31073	0.0001420	0.0280	0.0279	7.153679	0.00755
29	14.31010	0.0001450	0.0221	0.0220	7.153778	0.00756
30	14.30960	0.0001543	0.0220	0.0219	7.153856	0.00758
31	14.30903	0.0001420	0.0220	0.0219	7.153946	0.00755
32	14.30853	0.0001543	0.0250	0.0249	7.154024	0.00758
33	14.30796	0.0001420	0.0280	0.0278	7.154114	0.00755
34	14.30733	0.0001450	0.0250	0.0248	7.154213	0.00756
35	14.30664	0.0001543	0.0220	0.0219	7.154320	0.00758
36	14.30613	0.0001512	0.0280	0.0279	7.154400	0.00757
37	14.30569	0.0001450	0.0280	0.0279	7.154470	0.00756
38	14.30513	0.0001420	0.0250	0.0248	7.154559	0.00755
39	14.30468	0.0001543	0.0311	0.0310	7.154627	0.00758
40	14.30412	0.0001450	0.0250	0.0249	7.154717	0.00756
41	14.30330	0.0001420	0.0281	0.0280	7.154845	0.00755
42	14.30286	0.0001450	0.0250	0.0248	7.154914	0.00756
43	14.30242	0.0001450	0.0250	0.0248	7.154983	0.00756
44	14.30198	0.0001420	0.0219	0.0218	7.155053	0.00755
45	14.30135	0.0001450	0.0311	0.0309	7.155151	0.00755
46	14.30090	0.0001512	0.0280	0.0279	7.155220	0.00757
47	14.30059	0.0001450	0.0219	0.0218	7.155270	0.00755
48	14.29996	0.0001450	0.0280	0.0279	7.155369	0.00755
49	14.29939	0.0001512	0.0250	0.0248	7.155457	0.00757
50	14.29876	0.0001450	0.0312	0.0310	7.155557	0.00755
51	14.29832	0.0001420	0.0220	0.0219	7.155626	0.00755
52	14.29776	0.0001358	0.0249	0.0248	7.155716	0.00753
53	14.29750	0.0001358	0.0311	0.0310	7.155755	0.00753
54	14.29681	0.0001420	0.0219	0.0218	7.155863	0.00754
55	14.29631	0.0001358	0.0280	0.0278	7.155943	0.00753
56	14.29580	0.0001420	0.0250	0.0249	7.156022	0.00754
57	14.29536	0.0001450	0.0250	0.0249	7.156090	0.00755
58	14.29480	0.0001358	0.0250	0.0248	7.156180	0.00753
59	14.29442	0.0001420	0.0310	0.0308	7.156239	0.00754
60	14.29385	0.0001450	0.0189	0.0188	7.156328	0.00755
61	14.29328	0.0001327	0.0250	0.0248	7.156418	0.00752
62	14.29297	0.0001358	0.0218	0.0217	7.156467	0.00753
63	14.29259	0.0001265	0.0279	0.0278	7.156527	0.00750
64	14.29240	0.0001420	0.0280	0.0279	7.156555	0.00754
65	14.29177	0.0001358	0.0249	0.0248	7.156655	0.00753
66	14.29121	0.0001327	0.0218	0.0217	7.156744	0.00752
67	14.29070	0.0001358	0.0220	0.0219	7.156823	0.00753
68	14.29014	0.0001265	0.0250	0.0248	7.156913	0.00750
