Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	16.83620	0.0028321	0.0088	0.0087	6.775610	0.02067
2	16.83404	0.0028321	0.0088	0.0087	6.775919	0.02067
3	16.83234	0.0028383	0.0088	0.0087	6.776159	0.02070
4	16.83207	0.0028228	0.0149	0.0148	6.776201	0.02062
5	16.83241	0.0028321	0.0088	0.0088	6.776151	0.02067
6	16.83261	0.0028228	0.0119	0.0118	6.776124	0.02062
7	16.83288	0.0028136	0.0088	0.0087	6.776087	0.02058
8	16.83370	0.0028136	0.0057	0.0057	6.775971	0.02058
9	16.83282	0.0028136	0.0057	0.0057	6.776097	0.02058
10	16.83085	0.0028136	0.0179	0.0178	6.776377	0.02058
11	16.82889	0.0028136	0.0118	0.0117	6.776657	0.02058
12	16.82015	0.0028043	0.0149	0.0148	6.777904	0.02053
13	16.80025	0.0028136	0.0087	0.0087	6.780740	0.02058
14	16.77677	0.0028136	0.0057	0.0057	6.784090	0.02057
15	16.76007	0.0028136	0.0087	0.0087	6.786475	0.02057
16	16.75805	0.0028228	0.0057	0.0057	6.786763	0.02062
17	16.76149	0.0029649	0.0057	0.0057	6.786241	0.02133
18	16.76467	0.0030667	0.0057	0.0057	6.785766	0.02185
19	16.76007	0.0031161	0.0057	0.0057	6.786413	0.02209
20	16.74392	0.0031532	0.0088	0.0087	6.788713	0.02228
21	16.72562	0.0033940	0.0118	0.0117	6.791280	0.02350
22	16.71502	0.0035824	0.0118	0.0117	6.792757	0.02447
23	16.71738	0.0037986	0.0118	0.0117	6.792374	0.02557
24	16.72204	0.0040456	0.0026	0.0026	6.791655	0.02684
25	16.72413	0.0042155	0.0057	0.0057	6.791320	0.02772
26	16.72184	0.0044256	0.0119	0.0118	6.791603	0.02881
27	16.71677	0.0046450	0.0088	0.0088	6.792281	0.02996
28	16.72130	0.0048860	0.0179	0.0178	6.791582	0.03121
29	16.72947	0.0050992	0.0057	0.0057	6.790367	0.03233
30	16.73717	0.0051703	0.0088	0.0087	6.789251	0.03270
31	16.74473	0.0052073	0.0118	0.0117	6.788162	0.03289
32	16.75007	0.0052970	0.0057	0.0057	6.787379	0.03336
33	16.75250	0.0052259	0.0088	0.0088	6.787047	0.03299
34	16.75487	0.0051610	0.0027	0.0027	6.786723	0.03265
35	16.75548	0.0051085	0.0118	0.0117	6.786648	0.03237
36	16.74872	0.0050652	0.0118	0.0118	6.787623	0.03215
37	16.74791	0.0050188	0.0057	0.0056	6.787748	0.03190
38	16.75061	0.0050034	0.0057	0.0057	6.787365	0.03182
39	16.74548	0.0049848	0.0088	0.0087	6.788103	0.03172
40	16.72413	0.0049570	0.0118	0.0117	6.791161	0.03159
41	16.69632	0.0049292	0.0088	0.0087	6.795147	0.03145
42	16.66645	0.0049076	0.0088	0.0087	6.799431	0.03134
43	16.63586	0.0049756	0.0057	0.0057	6.803804	0.03171
44	16.60637	0.0049570	0.0119	0.0118	6.808042	0.03162
45	16.57839	0.0049323	0.0088	0.0087	6.812069	0.03150
46	16.55096	0.0049200	0.0088	0.0088	6.816018	0.03144
47	16.52712	0.0050127	0.0088	0.0087	6.819431	0.03194
48	16.51410	0.0049848	0.0118	0.0118	6.821314	0.03179
49	16.51289	0.0049848	0.0119	0.0118	6.821488	0.03179
50	16.51242	0.0049725	0.0119	0.0118	6.821559	0.03173
51	16.51537	0.0049385	0.0119	0.0118	6.821140	0.03155
52	16.52202	0.0049169	0.0149	0.0148	6.820187	0.03143
53	16.52873	0.0049107	0.0149	0.0148	6.819221	0.03140
54	16.53115	0.0048921	0.0119	0.0118	6.818877	0.03130
