Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	17.05934	0.0010825	0.0127	0.0126	6.744293	0.01236
2	17.05887	0.0010794	0.0157	0.0156	6.744361	0.01235
3	17.05846	0.0010887	0.0157	0.0156	6.744417	0.01239
4	17.05805	0.0010825	0.0096	0.0096	6.744476	0.01236
5	17.05723	0.0010794	0.0157	0.0156	6.744592	0.01235
6	17.05709	0.0010887	0.0187	0.0186	6.744610	0.01239
7	17.05662	0.0010794	0.0218	0.0217	6.744679	0.01235
8	17.05628	0.0010794	0.0188	0.0187	6.744727	0.01235
9	17.05600	0.0010825	0.0126	0.0126	6.744765	0.01236
10	17.05532	0.0010887	0.0218	0.0217	6.744860	0.01239
11	17.05512	0.0010887	0.0157	0.0156	6.744889	0.01239
12	17.05443	0.0010887	0.0156	0.0155	6.744985	0.01239
13	17.05403	0.0010979	0.0096	0.0095	6.745041	0.01243
14	17.05362	0.0010887	0.0187	0.0186	6.745101	0.01239
15	17.05341	0.0010887	0.0187	0.0186	6.745130	0.01239
16	17.05280	0.0010825	0.0157	0.0156	6.745218	0.01236
17	17.05225	0.0010794	0.0187	0.0186	6.745295	0.01234
18	17.05205	0.0010794	0.0217	0.0216	6.745324	0.01234
19	17.05171	0.0010887	0.0187	0.0186	6.745371	0.01239
20	17.05082	0.0010887	0.0187	0.0186	6.745496	0.01239
21	17.05055	0.0010794	0.0126	0.0126	6.745536	0.01234
22	17.05000	0.0010887	0.0156	0.0155	6.745612	0.01239
23	17.04959	0.0010887	0.0157	0.0156	6.745669	0.01239
24	17.04932	0.0010887	0.0156	0.0155	6.745708	0.01238
25	17.04878	0.0010887	0.0218	0.0216	6.745785	0.01238
26	17.04830	0.0010794	0.0187	0.0186	6.745854	0.01234
27	17.04769	0.0010887	0.0187	0.0186	6.745939	0.01238
28	17.04721	0.0010887	0.0156	0.0155	6.746007	0.01238
29	17.04707	0.0010825	0.0126	0.0126	6.746027	0.01236
30	17.04632	0.0010887	0.0157	0.0156	6.746132	0.01238
31	17.04612	0.0010702	0.0157	0.0156	6.746164	0.01230
