Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	14.14786	0.0001111	-0.0325	7.179308	0.00740
2	14.14855	0.0001173	-0.0324	7.179199	0.00741
3	14.14975	0.0001111	-0.0355	7.179011	0.00740
4	14.14636	0.0001111	-0.0264	7.179546	0.00740
5	14.13808	0.0001111	-0.0263	7.180852	0.00739
6	14.13608	0.0001111	-0.0263	7.181169	0.00739
7	14.13213	0.0001019	-0.0294	7.181794	0.00737
8	14.11220	0.0001204	-0.0234	7.184941	0.00740
9	14.08226	0.0001111	-0.0293	7.189676	0.00737
10	14.05473	0.0001111	-0.0295	7.194035	0.00735
11	14.02778	0.0001111	-0.0294	7.198306	0.00734
12	13.99779	0.0001975	-0.0263	7.203053	0.00757
13	13.97363	0.0002005	-0.0234	7.206890	0.00757
14	13.96452	0.0002067	-0.0234	7.208337	0.00759
15	13.97007	0.0002221	-0.0325	7.207452	0.00764
16	13.97981	0.0002160	-0.0294	7.205906	0.00762
17	13.98243	0.0002129	-0.0354	7.205490	0.00761
18	13.97076	0.0002005	-0.0264	7.207346	0.00757
19	13.96265	0.0002067	-0.0294	7.208635	0.00758
20	13.95647	0.0002036	-0.0263	7.209617	0.00757
21	13.95005	0.0002067	-0.0295	7.210638	0.00758
22	13.93907	0.0002129	-0.0294	7.212383	0.00759
23	13.92698	0.0002067	-0.0295	7.214309	0.00757
24	13.91402	0.0002005	-0.0233	7.216374	0.00754
25	13.90374	0.0002129	-0.0264	7.218010	0.00758
26	13.89533	0.0002005	-0.0264	7.219351	0.00753
27	13.88885	0.0002036	-0.0264	7.220383	0.00754
28	13.87977	0.0002005	-0.0263	7.221833	0.00753
29	13.87043	0.0002160	-0.0234	7.223320	0.00757
30	13.86551	0.0002036	-0.0294	7.224106	0.00753
31	13.86950	0.0002067	-0.0234	7.223470	0.00754
32	13.88008	0.0002129	-0.0263	7.221781	0.00757
33	13.89396	0.0002067	-0.0234	7.219569	0.00755
34	13.90673	0.0002067	-0.0295	7.217534	0.00756
35	13.91819	0.0002129	-0.0294	7.215707	0.00758
36	13.92866	0.0002067	-0.0264	7.214041	0.00757
37	13.93820	0.0002005	-0.0233	7.212524	0.00755
38	13.94624	0.0002036	-0.0263	7.211244	0.00757
39	13.95223	0.0002005	-0.0295	7.210292	0.00756
40	13.95710	0.0002036	-0.0293	7.209518	0.00757
41	13.95822	0.0001820	-0.0263	7.209343	0.00750
42	13.95541	0.0001913	-0.0264	7.209788	0.00753
43	13.95198	0.0001882	-0.0324	7.210334	0.00752
44	13.95211	0.0001913	-0.0202	7.210313	0.00753
