Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	13.69011	0.0138537	-0.0926	7.248709	0.08514
2	13.69042	0.0138816	-0.0925	7.248652	0.08531
3	13.69054	0.0138816	-0.0925	7.248632	0.08531
4	13.69079	0.0141268	-0.0895	7.248526	0.08679
5	13.69092	0.0140709	-0.0926	7.248521	0.08645
6	13.69123	0.0148810	-0.0955	7.248252	0.09136
7	13.69135	0.0164556	-0.0956	7.247803	0.10093
8	13.69172	0.0177454	-0.0955	7.247390	0.10881
9	13.69185	0.0178760	-0.0927	7.247334	0.10961
10	13.69215	0.0183859	-0.0956	7.247145	0.11273
11	13.69259	0.0189706	-0.0927	7.246914	0.11632
12	13.69315	0.0187031	-0.0895	7.246899	0.11468
13	13.69321	0.0184232	-0.0927	7.246966	0.11296
14	13.69345	0.0177703	-0.0927	7.247105	0.10896
15	13.69370	0.0203303	-0.0896	7.246361	0.12468
16	13.69414	0.0201934	-0.0957	7.246329	0.12384
17	13.69426	0.0207599	-0.0957	7.246153	0.12733
18	13.69476	0.0227657	-0.0956	7.245518	0.13972
19	13.69488	0.0212985	-0.0896	7.245905	0.13065
20	13.69531	0.0197390	-0.0896	7.246266	0.12104
21	13.69562	0.0186502	-0.0866	7.246516	0.11435
22	13.69575	0.0181838	-0.0956	7.246624	0.11149
23	13.69587	0.0178480	-0.0927	7.246696	0.10943
24	13.69630	0.0178200	-0.0865	7.246635	0.10926
25	13.69655	0.0177298	-0.0927	7.246620	0.10870
26	13.69686	0.0175837	-0.0927	7.246610	0.10781
27	13.69705	0.0172387	-0.0988	7.246675	0.10570
28	13.69748	0.0168565	-0.0866	7.246710	0.10337
29	13.69767	0.0165582	-0.0897	7.246761	0.10155
30	13.69773	0.0162941	-0.0927	7.246824	0.09994
31	13.69816	0.0157505	-0.0896	7.246902	0.09662
32	13.69866	0.0152319	-0.0896	7.246964	0.09347
33	13.69866	0.0149524	-0.0866	7.247040	0.09178
34	13.69909	0.0149245	-0.0927	7.246978	0.09161
35	13.69903	0.0146047	-0.0956	7.247075	0.08967
36	13.69934	0.0143254	-0.0956	7.247101	0.08797
37	13.69977	0.0140740	-0.0927	7.247100	0.08645
38	13.69983	0.0136830	-0.0896	7.247196	0.08409
39	13.70014	0.0133417	-0.0957	7.247238	0.08203
40	13.70045	0.0130315	-0.0927	7.247272	0.08016
41	13.70045	0.0127554	-0.0897	7.247347	0.07849
42	13.70051	0.0125508	-0.0897	7.247392	0.07726
43	13.70095	0.0125228	-0.0959	7.247330	0.07709
44	13.70113	0.0125073	-0.0927	7.247304	0.07700
45	13.70120	0.0124422	-0.0867	7.247312	0.07661
46	13.70138	0.0124887	-0.0898	7.247270	0.07689
47	13.70138	0.0125322	-0.0867	7.247258	0.07715
48	13.70144	0.0125632	-0.0897	7.247240	0.07734
49	13.70163	0.0125228	-0.0956	7.247221	0.07709
50	13.70188	0.0125539	-0.0866	7.247173	0.07728
51	13.70200	0.0125694	-0.0897	7.247149	0.07737
52	13.70225	0.0124980	-0.0957	7.247128	0.07694
53	13.70225	0.0124329	-0.0897	7.247146	0.07655
54	13.70206	0.0124236	-0.0866	7.247178	0.07650
55	13.70243	0.0123306	-0.0866	7.247143	0.07594
56	13.70243	0.0122531	-0.0927	7.247164	0.07547
57	13.70274	0.0121445	-0.0927	7.247144	0.07482
58	13.70274	0.0121011	-0.0927	7.247155	0.07456
59	13.70293	0.0119833	-0.0988	7.247157	0.07385
60	13.70305	0.0120453	-0.0898	7.247121	0.07422
61	13.70305	0.0120577	-0.0897	7.247117	0.07430
62	13.70318	0.0119027	-0.0867	7.247139	0.07337
