Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	14.47479	0.0001913	-0.0705	-0.0701	7.128023	0.00777
2	14.47435	0.0001882	-0.0675	-0.0671	7.128092	0.00776
3	14.47441	0.0001913	-0.0676	-0.0672	7.128082	0.00777
4	14.47245	0.0001913	-0.0706	-0.0703	7.128388	0.00777
5	14.46998	0.0001975	-0.0676	-0.0672	7.128772	0.00779
6	14.46872	0.0002005	-0.0706	-0.0703	7.128968	0.00780
7	14.46866	0.0001975	-0.0676	-0.0673	7.128979	0.00779
8	14.46929	0.0002005	-0.0675	-0.0671	7.128880	0.00780
9	14.46891	0.0001913	-0.0706	-0.0702	7.128940	0.00777
10	14.46948	0.0001975	-0.0676	-0.0672	7.128850	0.00779
11	14.47068	0.0002005	-0.0676	-0.0672	7.128663	0.00780
12	14.47201	0.0002036	-0.0645	-0.0642	7.128455	0.00781
13	14.47315	0.0002160	-0.0676	-0.0672	7.128276	0.00785
14	14.47359	0.0002160	-0.0676	-0.0672	7.128207	0.00785
15	14.47283	0.0002283	-0.0646	-0.0642	7.128323	0.00789
16	14.47271	0.0002437	-0.0615	-0.0612	7.128341	0.00794
17	14.47302	0.0002622	-0.0676	-0.0672	7.128288	0.00801
18	14.47271	0.0002838	-0.0645	-0.0642	7.128334	0.00808
19	14.47245	0.0003239	-0.0706	-0.0703	7.128367	0.00823
20	14.47125	0.0003547	-0.0676	-0.0672	7.128550	0.00835
21	14.46941	0.0003855	-0.0706	-0.0703	7.128830	0.00847
22	14.46847	0.0003763	-0.0645	-0.0642	7.128980	0.00843
23	14.46707	0.0003485	-0.0645	-0.0642	7.129202	0.00832
24	14.46138	0.0003331	-0.0676	-0.0672	7.130092	0.00826
25	14.45233	0.0003146	-0.0675	-0.0671	7.131506	0.00819
26	14.44360	0.0003054	-0.0675	-0.0671	7.132869	0.00815
27	14.43861	0.0003054	-0.0737	-0.0733	7.133649	0.00815
28	14.43532	0.0002992	-0.0677	-0.0673	7.134163	0.00812
