Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	17.18963	0.0037152	-0.0368	6.725413	0.02509
2	17.19141	0.0037152	-0.0399	6.725163	0.02509
3	17.19374	0.0037059	-0.0339	6.724838	0.02505
4	17.19422	0.0037090	-0.0308	6.724770	0.02506
5	17.19306	0.0037152	-0.0370	6.724932	0.02509
6	17.18847	0.0037183	-0.0339	6.725576	0.02511
7	17.18286	0.0036874	-0.0370	6.726372	0.02495
8	17.18094	0.0037059	-0.0400	6.726637	0.02505
9	17.18012	0.0037090	-0.0340	6.726752	0.02506
10	17.17889	0.0036966	-0.0339	6.726928	0.02500
11	17.17779	0.0037337	-0.0339	6.727074	0.02519
12	17.17656	0.0037152	-0.0340	6.727251	0.02510
13	17.17574	0.0037090	-0.0309	6.727368	0.02506
14	17.17588	0.0037244	-0.0400	6.727346	0.02514
15	17.17478	0.0037152	-0.0340	6.727501	0.02510
16	17.17266	0.0037183	-0.0430	6.727799	0.02511
17	17.17280	0.0037152	-0.0401	6.727781	0.02510
18	17.17266	0.0037090	-0.0370	6.727801	0.02506
19	17.17362	0.0037152	-0.0369	6.727665	0.02510
20	17.17403	0.0037152	-0.0340	6.727607	0.02510
21	17.17376	0.0037183	-0.0400	6.727645	0.02511
22	17.17376	0.0037244	-0.0369	6.727644	0.02514
23	17.17444	0.0037183	-0.0430	6.727549	0.02511
24	17.17540	0.0037244	-0.0340	6.727413	0.02514
25	17.17588	0.0037152	-0.0370	6.727347	0.02510
26	17.17684	0.0037183	-0.0370	6.727212	0.02511
27	17.17738	0.0037244	-0.0340	6.727134	0.02514
28	17.17834	0.0037275	-0.0339	6.726998	0.02516
29	17.17916	0.0037152	-0.0340	6.726886	0.02510
30	17.17902	0.0037152	-0.0340	6.726905	0.02510
31	17.17601	0.0037183	-0.0370	6.727328	0.02511
32	17.17129	0.0037244	-0.0340	6.727990	0.02514
33	17.16650	0.0037275	-0.0309	6.728664	0.02516
34	17.16452	0.0037244	-0.0340	6.728943	0.02514
35	17.16329	0.0037275	-0.0340	6.729116	0.02516
36	17.16356	0.0037152	-0.0370	6.729080	0.02510
37	17.16438	0.0037244	-0.0370	6.728963	0.02514
38	17.16425	0.0037275	-0.0340	6.728981	0.02516
39	17.16425	0.0037152	-0.0279	6.728984	0.02510
40	17.16445	0.0037183	-0.0370	6.728954	0.02511
41	17.16425	0.0037244	-0.0340	6.728982	0.02514
42	17.16055	0.0037244	-0.0371	6.729502	0.02514
43	17.15624	0.0037275	-0.0310	6.730107	0.02516
44	17.15447	0.0037152	-0.0340	6.730360	0.02510
45	17.15467	0.0037275	-0.0400	6.730329	0.02516
46	17.15515	0.0037152	-0.0340	6.730264	0.02510
47	17.15440	0.0037244	-0.0310	6.730368	0.02514
48	17.15016	0.0037275	-0.0279	6.730964	0.02516
49	17.14578	0.0037337	-0.0340	6.731579	0.02519
50	17.14496	0.0037275	-0.0340	6.731696	0.02516
51	17.14592	0.0037244	-0.0340	6.731562	0.02515
52	17.14715	0.0037183	-0.0400	6.731390	0.02511
53	17.14866	0.0037244	-0.0309	6.731176	0.02515
54	17.14982	0.0037244	-0.0340	6.731013	0.02515
55	17.15098	0.0037275	-0.0372	6.730849	0.02516
56	17.15153	0.0037337	-0.0370	6.730770	0.02519
57	17.14927	0.0037275	-0.0370	6.731089	0.02516
58	17.14941	0.0037244	-0.0279	6.731071	0.02515
59	17.15057	0.0037244	-0.0370	6.730907	0.02515
60	17.15112	0.0037275	-0.0370	6.730829	0.02516
61	17.15112	0.0037244	-0.0340	6.730830	0.02515
62	17.15071	0.0037275	-0.0340	6.730887	0.02516
63	17.15118	0.0037244	-0.0279	6.730820	0.02515
64	17.15187	0.0037152	-0.0309	6.730726	0.02510
65	17.15214	0.0037275	-0.0310	6.730685	0.02516
66	17.14961	0.0037244	-0.0370	6.731042	0.02515
67	17.14483	0.0037183	-0.0400	6.731717	0.02511
68	17.14223	0.0037244	-0.0340	6.732081	0.02515
69	17.14107	0.0037244	-0.0340	6.732245	0.02515
70	17.14161	0.0037337	-0.0340	6.732166	0.02519
71	17.14366	0.0037244	-0.0309	6.731879	0.02515
72	17.14585	0.0037275	-0.0400	6.731571	0.02516
73	17.14797	0.0037244	-0.0340	6.731273	0.02515
74	17.15187	0.0037275	-0.0370	6.730723	0.02516
75	17.15624	0.0037244	-0.0339	6.730108	0.02514
76	17.15939	0.0037244	-0.0279	6.729665	0.02514
77	17.16288	0.0037275	-0.0340	6.729174	0.02516
78	17.16678	0.0037337	-0.0279	6.728624	0.02519
79	17.17095	0.0037275	-0.0310	6.728038	0.02516
80	17.17451	0.0037337	-0.0370	6.727536	0.02519
81	17.17814	0.0037244	-0.0370	6.727028	0.02514
82	17.18135	0.0037275	-0.0340	6.726575	0.02516
83	17.18477	0.0037244	-0.0310	6.726094	0.02514
84	17.18772	0.0037183	-0.0340	6.725682	0.02511
85	17.18963	0.0037059	-0.0279	6.725415	0.02505
86	17.19148	0.0037152	-0.0309	6.725153	0.02509
87	17.19429	0.0037090	-0.0310	6.724760	0.02506
88	17.19600	0.0037152	-0.0370	6.724518	0.02509
89	17.19799	0.0037090	-0.0309	6.724240	0.02506
90	17.19956	0.0037244	-0.0280	6.724016	0.02514
91	17.19963	-0.1503782	-0.0189	6.725025	0.00000
92	16.58565	1.2250916	0.0539	6.470146	8.51339
93	14.81244	2.7466685	0.1751	6.204087	21.44664
94	13.47338	2.7834987	0.3084	6.338583	22.52892
95	12.72833	2.7314779	0.4175	6.441307	22.50219
96	12.49181	2.7058379	0.5297	6.477935	22.40986
97	12.42305	2.7148342	0.5600	6.482587	22.53284
98	12.37967	2.7182276	0.5691	6.486361	22.58981
99	12.34571	2.7107945	0.5751	6.493056	22.54223
100	12.33467	2.7132736	0.5782	6.493419	22.57151
101	12.34350	2.7156187	0.5812	6.491524	22.58766
102	12.35925	2.7182512	0.5842	6.488721	22.60227
103	12.37203	2.7219794	0.5751	6.485859	22.62868
104	12.38188	2.7255220	0.5660	6.483407	22.65514
105	12.38791	2.7287558	0.5600	6.481512	22.68107
106	12.38929	2.7350223	0.5479	6.479036	22.73753
107	12.38188	2.7230624	0.5539	6.484316	22.63266
108	12.36457	2.7193806	0.5630	6.487686	22.60941
109	12.33754	2.7257098	0.5661	6.488475	22.68357
