Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	16.48539	0.0036719	-0.0479	-0.0476	6.825739	0.02495
2	16.48472	0.0036874	-0.0479	-0.0476	6.825832	0.02503
3	16.48425	0.0036966	-0.0509	-0.0506	6.825898	0.02508
4	16.48358	0.0037275	-0.0479	-0.0476	6.825988	0.02524
5	16.48277	0.0037522	-0.0449	-0.0446	6.826099	0.02536
6	16.48217	0.0037491	-0.0479	-0.0476	6.826187	0.02535
7	16.48177	0.0037584	-0.0449	-0.0446	6.826243	0.02539
8	16.48123	0.0037769	-0.0540	-0.0537	6.826317	0.02549
9	16.48022	0.0037986	-0.0510	-0.0507	6.826457	0.02560
10	16.47969	0.0038140	-0.0509	-0.0506	6.826531	0.02568
11	16.47915	0.0038140	-0.0479	-0.0476	6.826609	0.02568
12	16.47821	0.0038140	-0.0479	-0.0476	6.826744	0.02568
13	16.47781	0.0038140	-0.0479	-0.0477	6.826802	0.02568
14	16.47707	0.0038202	-0.0540	-0.0537	6.826907	0.02571
15	16.47640	0.0038047	-0.0479	-0.0476	6.827007	0.02564
16	16.47573	0.0037893	-0.0479	-0.0476	6.827108	0.02556
17	16.47506	0.0037584	-0.0509	-0.0506	6.827211	0.02540
18	16.47432	0.0037337	-0.0479	-0.0477	6.827323	0.02527
19	16.47385	0.0037090	-0.0480	-0.0477	6.827396	0.02514
20	16.47305	0.0037152	-0.0479	-0.0476	6.827511	0.02517
21	16.47251	0.0037028	-0.0449	-0.0446	6.827591	0.02511
22	16.47184	0.0036719	-0.0479	-0.0476	6.827694	0.02495
23	16.47124	0.0036627	-0.0449	-0.0447	6.827783	0.02490
24	16.47057	0.0036627	-0.0479	-0.0476	6.827880	0.02490
25	16.47003	0.0036349	-0.0449	-0.0446	6.827963	0.02476
26	16.46903	0.0036318	-0.0449	-0.0446	6.828109	0.02474
27	16.46849	0.0036256	-0.0449	-0.0446	6.828188	0.02471
28	16.46796	0.0036164	-0.0449	-0.0447	6.828267	0.02466
29	16.46715	0.0036071	-0.0418	-0.0416	6.828385	0.02462
30	16.46655	0.0035916	-0.0387	-0.0385	6.828476	0.02454
31	16.46581	0.0035916	-0.0449	-0.0446	6.828582	0.02454
32	16.46494	0.0035916	-0.0449	-0.0446	6.828708	0.02454
33	16.46434	0.0035608	-0.0448	-0.0446	6.828802	0.02438
34	16.46360	0.0035546	-0.0449	-0.0446	6.828910	0.02435
35	16.46300	0.0035361	-0.0418	-0.0416	6.829001	0.02425
36	16.46226	0.0035268	-0.0510	-0.0507	6.829109	0.02420
37	16.46152	0.0035114	-0.0448	-0.0446	6.829219	0.02412
38	16.46085	0.0034867	-0.0388	-0.0386	6.829321	0.02400
39	16.45991	0.0034836	-0.0357	-0.0355	6.829457	0.02398
40	16.45938	0.0034650	-0.0448	-0.0446	6.829538	0.02389
