Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	11.34955	0.0030020	-0.0201	-0.0200	7.645414	0.02166
2	11.35100	0.0029927	-0.0232	-0.0231	7.645161	0.02160
3	11.35204	0.0029927	-0.0170	-0.0169	7.644977	0.02160
4	11.35321	0.0029742	-0.0231	-0.0230	7.644778	0.02149
5	11.35477	0.0029649	-0.0203	-0.0201	7.644504	0.02144
6	11.35541	0.0029649	-0.0233	-0.0232	7.644391	0.02144
7	11.35646	0.0029556	-0.0232	-0.0231	7.644210	0.02138
8	11.35774	0.0029495	-0.0200	-0.0199	7.643986	0.02135
9	11.35884	0.0029340	-0.0172	-0.0171	7.643796	0.02126
10	11.35983	0.0029217	-0.0203	-0.0201	7.643626	0.02118
11	11.36093	0.0029093	-0.0234	-0.0233	7.643435	0.02111
12	11.36203	0.0028846	-0.0202	-0.0201	7.643247	0.02096
13	11.36308	0.0028692	-0.0231	-0.0230	7.643068	0.02087
14	11.36413	0.0028599	-0.0234	-0.0233	7.642886	0.02082
15	11.36511	0.0028291	-0.0233	-0.0232	7.642721	0.02064
16	11.36633	0.0028229	-0.0204	-0.0203	7.642508	0.02060
17	11.36715	0.0028075	-0.0204	-0.0203	7.642369	0.02051
18	11.36825	0.0027828	-0.0172	-0.0171	7.642181	0.02036
19	11.36912	0.0027704	-0.0234	-0.0232	7.642031	0.02029
20	11.36999	0.0027519	-0.0173	-0.0172	7.641883	0.02018
21	11.37110	0.0027334	-0.0172	-0.0171	7.641694	0.02007
22	11.37226	0.0027210	-0.0235	-0.0233	7.641493	0.02000
23	11.37307	0.0026994	-0.0235	-0.0233	7.641356	0.01987
24	11.37418	0.0026809	-0.0203	-0.0202	7.641166	0.01976
25	11.37528	0.0026716	-0.0173	-0.0172	7.640975	0.01971
26	11.37610	0.0026562	-0.0173	-0.0172	7.640836	0.01962
27	11.37697	0.0026439	-0.0235	-0.0233	7.640686	0.01955
28	11.37772	0.0026315	-0.0265	-0.0263	7.640556	0.01947
29	11.37889	0.0026099	-0.0204	-0.0203	7.640358	0.01935
30	11.37958	0.0026099	-0.0143	-0.0142	7.640235	0.01935
31	11.38051	0.0025852	-0.0173	-0.0172	7.640078	0.01920
32	11.38156	0.0025821	-0.0203	-0.0202	7.639895	0.01919
33	11.38243	0.0025605	-0.0266	-0.0264	7.639747	0.01906
34	11.38319	0.0025574	-0.0265	-0.0263	7.639615	0.01904
35	11.38412	0.0025358	-0.0234	-0.0233	7.639458	0.01891
36	11.38487	0.0025296	-0.0204	-0.0203	7.639326	0.01888
37	11.38598	0.0025204	-0.0235	-0.0233	7.639135	0.01882
38	11.38667	0.0025111	-0.0174	-0.0173	7.639014	0.01877
39	11.38737	0.0025204	-0.0143	-0.0142	7.638889	0.01882
40	11.38807	0.0025451	-0.0142	-0.0141	7.638759	0.01897
41	11.38917	0.0025574	-0.0203	-0.0201	7.638561	0.01904
42	11.38993	0.0025605	-0.0173	-0.0172	7.638428	0.01906
43	11.39069	0.0025574	-0.0204	-0.0203	7.638295	0.01904
44	11.39179	0.0025543	-0.0144	-0.0143	7.638102	0.01902
45	11.39266	0.0025574	-0.0173	-0.0172	7.637948	0.01904
46	11.39342	0.0025451	-0.0173	-0.0172	7.637818	0.01897
47	11.39417	0.0025389	-0.0205	-0.0204	7.637687	0.01893
48	11.39499	0.0025296	-0.0203	-0.0202	7.637546	0.01888
