Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	19.40536	0.0026932	-0.0401	-0.0399	6.426448	0.02009
2	19.40441	0.0027179	-0.0431	-0.0429	6.426567	0.02021
3	19.40390	0.0027117	-0.0431	-0.0429	6.426634	0.02018
4	19.40119	0.0027086	-0.0401	-0.0399	6.426985	0.02016
5	19.39710	0.0027117	-0.0432	-0.0429	6.427516	0.02018
6	19.39008	0.0027086	-0.0431	-0.0429	6.428427	0.02016
7	19.38285	0.0027086	-0.0431	-0.0429	6.429365	0.02016
8	19.37298	0.0027179	-0.0431	-0.0429	6.430644	0.02020
9	19.36371	0.0027086	-0.0401	-0.0399	6.431850	0.02016
10	19.35640	0.0027024	-0.0340	-0.0338	6.432799	0.02013
11	19.35137	0.0026901	-0.0401	-0.0399	6.433456	0.02008
12	19.34553	0.0026808	-0.0370	-0.0368	6.434216	0.02003
13	19.34042	0.0026808	-0.0401	-0.0399	6.434880	0.02003
14	19.33465	0.0026623	-0.0401	-0.0399	6.435633	0.01995
15	19.33006	0.0026654	-0.0401	-0.0399	6.436230	0.01996
16	19.32597	0.0026530	-0.0401	-0.0399	6.436763	0.01990
17	19.32356	0.0026407	-0.0370	-0.0368	6.437078	0.01985
18	19.31897	0.0026284	-0.0431	-0.0429	6.437678	0.01979
19	19.31328	0.0026376	-0.0431	-0.0429	6.438416	0.01983
20	19.30905	0.0026314	-0.0401	-0.0399	6.438967	0.01980
21	19.30409	0.0026191	-0.0431	-0.0429	6.439615	0.01975
22	19.29731	0.0026407	-0.0401	-0.0399	6.440493	0.01984
23	19.29294	0.0026530	-0.0401	-0.0399	6.441060	0.01990
24	19.28638	0.0026993	-0.0462	-0.0459	6.441906	0.02011
25	19.28194	0.0027580	-0.0370	-0.0368	6.442474	0.02039
26	19.28004	0.0028691	-0.0401	-0.0399	6.442701	0.02090
27	19.27910	0.0029803	-0.0370	-0.0368	6.442805	0.02142
28	19.28055	0.0030111	-0.0401	-0.0399	6.442609	0.02157
