Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	13.49862	0.0003825	-0.0210	-0.0209	7.283042	0.00805
2	13.49770	0.0003794	-0.0271	-0.0270	7.283192	0.00803
3	13.49585	0.0003855	-0.0210	-0.0209	7.283490	0.00806
4	13.49271	0.0003763	-0.0210	-0.0209	7.284000	0.00802
5	13.48988	0.0003794	-0.0180	-0.0179	7.284458	0.00803
6	13.48908	0.0003855	-0.0210	-0.0209	7.284587	0.00805
7	13.48920	0.0003794	-0.0180	-0.0179	7.284568	0.00803
8	13.48932	0.0003763	-0.0180	-0.0179	7.284549	0.00802
9	13.48914	0.0003855	-0.0272	-0.0271	7.284577	0.00805
10	13.48834	0.0003794	-0.0211	-0.0210	7.284708	0.00803
11	13.48545	0.0003763	-0.0181	-0.0180	7.285177	0.00801
12	13.48101	0.0003794	-0.0241	-0.0240	7.285894	0.00802
13	13.47861	0.0003763	-0.0180	-0.0179	7.286284	0.00801
14	13.47751	0.0003855	-0.0212	-0.0211	7.286461	0.00805
15	13.47714	0.0003794	-0.0181	-0.0180	7.286522	0.00802
16	13.47757	0.0003855	-0.0210	-0.0209	7.286451	0.00805
17	13.47837	0.0003794	-0.0180	-0.0179	7.286323	0.00802
18	13.47917	0.0003763	-0.0181	-0.0180	7.286194	0.00801
19	13.47757	0.0003855	-0.0212	-0.0211	7.286451	0.00805
20	13.47646	0.0003855	-0.0211	-0.0210	7.286631	0.00805
21	13.47671	0.0003855	-0.0242	-0.0240	7.286591	0.00805
22	13.47652	0.0003794	-0.0240	-0.0239	7.286622	0.00802
23	13.47720	0.0003855	-0.0180	-0.0179	7.286511	0.00805
24	13.47621	0.0003763	-0.0212	-0.0211	7.286673	0.00801
25	13.46975	0.0003855	-0.0180	-0.0179	7.287718	0.00805
26	13.46754	0.0003855	-0.0241	-0.0240	7.288077	0.00804
27	13.46883	0.0003855	-0.0150	-0.0149	7.287867	0.00805
28	13.47049	0.0003855	-0.0150	-0.0149	7.287598	0.00805
29	13.47240	0.0003763	-0.0120	-0.0119	7.287291	0.00801
30	13.47406	0.0003794	-0.0180	-0.0179	7.287021	0.00802
31	13.47541	0.0003855	-0.0118	-0.0118	7.286800	0.00805
32	13.47671	0.0003763	-0.0150	-0.0149	7.286593	0.00801
33	13.47837	0.0003855	-0.0211	-0.0210	7.286322	0.00805
34	13.47978	0.0003855	-0.0211	-0.0210	7.286092	0.00805
35	13.48095	0.0003855	-0.0149	-0.0148	7.285903	0.00805
36	13.48151	0.0003855	-0.0210	-0.0209	7.285813	0.00805
37	13.48243	0.0003855	-0.0180	-0.0179	7.285664	0.00805
38	13.48305	0.0003794	-0.0180	-0.0179	7.285565	0.00803
39	13.48249	0.0003855	-0.0148	-0.0148	7.285654	0.00805
40	13.48237	0.0003794	-0.0119	-0.0118	7.285675	0.00803
41	13.48212	0.0003855	-0.0180	-0.0179	7.285714	0.00805
42	13.47818	0.0003855	-0.0210	-0.0209	7.286352	0.00805
43	13.47387	0.0003855	-0.0149	-0.0148	7.287050	0.00805
44	13.47203	0.0003763	-0.0149	-0.0148	7.287351	0.00801
45	13.47049	0.0003701	-0.0149	-0.0148	7.287601	0.00798
46	13.46667	0.0003948	-0.0179	-0.0178	7.288215	0.00808
47	13.46544	0.0003763	-0.0179	-0.0178	7.288418	0.00801
48	13.46317	0.0003855	-0.0149	-0.0148	7.288785	0.00804
49	13.45794	0.0003855	-0.0179	-0.0178	7.289633	0.00804
50	13.45658	0.0003855	-0.0209	-0.0208	7.289852	0.00804
51	13.38647	0.0003331	0.0034	0.0034	7.301247	0.00779
52	12.29515	0.0004472	0.0124	0.0124	7.482522	0.00781
53	10.85994	0.0011535	0.0461	0.0458	7.733089	0.01090
54	9.89287	0.2166024	0.0613	0.0610	7.831195	1.59467
55	9.29642	0.2606368	0.0583	0.0580	7.923582	1.97116
56	9.00307	0.7378080	0.0736	0.0732	7.775157	6.02112
57	8.81026	1.2164504	0.0858	0.0853	7.596136	10.37268
58	8.65101	1.2171893	0.0888	0.0883	7.622178	10.42615
59	8.59081	1.2007135	0.0705	0.0701	7.639670	10.29116
60	8.52876	0.1577763	0.0401	0.0399	8.111452	1.18619
61	8.57309	0.0999446	0.0310	0.0308	8.126316	0.73409
62	8.73609	0.3732781	0.0462	0.0459	7.981264	2.93036
63	8.80390	1.1558664	0.0674	0.0671	7.624355	9.81733
64	8.82858	1.2296579	0.0735	0.0731	7.587191	10.48909
65	8.80020	1.2288405	0.0796	0.0792	7.592234	10.48992
66	8.72470	1.2314437	0.0857	0.0853	7.603529	10.53632
67	8.70057	1.2344211	0.0767	0.0762	7.606173	10.57106
68	8.67846	0.8805976	0.0615	0.0611	7.769060	7.34832
69	8.66552	0.1638731	0.0462	0.0460	8.082469	1.22972
70	8.84837	0.3729874	0.0492	0.0489	7.960407	2.91873
71	9.03574	1.1665879	0.0645	0.0642	7.581114	9.85140
72	9.12527	1.2330464	0.0919	0.0914	7.537087	10.43316
73	9.08782	1.2337012	0.1102	0.1096	7.542903	10.45009
74	9.00187	1.2343153	0.0980	0.0974	7.556669	10.48093
75	8.96562	1.2349020	0.0827	0.0822	7.562341	10.49698
76	8.92210	1.2385644	0.0706	0.0702	7.567841	10.54352
