Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	8.91584	0.0037925	-0.0109	-0.0109	8.096063	0.02690
2	8.90695	0.0037832	-0.0230	-0.0228	8.097795	0.02684
3	8.87907	0.0038048	-0.0200	-0.0199	8.103223	0.02699
4	8.86236	0.0037956	-0.0139	-0.0139	8.106485	0.02694
5	8.83994	0.0038048	-0.0109	-0.0109	8.110858	0.02700
6	8.81678	0.0038048	-0.0170	-0.0169	8.115385	0.02701
7	8.81134	0.0038203	-0.0138	-0.0137	8.116442	0.02711
8	8.81341	0.0038326	-0.0139	-0.0139	8.116034	0.02719
9	8.81770	0.0038481	-0.0139	-0.0139	8.115189	0.02729
10	8.81857	0.0038759	-0.0170	-0.0169	8.115010	0.02747
11	8.81075	0.0038851	-0.0201	-0.0200	8.116537	0.02753
12	8.80955	0.0039160	-0.0108	-0.0108	8.116761	0.02773
13	8.80374	0.0040180	-0.0200	-0.0199	8.117863	0.02840
14	8.80205	0.0040643	-0.0170	-0.0169	8.118177	0.02870
15	8.78918	0.0041322	-0.0139	-0.0138	8.120673	0.02915
16	8.78510	0.0041631	-0.0172	-0.0171	8.121460	0.02935
17	8.79233	0.0042095	-0.0200	-0.0199	8.120031	0.02966
18	8.80129	0.0042434	-0.0169	-0.0168	8.118265	0.02988
19	8.80917	0.0042743	-0.0110	-0.0109	8.116713	0.03008
20	8.81270	0.0043052	-0.0139	-0.0139	8.116012	0.03028
21	8.81673	0.0043392	-0.0140	-0.0139	8.115214	0.03050
22	8.81151	0.0043856	-0.0139	-0.0138	8.116218	0.03080
23	8.81058	0.0044288	-0.0139	-0.0138	8.116384	0.03109
24	8.80417	0.0044473	-0.0200	-0.0199	8.117632	0.03121
25	8.79406	0.0044844	-0.0199	-0.0198	8.119596	0.03146
26	8.79564	0.0045369	-0.0170	-0.0169	8.119270	0.03180
27	8.79265	0.0045431	-0.0170	-0.0169	8.119853	0.03185
28	8.77853	0.0045647	-0.0170	-0.0169	8.122610	0.03199
29	8.76012	0.0045987	-0.0140	-0.0139	8.126203	0.03223
30	8.75101	0.0046358	-0.0170	-0.0169	8.127978	0.03247
