Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	10.26444	0.0004225	0.1288	0.1281	7.841664	0.00678
2	10.26766	0.0003948	0.1258	0.1251	7.841078	0.00665
3	10.26670	0.0003794	0.1258	0.1251	7.841259	0.00657
4	10.26140	0.0003855	0.1288	0.1281	7.842234	0.00660
5	10.25023	0.0004010	0.1258	0.1251	7.844289	0.00667
6	10.23680	0.0004040	0.1258	0.1251	7.846763	0.00668
7	10.22654	0.0003948	0.1287	0.1280	7.848659	0.00663
8	10.21741	0.0003855	0.1287	0.1280	7.850346	0.00658
9	10.21347	0.0003670	0.1258	0.1251	7.851079	0.00648
10	10.21330	0.0003640	0.1350	0.1342	7.851111	0.00647
11	10.21634	0.0003485	0.1348	0.1341	7.850552	0.00640
12	10.22175	0.0003331	0.1350	0.1343	7.849557	0.00633
13	10.22863	0.0003794	0.1257	0.1250	7.848277	0.00655
14	10.23635	0.0004133	0.1349	0.1342	7.846844	0.00672
15	10.24323	0.0004040	0.1288	0.1281	7.845578	0.00668
16	10.24932	0.0004010	0.1318	0.1311	7.844456	0.00667
17	10.25491	0.0003855	0.1287	0.1280	7.843430	0.00659
18	10.26072	0.0003701	0.1319	0.1311	7.842363	0.00652
19	10.26608	0.0003424	0.1288	0.1281	7.841382	0.00639
20	10.27206	0.0003239	0.1257	0.1250	7.840284	0.00631
21	10.27641	0.0003146	0.1197	0.1190	7.839486	0.00627
22	10.27957	0.0003146	0.1257	0.1250	7.838904	0.00627
23	10.28115	0.0003085	0.1227	0.1220	7.838614	0.00624
24	10.28471	0.0003331	0.1288	0.1281	7.837954	0.00636
25	10.28888	0.0003424	0.1318	0.1311	7.837183	0.00640
26	10.29142	0.0003640	0.1318	0.1310	7.836710	0.00651
27	10.29188	0.0003763	0.1257	0.1250	7.836624	0.00657
28	10.28984	0.0003855	0.1227	0.1220	7.836996	0.00661
