Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	6.22700	0.0080156	-0.1070	-0.1064	8.648689	0.05808
2	6.22802	0.0080125	-0.1099	-0.1093	8.648468	0.05806
3	6.22904	0.0080125	-0.1067	-0.1061	8.648245	0.05806
4	6.22981	0.0080156	-0.1007	-0.1001	8.648077	0.05808
5	6.23012	0.0080125	-0.1037	-0.1031	8.648012	0.05806
6	6.22767	0.0080156	-0.1068	-0.1062	8.648544	0.05808
7	6.22624	0.0080125	-0.1101	-0.1094	8.648857	0.05806
8	6.22644	0.0080063	-0.1006	-0.1000	8.648815	0.05802
9	6.22721	0.0080032	-0.1037	-0.1031	8.648649	0.05799
10	6.22792	0.0080032	-0.1069	-0.1063	8.648494	0.05799
11	6.22853	0.0080063	-0.1068	-0.1063	8.648359	0.05801
12	6.22864	0.0080032	-0.1069	-0.1063	8.648338	0.05799
13	6.22864	0.0080063	-0.1070	-0.1064	8.648337	0.05801
14	6.22813	0.0080032	-0.1070	-0.1064	8.648449	0.05799
15	6.22583	0.0080218	-0.1071	-0.1065	8.648942	0.05813
16	6.22328	0.0080218	-0.0979	-0.0974	8.649498	0.05813
17	6.22221	0.0080032	-0.1070	-0.1064	8.649740	0.05800
18	6.22002	0.0080156	-0.1039	-0.1033	8.650213	0.05809
19	6.21839	0.0080218	-0.1072	-0.1066	8.650566	0.05814
20	6.21742	0.0080156	-0.1070	-0.1064	8.650780	0.05810
21	6.21579	0.0080125	-0.1008	-0.1003	8.651137	0.05807
22	6.21426	0.0080063	-0.1010	-0.1004	8.651474	0.05803
23	6.21257	0.0080218	-0.1040	-0.1035	8.651835	0.05815
24	6.21191	0.0080032	-0.0950	-0.0944	8.651987	0.05801
25	6.20804	0.0080156	-0.1040	-0.1035	8.652827	0.05811
26	6.19723	0.0080125	-0.1041	-0.1035	8.655188	0.05810
27	6.18322	0.0080063	-0.1010	-0.1004	8.658252	0.05807
28	6.16687	0.0080125	-0.1041	-0.1035	8.661823	0.05814
29	6.15012	0.0080156	-0.0979	-0.0974	8.665486	0.05818
30	6.13256	0.0080033	-0.1008	-0.1003	8.669335	0.05811
31	6.11191	0.0080063	-0.1010	-0.1004	8.673859	0.05816
32	6.08913	0.0080125	-0.1010	-0.1004	8.678852	0.05824
33	6.06793	0.0080125	-0.1040	-0.1035	8.683504	0.05826
34	6.05026	0.0080063	-0.1041	-0.1035	8.687390	0.05824
35	6.02919	0.0080033	-0.1009	-0.1004	8.692025	0.05824
36	6.00691	0.0080063	-0.0979	-0.0973	8.696926	0.05830
37	5.99641	0.0080125	-0.1008	-0.1003	8.699236	0.05835
38	5.99474	0.0080156	-0.1011	-0.1006	8.699604	0.05838
39	5.99397	0.0080033	-0.1103	-0.1097	8.699777	0.05829
40	5.98378	0.0080033	-0.0979	-0.0974	8.702023	0.05830
41	5.96421	0.0080002	-0.1042	-0.1036	8.706339	0.05830
42	5.93949	0.0080033	-0.0983	-0.0977	8.711795	0.05836
43	5.91761	0.0080002	-0.1040	-0.1035	8.716630	0.05836
44	5.90116	0.0079940	-0.1011	-0.1005	8.720270	0.05834
45	5.89236	0.0080002	-0.1011	-0.1006	8.722215	0.05840
46	5.88922	0.0079940	-0.0980	-0.0975	8.722912	0.05836
47	5.89200	0.0079940	-0.0979	-0.0974	8.722296	0.05835
