Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	20.27215	0.0001574	0.0531	0.0528	6.316166	0.01014
2	20.27755	0.0001667	0.0501	0.0498	6.315486	0.01016
3	20.28243	0.0001636	0.0531	0.0528	6.314873	0.01015
4	20.28566	0.0001667	0.0592	0.0588	6.314467	0.01016
5	20.28311	0.0001667	0.0531	0.0528	6.314788	0.01016
6	20.27838	0.0001728	0.0531	0.0528	6.315382	0.01017
7	20.27560	0.0001759	0.0531	0.0528	6.315731	0.01017
8	20.27567	0.0001636	0.0592	0.0588	6.315722	0.01015
9	20.27365	0.0001759	0.0531	0.0528	6.315976	0.01017
10	20.26471	0.0001759	0.0531	0.0528	6.317099	0.01017
11	20.26134	0.0001790	0.0561	0.0558	6.317524	0.01017
12	20.25398	0.0001821	0.0500	0.0497	6.318449	0.01018
13	20.23441	0.0001728	0.0561	0.0558	6.320913	0.01015
14	20.21065	0.0001821	0.0561	0.0558	6.323905	0.01016
15	20.20203	0.0001759	0.0500	0.0497	6.324991	0.01015
16	20.18892	0.0001790	0.0531	0.0528	6.326643	0.01015
17	20.17709	0.0001821	0.0470	0.0467	6.328135	0.01015
18	20.18114	0.0001728	0.0500	0.0497	6.327625	0.01013
19	20.19057	0.0001821	0.0500	0.0497	6.326435	0.01015
20	20.19986	0.0001821	0.0561	0.0558	6.325264	0.01016
21	20.20907	0.0001790	0.0561	0.0558	6.324103	0.01015
22	20.21672	0.0001821	0.0530	0.0528	6.323140	0.01016
23	20.22414	0.0001882	0.0500	0.0498	6.322205	0.01018
24	20.23111	0.0001821	0.0470	0.0467	6.321328	0.01017
25	20.23703	0.0001821	0.0561	0.0558	6.320582	0.01017
26	20.24348	0.0001790	0.0530	0.0527	6.319770	0.01017
27	20.24971	0.0001821	0.0531	0.0528	6.318987	0.01018
28	20.25458	0.0001882	0.0531	0.0528	6.318373	0.01019
29	20.25616	0.0002006	0.0591	0.0588	6.318174	0.01022
30	20.25796	0.0002006	0.0561	0.0558	6.317947	0.01022
31	20.26239	0.0001882	0.0561	0.0558	6.317391	0.01019
32	20.26554	0.0002098	0.0530	0.0527	6.316993	0.01024
33	20.25969	0.0001913	0.0500	0.0497	6.317731	0.01020
34	20.24221	0.0001975	0.0530	0.0527	6.319929	0.01020
35	20.22211	0.0002191	0.0561	0.0558	6.322457	0.01024
36	20.20877	0.0002129	0.0591	0.0588	6.324138	0.01022
37	20.20270	0.0002098	0.0561	0.0558	6.324903	0.01022
38	20.17388	0.0002283	0.0530	0.0527	6.328537	0.01025
39	20.14515	0.0002437	0.0561	0.0558	6.332162	0.01027
