Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	22.06733	-0.0000337	-0.1577	-0.1568	6.097857	0.00000
2	22.06741	-0.0000399	-0.1608	-0.1599	6.097847	0.00000
3	22.06709	-0.0000306	-0.1608	-0.1599	6.097885	0.00000
4	22.06701	-0.0000337	-0.1577	-0.1569	6.097894	0.00000
5	22.06678	-0.0000306	-0.1577	-0.1568	6.097922	0.00000
6	22.06622	-0.0000337	-0.1608	-0.1599	6.097988	0.00000
7	22.06566	-0.0000306	-0.1577	-0.1569	6.098053	0.00000
8	22.06495	-0.0000306	-0.1577	-0.1569	6.098138	0.00000
9	22.06448	-0.0000337	-0.1638	-0.1629	6.098194	0.00000
10	22.06368	-0.0000306	-0.1638	-0.1629	6.098288	0.00000
11	22.06352	-0.0000245	-0.1669	-0.1659	6.098306	0.00000
12	22.06368	-0.0000399	-0.1577	-0.1569	6.098288	0.00000
13	22.06424	-0.0000306	-0.1547	-0.1538	6.098222	0.00000
14	22.06360	-0.0000399	-0.1608	-0.1599	6.098297	0.00000
15	22.06376	-0.0000306	-0.1577	-0.1569	6.098278	0.00000
16	22.06352	-0.0000337	-0.1638	-0.1629	6.098306	0.00000
17	22.06273	-0.0000399	-0.1547	-0.1538	6.098400	0.00000
18	22.06321	-0.0000306	-0.1578	-0.1569	6.098344	0.00000
19	22.06321	-0.0000337	-0.1638	-0.1629	6.098344	0.00000
20	22.06281	-0.0000399	-0.1547	-0.1538	6.098391	0.00000
21	22.06336	-0.0000337	-0.1577	-0.1569	6.098325	0.00000
22	22.06321	-0.0000306	-0.1577	-0.1569	6.098344	0.00000
23	22.06281	-0.0000399	-0.1608	-0.1599	6.098391	0.00000
24	22.06305	-0.0000337	-0.1578	-0.1569	6.098362	0.00000
25	22.06273	-0.0000399	-0.1608	-0.1599	6.098400	0.00000
26	22.06273	-0.0000399	-0.1547	-0.1539	6.098400	0.00000
27	22.06273	-0.0000337	-0.1577	-0.1569	6.098400	0.00000
28	22.06273	-0.0000399	-0.1608	-0.1599	6.098400	0.00000
29	22.06241	-0.0000399	-0.1547	-0.1539	6.098437	0.00000
30	22.06313	-0.0000306	-0.1608	-0.1599	6.098353	0.00000
31	22.06194	-0.0000399	-0.1547	-0.1538	6.098494	0.00000
32	22.06051	-0.0000337	-0.1547	-0.1539	6.098662	0.00000
33	22.05583	-0.0000399	-0.1547	-0.1539	6.099215	0.00000
34	22.05290	-0.0000337	-0.1608	-0.1599	6.099561	0.00000
35	22.05171	-0.0000306	-0.1577	-0.1569	6.099702	0.00000
36	22.05131	-0.0000306	-0.1608	-0.1599	6.099748	0.00000
37	22.05155	-0.0000337	-0.1578	-0.1569	6.099720	0.00000
38	22.05131	-0.0000306	-0.1608	-0.1599	6.099748	0.00000
39	22.05068	-0.0000337	-0.1578	-0.1569	6.099823	0.00000
40	22.05068	-0.0000306	-0.1577	-0.1569	6.099823	0.00000
41	22.04980	-0.0000399	-0.1608	-0.1599	6.099926	0.00000
42	22.04941	-0.0000399	-0.1517	-0.1508	6.099973	0.00000
