Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	19.61763	0.0055373	-0.1110	-0.1104	6.398519	0.03364
2	19.62101	0.0056918	-0.1171	-0.1165	6.398054	0.03439
3	19.62447	0.0068976	-0.1141	-0.1135	6.397384	0.04034
4	19.62764	0.0095588	-0.1171	-0.1165	6.396471	0.05370
5	19.63102	0.0090758	-0.1110	-0.1104	6.396128	0.05125
6	19.63368	0.0086517	-0.1171	-0.1165	6.395869	0.04911
7	19.63714	0.0077420	-0.1111	-0.1105	6.395597	0.04454
8	19.63971	0.0069996	-0.1110	-0.1104	6.395406	0.04084
9	19.64303	0.0063874	-0.1110	-0.1104	6.395095	0.03780
10	19.64590	0.0059422	-0.1110	-0.1104	6.394808	0.03561
11	19.64892	0.0056022	-0.1141	-0.1134	6.394483	0.03395
12	19.65224	0.0054477	-0.1141	-0.1134	6.394086	0.03319
13	19.65481	0.0052159	-0.1080	-0.1074	6.393797	0.03206
14	19.65865	0.0050027	-0.1111	-0.1105	6.393344	0.03103
15	19.66174	0.0048513	-0.1111	-0.1105	6.392975	0.03029
16	19.66557	0.0047432	-0.1050	-0.1044	6.392502	0.02977
17	19.66904	0.0046691	-0.1111	-0.1105	6.392071	0.02941
18	19.67272	0.0046196	-0.1110	-0.1104	6.391607	0.02917
19	19.67567	0.0045733	-0.1141	-0.1135	6.391236	0.02895
20	19.67906	0.0045548	-0.1111	-0.1105	6.390804	0.02886
21	19.68172	0.0045424	-0.1110	-0.1104	6.390466	0.02880
22	19.68489	0.0045486	-0.1141	-0.1134	6.390058	0.02883
23	19.68769	0.0045640	-0.1110	-0.1104	6.389695	0.02890
24	19.69064	0.0045578	-0.1111	-0.1105	6.389318	0.02887
25	19.69352	0.0046721	-0.1080	-0.1075	6.388928	0.02942
26	19.69602	0.0051232	-0.1111	-0.1105	6.388524	0.03160
27	19.69861	0.0055311	-0.1111	-0.1105	6.388118	0.03358
28	19.70126	0.0060040	-0.1111	-0.1105	6.387690	0.03589
29	19.70384	0.0065141	-0.1141	-0.1135	6.387264	0.03840
30	19.70635	0.0068017	-0.1111	-0.1105	6.386888	0.03982
31	19.70864	0.0066656	-0.1111	-0.1105	6.386620	0.03915
32	19.71078	0.0065234	-0.1111	-0.1105	6.386373	0.03845
33	19.71314	0.0064121	-0.1080	-0.1074	6.386090	0.03790
34	19.71551	0.0063626	-0.1111	-0.1105	6.385797	0.03765
