Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	16.11548	0.0021312	0.0266	0.0264	6.879828	0.01713
2	16.11760	0.0021467	0.0265	0.0264	6.879514	0.01720
3	16.11986	0.0021744	0.0265	0.0264	6.879179	0.01734
4	16.12072	0.0022022	0.0265	0.0264	6.879047	0.01748
5	16.12165	0.0022362	0.0265	0.0264	6.878904	0.01765
6	16.12351	0.0022423	0.0266	0.0264	6.878630	0.01768
7	16.12411	0.0022639	0.0235	0.0233	6.878538	0.01779
8	16.12172	0.0022824	0.0235	0.0234	6.878884	0.01788
9	16.12105	0.0023071	0.0266	0.0264	6.878976	0.01800
10	16.12251	0.0023349	0.0265	0.0264	6.878757	0.01814
11	16.12344	0.0023627	0.0235	0.0234	6.878615	0.01828
12	16.12543	0.0023627	0.0265	0.0264	6.878324	0.01828
13	16.12782	0.0023442	0.0262	0.0261	6.877978	0.01819
14	16.13048	0.0023781	0.0261	0.0260	6.877583	0.01836
15	16.13267	0.0023812	0.0323	0.0321	6.877262	0.01838
16	16.13546	0.0023627	0.0383	0.0381	6.876858	0.01828
17	16.13851	0.0023164	0.0500	0.0497	6.876421	0.01805
18	16.14083	0.0022917	0.0492	0.0489	6.876086	0.01793
19	16.14216	0.0023133	0.0695	0.0691	6.875888	0.01804
20	16.14243	0.0024583	0.0672	0.0668	6.875818	0.01876
21	16.14017	0.0026219	0.0729	0.0725	6.876114	0.01959
22	16.13984	0.0027793	0.0753	0.0749	6.876129	0.02039
23	16.14229	0.0029306	0.0966	0.0960	6.875738	0.02116
24	16.14269	0.0030386	0.0297	0.0295	6.875656	0.02171
25	16.14302	0.0031374	0.0266	0.0265	6.875587	0.02222
26	16.14448	0.0032331	0.0267	0.0265	6.875353	0.02271
27	16.14568	0.0033597	0.0327	0.0325	6.875151	0.02336
28	16.14468	0.0035109	0.0297	0.0295	6.875263	0.02415
29	16.14335	0.0036808	0.0327	0.0325	6.875421	0.02503
30	16.14409	0.0037611	0.0297	0.0295	6.875296	0.02545
