Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	16.27913	0.0052345	0.0108	0.0108	6.855282	0.03319
2	16.28086	0.0051109	0.0077	0.0077	6.855057	0.03253
3	16.28239	0.0050275	0.0169	0.0168	6.854853	0.03209
4	16.28386	0.0049410	0.0078	0.0078	6.854658	0.03163
5	16.28553	0.0048607	0.0047	0.0047	6.854434	0.03120
6	16.28686	0.0047958	0.0108	0.0107	6.854254	0.03086
7	16.28839	0.0047247	0.0108	0.0107	6.854047	0.03048
8	16.28993	0.0046691	0.0047	0.0047	6.853836	0.03019
9	16.29126	0.0046444	0.0139	0.0138	6.853648	0.03006
10	16.29259	0.0046907	0.0169	0.0168	6.853444	0.03030
11	16.29386	0.0046784	0.0107	0.0107	6.853262	0.03024
12	16.29526	0.0047154	0.0169	0.0168	6.853051	0.03043
13	16.29680	0.0048267	0.0138	0.0137	6.852803	0.03102
14	16.29853	0.0048946	0.0138	0.0138	6.852536	0.03138
15	16.30026	0.0048452	0.0168	0.0167	6.852295	0.03112
16	16.30220	0.0047958	0.0138	0.0137	6.852025	0.03086
17	16.30400	0.0048328	0.0108	0.0107	6.851755	0.03105
18	16.30587	0.0051449	0.0107	0.0107	6.851415	0.03271
19	16.30727	0.0049750	0.0168	0.0167	6.851249	0.03180
20	16.30880	0.0045579	0.0137	0.0136	6.851118	0.02960
21	16.31027	0.0043602	0.0138	0.0137	6.850948	0.02856
22	16.31174	0.0042089	0.0016	0.0016	6.850767	0.02776
23	16.31300	0.0040730	0.0046	0.0046	6.850613	0.02705
24	16.31434	0.0041008	0.0077	0.0076	6.850413	0.02720
25	16.31567	0.0040575	0.0077	0.0076	6.850228	0.02697
26	16.31694	0.0039680	0.0076	0.0076	6.850064	0.02650
27	16.31794	0.0038135	0.0076	0.0075	6.849952	0.02570
28	16.31921	0.0036777	0.0108	0.0107	6.849797	0.02500
29	16.32001	0.0035820	0.0077	0.0076	6.849701	0.02450
30	16.32128	0.0035264	0.0046	0.0046	6.849529	0.02421
31	16.32241	0.0034677	0.0106	0.0105	6.849377	0.02391
32	16.32321	0.0034399	0.0106	0.0106	6.849266	0.02377
33	16.32401	0.0034677	0.0077	0.0076	6.849144	0.02391
34	16.32522	0.0034924	0.0108	0.0107	6.848964	0.02404
35	16.32608	0.0035264	0.0077	0.0076	6.848831	0.02421
36	16.32695	0.0035387	0.0076	0.0076	6.848702	0.02428
