Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	15.83528	0.0042274	0.0610	0.0607	6.920602	0.02795
2	15.83568	0.0044930	0.0640	0.0637	6.920484	0.02937
3	15.83548	0.0051017	0.0609	0.0606	6.920376	0.03263
4	15.83508	0.0058619	0.0609	0.0606	6.920261	0.03674
5	15.83508	0.0065884	0.0548	0.0545	6.920094	0.04070
6	15.83482	0.0069533	0.0609	0.0606	6.920049	0.04270
7	15.83462	0.0068822	0.0609	0.0606	6.920094	0.04231
8	15.83416	0.0066812	0.0609	0.0605	6.920209	0.04121
9	15.83429	0.0067121	0.0518	0.0516	6.920182	0.04138
10	15.83416	0.0068296	0.0578	0.0575	6.920175	0.04202
11	15.83377	0.0070306	0.0609	0.0606	6.920186	0.04313
12	15.83344	0.0074389	0.0609	0.0605	6.920140	0.04537
13	15.83357	0.0079803	0.0578	0.0575	6.919995	0.04837
14	15.83324	0.0083733	0.0609	0.0606	6.919952	0.05055
15	15.83304	0.0085404	0.0608	0.0605	6.919942	0.05147
16	15.83265	0.0085435	0.0608	0.0605	6.919999	0.05149
17	15.83252	0.0085776	0.0609	0.0606	6.920011	0.05168
18	15.83245	0.0087633	0.0579	0.0575	6.919977	0.05272
19	15.83206	0.0088840	0.0578	0.0575	6.920007	0.05339
20	15.83199	0.0089242	0.0639	0.0636	6.920008	0.05361
21	15.83173	0.0091255	0.0609	0.0606	6.919999	0.05474
22	15.83153	0.0093143	0.0609	0.0606	6.919984	0.05579
23	15.83140	0.0091533	0.0669	0.0666	6.920041	0.05489
24	15.83100	0.0090450	0.0669	0.0666	6.920125	0.05429
25	15.83087	0.0090264	0.0670	0.0666	6.920149	0.05418
26	15.83081	0.0089923	0.0639	0.0636	6.920167	0.05399
27	15.83028	0.0089397	0.0608	0.0605	6.920257	0.05370
28	15.83035	0.0088747	0.0578	0.0575	6.920262	0.05334
29	15.83008	0.0088128	0.0608	0.0605	6.920316	0.05299
30	15.83015	0.0088035	0.0670	0.0666	6.920308	0.05294
31	15.82982	0.0087633	0.0639	0.0635	6.920366	0.05272
32	15.82982	0.0088035	0.0638	0.0635	6.920357	0.05294
33	15.82975	0.0094134	0.0578	0.0575	6.920223	0.05635
34	15.82942	0.0092524	0.0609	0.0605	6.920310	0.05545
35	15.82956	0.0088221	0.0609	0.0605	6.920391	0.05305
36	15.82942	0.0082990	0.0669	0.0665	6.920533	0.05014
37	15.82942	0.0077885	0.0608	0.0605	6.920653	0.04731
38	15.82936	0.0075905	0.0640	0.0636	6.920708	0.04621
39	15.82903	0.0074730	0.0638	0.0634	6.920784	0.04557
40	15.82778	0.0082186	0.0700	0.0696	6.920795	0.04969
41	15.82317	0.0087169	0.0639	0.0635	6.921360	0.05246
42	15.82008	0.0085961	0.0608	0.0605	6.921845	0.05180
43	15.81541	0.0083640	0.0608	0.0605	6.922591	0.05051
44	15.81272	0.0079494	0.0608	0.0605	6.923087	0.04821
45	15.81252	0.0075348	0.0639	0.0636	6.923212	0.04592
46	15.81285	0.0071513	0.0700	0.0696	6.923253	0.04380
47	15.81298	0.0068544	0.0579	0.0575	6.923302	0.04217
48	15.81364	0.0066503	0.0639	0.0636	6.923252	0.04105
49	15.81502	0.0064431	0.0639	0.0635	6.923095	0.03992
50	15.81660	0.0063318	0.0608	0.0605	6.922888	0.03931
51	15.81831	0.0062545	0.0639	0.0636	6.922652	0.03889
52	15.81864	0.0061710	0.0639	0.0636	6.922623	0.03843
53	15.81818	0.0060597	0.0639	0.0636	6.922717	0.03782
54	15.81811	0.0060041	0.0639	0.0636	6.922739	0.03752
55	15.81864	0.0059639	0.0639	0.0635	6.922670	0.03730
56	15.81890	0.0059052	0.0639	0.0636	6.922645	0.03698
57	15.81910	0.0058063	0.0639	0.0636	6.922638	0.03644
58	15.81916	0.0057105	0.0639	0.0636	6.922651	0.03592
59	15.81975	0.0056394	0.0609	0.0605	6.922579	0.03554
60	15.82146	0.0055745	0.0579	0.0576	6.922341	0.03519
61	15.82304	0.0055312	0.0578	0.0575	6.922117	0.03495
62	15.82271	0.0054725	0.0639	0.0636	6.922179	0.03463
63	15.82074	0.0054230	0.0700	0.0696	6.922483	0.03437
64	15.81811	0.0053829	0.0670	0.0667	6.922881	0.03415
65	15.81502	0.0053705	0.0610	0.0607	6.923341	0.03409
66	15.81140	0.0053859	0.0670	0.0666	6.923873	0.03417
67	15.57097	0.0058681	0.0883	0.0878	6.959513	0.03689
68	14.79458	0.0104044	0.1126	0.1120	7.076094	0.06309
69	14.18807	0.0135726	0.1248	0.1241	7.169647	0.08257
70	13.84405	0.0162858	0.1400	0.1392	7.223426	0.09956
71	13.62417	0.0233953	0.1401	0.1393	7.256673	0.14386
72	13.48022	0.0272508	0.1431	0.1423	7.278788	0.16849
73	13.38715	0.0327215	0.1340	0.1332	7.292288	0.20349
74	13.32979	0.0255094	0.1370	0.1362	7.303661	0.15813
75	13.28740	0.8138484	0.1522	0.1514	7.052312	5.95836
76	13.22201	1.5351936	0.1674	0.1665	6.809387	11.84123
77	13.13393	1.5420118	0.1827	0.1817	6.818901	11.92577
78	13.06876	1.5535181	0.1918	0.1907	6.823644	12.04293
79	13.03652	1.5679173	0.1948	0.1937	6.822875	12.17444
80	13.01233	1.5634052	0.1948	0.1937	6.827769	12.14411
81	13.00163	1.5555535	0.1796	0.1786	6.832030	12.08131
82	12.99386	1.5537855	0.1765	0.1755	6.833720	12.06887
83	12.98615	1.5549027	0.1735	0.1725	6.834369	12.08074
84	12.98378	1.5490964	0.1735	0.1725	6.836771	12.03253
85	12.99319	1.5496884	0.1857	0.1847	6.835278	12.03454
86	13.00649	1.5549026	0.1827	0.1817	6.831603	12.07429
87	13.01743	0.4063452	0.1340	0.1333	7.232543	2.85622
88	13.13990	0.1144431	0.0610	0.0606	7.307850	0.74843
89	13.38782	0.1013283	0.0609	0.0606	7.271812	0.65489
90	13.50281	0.0896327	0.0671	0.0667	7.256867	0.57458
91	13.55132	0.0814783	0.0579	0.0576	7.251527	0.51963
92	13.58316	0.0748776	0.0611	0.0607	7.248386	0.47555
93	13.61175	0.0695467	0.0670	0.0667	7.245381	0.44012
94	13.64092	0.0650159	0.0580	0.0576	7.242044	0.41012
95	13.67092	0.0607891	0.0610	0.0606	7.238481	0.38224
96	13.70119	0.0576275	0.0580	0.0576	7.234564	0.36141
97	13.73124	0.0550868	0.0640	0.0637	7.230502	0.34469
98	13.76070	0.0526596	0.0610	0.0607	7.226505	0.32877
99	13.78980	0.0505223	0.0639	0.0636	7.222481	0.31478
100	13.81800	0.0483681	0.0640	0.0637	7.218608	0.30074
101	13.84554	0.0449156	0.0670	0.0666	7.215212	0.27846
102	13.87241	0.0444813	0.0549	0.0546	7.211064	0.27551
103	13.89844	0.0436318	0.0640	0.0637	7.207173	0.26992
104	13.92317	0.0423927	0.0610	0.0607	7.203600	0.26189
105	13.94723	0.0410695	0.0610	0.0606	7.200158	0.25334
106	13.97056	0.0398947	0.0640	0.0637	7.196793	0.24576
107	13.99341	0.0388147	0.0610	0.0606	7.193480	0.23881
108	14.01546	0.0377289	0.0671	0.0667	7.190297	0.23184
109	14.03683	0.0369448	0.0671	0.0667	7.187138	0.22678
110	14.05759	0.0361828	0.0641	0.0637	7.184072	0.22188
111	14.07755	0.0356499	0.0610	0.0607	7.181070	0.21844
112	14.09759	0.0350952	0.0609	0.0606	7.178065	0.21485
113	14.11694	0.0343747	0.0609	0.0606	7.175214	0.21025
114	14.13594	0.0337357	0.0671	0.0667	7.172401	0.20616
115	14.15406	0.0331001	0.0609	0.0606	7.169724	0.20211
116	14.17181	0.0325649	0.0579	0.0576	7.167079	0.19869
117	14.18895	0.0324053	0.0610	0.0606	7.164430	0.19761
118	14.20553	0.0320892	0.0610	0.0606	7.161912	0.19557
119	14.22212	0.0316731	0.0639	0.0636	7.159423	0.19291
120	14.23827	0.0308223	0.0610	0.0607	7.157121	0.18755
121	14.25393	0.0302251	0.0580	0.0576	7.154829	0.18379
122	14.26909	0.0300750	0.0671	0.0668	7.152494	0.18279
123	14.28395	0.0297436	0.0579	0.0576	7.150258	0.18068
124	14.29855	0.0296124	0.0610	0.0606	7.148007	0.17980
125	14.31298	0.0299468	0.0580	0.0577	7.145659	0.18181
126	14.32716	0.0297530	0.0641	0.0637	7.143495	0.18055
127	14.34103	0.0292529	0.0580	0.0577	7.141463	0.17741
128	14.35465	0.0287811	0.0640	0.0637	7.139463	0.17444
129	14.36803	0.0285780	0.0641	0.0638	7.137430	0.17314
130	14.38078	0.0284218	0.0641	0.0637	7.135482	0.17212
131	14.39347	0.0282282	0.0671	0.0667	7.133555	0.17088
132	14.40597	0.0278971	0.0641	0.0638	7.131695	0.16880
133	14.41823	0.0276285	0.0640	0.0637	7.129857	0.16710
134	14.43043	0.0274349	0.0641	0.0638	7.128009	0.16587
135	14.44238	0.0271321	0.0641	0.0638	7.126230	0.16396
136	14.45370	0.0269354	0.0580	0.0577	7.124521	0.16271
137	14.46509	0.0267076	0.0580	0.0577	7.122811	0.16128
138	14.47604	0.0263830	0.0641	0.0637	7.121195	0.15925
139	14.48667	0.0261177	0.0610	0.0607	7.119613	0.15759
140	14.49731	0.0260241	0.0611	0.0607	7.117985	0.15698
