Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	19.76840	0.0003054	0.1162	0.1155	6.380055	0.01029
2	19.76433	0.0003085	0.1192	0.1185	6.380575	0.01030
3	19.75879	0.0003331	0.1222	0.1215	6.381282	0.01037
4	19.75191	0.0002992	0.1283	0.1276	6.382166	0.01027
5	19.74216	0.0002900	0.1192	0.1185	6.383416	0.01024
6	19.73300	0.0002992	0.1222	0.1215	6.384589	0.01026
7	19.72473	0.0002992	0.1192	0.1185	6.385649	0.01026
8	19.71897	0.0003177	0.1192	0.1185	6.386385	0.01031
9	19.71373	0.0008110	0.1214	0.1207	6.386993	0.01201
10	19.70827	-0.0004560	-0.6046	-0.6013	6.388147	0.00000
11	19.71543	-0.0005915	-0.7215	-0.7175	6.387229	0.00000
12	19.71329	-0.0007117	-0.4171	-0.4148	6.387504	0.00000
13	19.71277	-0.0005977	-0.4386	-0.4362	6.387570	0.00000
14	19.71152	-0.0007117	-0.4269	-0.4246	6.387731	0.00000
15	19.71108	-0.0004190	-0.7282	-0.7242	6.387788	0.00000
16	19.71580	-0.1060645	-0.6964	-0.6926	6.387182	0.00000
17	19.70864	0.0002992	0.1222	0.1215	6.387712	0.01025
18	19.70761	0.0002715	0.1191	0.1184	6.387848	0.01018
19	19.70827	0.0002992	0.1222	0.1215	6.387760	0.01025
20	19.70768	0.0003609	0.1252	0.1245	6.387829	0.01043
21	19.70798	0.0001297	0.1191	0.1184	6.387812	0.00987
22	19.70812	0.0003239	0.1252	0.1245	6.387776	0.01032
23	19.70879	0.0002838	0.1252	0.1246	6.387695	0.01021
24	19.70894	0.0003177	0.1252	0.1245	6.387673	0.01031
25	19.70872	0.0001728	0.1221	0.1214	6.387715	0.00995
26	19.70901	0.0002098	0.1222	0.1215	6.387674	0.01002
27	19.70923	0.0002807	0.1282	0.1275	6.387639	0.01020
28	19.70916	-0.0001755	0.1252	0.1245	6.388034	0.00000
29	19.70894	0.0003979	0.1191	0.1184	6.387663	0.01055
30	19.70945	0.0002745	0.1160	0.1154	6.387611	0.01019
31	19.70945	0.0002530	0.1252	0.1245	6.387613	0.01013
32	19.70990	0.0002530	0.1221	0.1214	6.387556	0.01013
33	19.71071	0.0001975	0.1191	0.1184	6.387457	0.01000
34	19.70916	0.0002006	0.1221	0.1214	6.387656	0.01000
35	19.70864	0.0002745	0.1251	0.1245	6.387715	0.01019
36	19.70805	0.0000588	0.1191	0.1184	6.387805	0.00982
37	19.70753	0.0003331	0.1191	0.1184	6.387851	0.01035
38	19.70776	0.0002591	0.1221	0.1214	6.387830	0.01015
39	19.70776	0.0002191	0.1190	0.1183	6.387834	0.01005
40	19.70776	0.0002684	0.1251	0.1244	6.387829	0.01017
41	19.70776	0.0002283	0.1222	0.1215	6.387833	0.01007
42	19.70746	0.0005489	0.1221	0.1214	6.387834	0.01105
43	19.70805	0.0002745	0.1251	0.1244	6.387791	0.01019
44	19.70680	0.0002715	0.1221	0.1214	6.387952	0.01018
45	19.70746	0.0002591	0.1160	0.1154	6.387868	0.01015
46	19.70672	0.0003424	0.1191	0.1184	6.387954	0.01038
47	19.70694	0.0002992	0.1221	0.1214	6.387930	0.01025
48	19.70643	0.0003054	0.1252	0.1245	6.387996	0.01027
49	19.70598	0.0002992	0.1252	0.1245	6.388053	0.01025
50	19.70466	0.0004133	0.1221	0.1214	6.388211	0.01060
51	19.70244	0.0005428	0.1251	0.1244	6.388478	0.01103
52	19.70089	0.0005829	0.1221	0.1214	6.388672	0.01117
53	19.69986	0.0005674	0.1282	0.1275	6.388806	0.01111
54	19.69831	0.0005551	0.1221	0.1214	6.389007	0.01107
55	19.69765	0.0005644	0.1191	0.1184	6.389091	0.01110
56	19.69661	0.0005428	0.1221	0.1214	6.389226	0.01102
57	19.69521	0.0005119	0.1220	0.1214	6.389410	0.01092
58	19.69521	0.0004965	0.1221	0.1214	6.389412	0.01087
59	19.69344	0.0004749	0.1282	0.1275	6.389642	0.01079
60	19.69152	0.0004688	0.1221	0.1214	6.389889	0.01077
61	19.69020	0.0004503	0.1221	0.1214	6.390062	0.01071
62	19.68880	0.0004318	0.1190	0.1184	6.390244	0.01065
63	19.68754	0.0004256	0.1282	0.1275	6.390405	0.01063
64	19.68695	0.0004133	0.1220	0.1214	6.390483	0.01059
65	19.68688	0.0004040	0.1191	0.1184	6.390493	0.01056
66	19.68629	0.0003948	0.1190	0.1183	6.390570	0.01053
67	19.68636	0.0003979	0.1220	0.1214	6.390560	0.01054
68	19.68489	0.0003763	0.1251	0.1244	6.390752	0.01047
69	19.68437	0.0003794	0.1221	0.1214	6.390818	0.01048
70	19.68422	0.0003701	0.1251	0.1244	6.390838	0.01045
71	19.68371	0.0003701	0.1251	0.1244	6.390904	0.01045
72	19.68297	0.0003609	0.1282	0.1275	6.391000	0.01042
73	19.68223	0.0003547	0.1221	0.1214	6.391095	0.01041
74	19.68098	0.0003424	0.1217	0.1210	6.391258	0.01037
75	19.68017	0.0003424	0.1252	0.1245	6.391362	0.01037
76	19.67840	0.0003547	0.1220	0.1214	6.391588	0.01040
77	19.67538	0.0003424	0.1251	0.1244	6.391977	0.01037
78	19.67375	0.0003424	0.1190	0.1184	6.392186	0.01037
79	19.67176	0.0003300	0.1221	0.1214	6.392443	0.01033
80	19.67154	0.0003331	0.1251	0.1244	6.392471	0.01034
81	19.67095	0.0003393	0.1251	0.1245	6.392546	0.01036
82	19.67036	0.0003331	0.1251	0.1244	6.392622	0.01034
83	19.67036	0.0003239	0.1251	0.1244	6.392623	0.01031
