Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	19.07978	0.0063967	0.0511	0.0509	6.468216	0.03809
2	19.07689	0.0064183	0.0481	0.0478	6.468591	0.03820
3	19.06994	0.0064090	0.0542	0.0539	6.469505	0.03816
4	19.06046	0.0064090	0.0511	0.0508	6.470749	0.03816
5	19.05496	0.0064121	0.0541	0.0538	6.471470	0.03818
6	19.05510	0.0064090	0.0511	0.0508	6.471452	0.03817
7	19.05525	0.0064028	0.0572	0.0569	6.471434	0.03814
8	19.05706	0.0064090	0.0480	0.0478	6.471195	0.03817
9	19.05698	0.0064028	0.0572	0.0569	6.471206	0.03814
10	19.05858	0.0064152	0.0511	0.0508	6.470995	0.03820
11	19.05894	0.0064090	0.0511	0.0508	6.470948	0.03817
12	19.06031	0.0064121	0.0541	0.0538	6.470767	0.03818
13	19.06104	0.0064090	0.0511	0.0508	6.470673	0.03816
14	19.06183	0.0063936	0.0541	0.0538	6.470572	0.03809
15	19.06067	0.0063998	0.0571	0.0568	6.470722	0.03812
16	19.05286	0.0063781	0.0481	0.0478	6.471752	0.03801
17	19.03724	0.0064090	0.0540	0.0537	6.473798	0.03817
18	19.02957	0.0063905	0.0511	0.0508	6.474808	0.03809
19	19.00803	0.0063874	0.0542	0.0539	6.477640	0.03808
20	18.98376	0.0063905	0.0541	0.0538	6.480832	0.03811
21	18.95829	0.0064028	0.0541	0.0538	6.484184	0.03818
22	18.94098	0.0064245	0.0541	0.0538	6.486460	0.03830
23	18.93817	0.0064430	0.0541	0.0538	6.486827	0.03839
24	18.94386	0.0064338	0.0480	0.0478	6.486078	0.03834
25	18.95093	0.0064338	0.0540	0.0538	6.485147	0.03834
26	18.95677	0.0064338	0.0571	0.0568	6.484377	0.03834
27	18.96456	0.0064338	0.0510	0.0507	6.483351	0.03833
28	18.97128	0.0064338	0.0571	0.0568	6.482467	0.03833
29	18.97727	0.0064245	0.0510	0.0508	6.481680	0.03828
30	18.98499	0.0064245	0.0510	0.0507	6.480664	0.03828
31	18.99034	0.0064276	0.0540	0.0538	6.479960	0.03829
32	18.99597	0.0064245	0.0509	0.0507	6.479219	0.03827
33	18.99987	0.0064430	0.0571	0.0568	6.478703	0.03836
34	19.00312	0.0064338	0.0540	0.0538	6.478277	0.03831
35	19.00001	0.0066409	0.0510	0.0507	6.478645	0.03936
36	18.97857	0.0069100	0.0571	0.0568	6.481415	0.04072
37	18.96132	0.0070615	0.0540	0.0538	6.483656	0.04150
38	18.96016	0.0071667	0.0511	0.0508	6.483788	0.04203
39	18.96045	0.0072409	0.0571	0.0568	6.483735	0.04241
40	18.95865	0.0072873	0.0541	0.0538	6.483964	0.04264
41	18.96074	0.0073399	0.0479	0.0477	6.483678	0.04291
42	18.95850	0.0074450	0.0540	0.0538	6.483952	0.04344
43	18.96088	0.0075286	0.0571	0.0568	6.483622	0.04387
44	18.96622	0.0075904	0.0540	0.0537	6.482907	0.04418
45	18.97019	0.0077018	0.0571	0.0568	6.482362	0.04474
46	18.97402	0.0077606	0.0601	0.0598	6.481847	0.04504
47	18.97821	0.0078225	0.0602	0.0598	6.481284	0.04535
48	18.98246	0.0078781	0.0571	0.0568	6.480713	0.04563
49	18.97835	0.0079338	0.0570	0.0567	6.481243	0.04592
50	18.96752	0.0079957	0.0541	0.0538	6.482656	0.04624
51	18.95497	0.0080576	0.0541	0.0538	6.484297	0.04656
52	18.93788	0.0081071	0.0540	0.0538	6.486540	0.04683
53	18.93182	0.0081659	0.0541	0.0538	6.487326	0.04713
54	18.93341	0.0081968	0.0571	0.0568	6.487111	0.04729
55	18.91380	0.1279756	0.0936	0.0931	6.463381	0.73001
56	18.31126	2.6765232	0.2001	0.1990	5.862522	19.10879
57	16.66333	2.8173807	0.3066	0.3049	5.987916	21.04994
58	15.50827	2.9865645	0.3857	0.3836	6.053984	23.10491
59	14.66173	2.9765140	0.4618	0.4592	6.144833	23.52075
60	14.10604	2.9837791	0.5166	0.5137	6.200984	23.92384
61	13.79465	2.9903997	0.5348	0.5319	6.231883	24.17673
62	13.64216	2.9979042	0.5287	0.5258	6.245610	24.34001
63	13.56526	2.9999138	0.5318	0.5288	6.253158	24.40688
64	13.51828	3.0013408	0.5287	0.5258	6.257705	24.44964
65	13.49019	3.0067824	0.5257	0.5228	6.258827	24.51650
66	13.48477	3.0302300	0.5318	0.5288	6.251237	24.73095
67	13.49850	3.0348923	0.5287	0.5258	6.248145	24.76404
68	13.48268	3.0073658	0.5926	0.5893	6.259431	24.52653
69	13.45056	3.0200314	0.7630	0.7588	6.258461	24.66111
70	13.39937	3.0329854	0.9365	0.9314	6.259424	24.81095
71	13.35487	3.0434943	1.0004	0.9949	6.260510	24.93480
72	13.38002	3.0429143	1.0156	1.0100	6.258020	24.91314
73	13.54305	3.0494938	1.0095	1.0040	6.238320	24.86643
74	13.71457	3.0579797	0.9973	0.9918	6.217174	24.83156
75	13.83603	3.0556923	0.9821	0.9767	6.205117	24.73284
76	13.86588	3.0527648	0.9730	0.9676	6.202967	24.68756
77	13.75344	3.0545013	0.9821	0.9767	6.214256	24.77533
