Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	14.50181	0.0028318	0.0428	0.0426	7.123252	0.02064
2	14.50472	0.0028380	0.0428	0.0426	7.122797	0.02067
3	14.50662	0.0028349	0.0398	0.0395	7.122502	0.02065
4	14.51175	0.0028349	0.0458	0.0455	7.121704	0.02065
5	14.51828	0.0027886	0.0428	0.0425	7.120699	0.02041
6	14.51809	0.0028441	0.0397	0.0395	7.120716	0.02070
7	14.51150	0.0028380	0.0428	0.0425	7.121742	0.02067
8	14.50320	0.0028164	0.0428	0.0425	7.123039	0.02055
9	14.50136	0.0028164	0.0367	0.0365	7.123325	0.02055
10	14.50187	0.0028040	0.0457	0.0455	7.123249	0.02049
11	14.50491	0.0028164	0.0457	0.0454	7.122773	0.02055
12	14.51125	0.0028225	0.0428	0.0425	7.121785	0.02059
13	14.51910	0.0028164	0.0427	0.0424	7.120564	0.02055
14	14.52785	0.0028164	0.0428	0.0426	7.119204	0.02055
15	14.53641	0.0027176	0.0366	0.0364	7.117896	0.02003
16	14.54478	0.0028164	0.0397	0.0395	7.116572	0.02055
17	14.55366	0.0028133	0.0395	0.0393	7.115194	0.02054
18	14.56241	0.0028164	0.0395	0.0393	7.113833	0.02055
19	14.57003	0.0028164	0.0396	0.0394	7.112651	0.02055
20	14.57739	0.0028133	0.0456	0.0454	7.111509	0.02054
21	14.58311	0.0028071	0.0456	0.0454	7.110623	0.02051
22	14.58876	0.0028225	0.0427	0.0424	7.109743	0.02059
23	14.59473	0.0028164	0.0427	0.0424	7.108818	0.02056
24	14.59917	0.0028225	0.0366	0.0364	7.108128	0.02059
25	14.60000	0.0028164	0.0396	0.0394	7.108001	0.02056
26	14.59492	0.0028164	0.0427	0.0424	7.108789	0.02056
27	14.58615	0.0028133	0.0456	0.0454	7.110149	0.02054
28	14.57625	0.0028164	0.0396	0.0394	7.111685	0.02055
29	14.56552	0.0028225	0.0426	0.0424	7.113349	0.02059
30	14.55258	0.0028071	0.0456	0.0453	7.115363	0.02051
31	14.53628	0.0028164	0.0457	0.0454	7.117893	0.02055
32	14.51784	0.0028225	0.0457	0.0454	7.120760	0.02059
33	14.49750	0.0028256	0.0457	0.0454	7.123924	0.02060
34	14.47597	0.0028287	0.0426	0.0424	7.127276	0.02062
35	14.45851	0.0028256	0.0426	0.0423	7.129999	0.02060
36	14.44592	0.0028164	0.0395	0.0393	7.131964	0.02055
37	14.43460	0.0028225	0.0396	0.0394	7.133729	0.02059
38	14.42436	0.0028781	0.0334	0.0332	7.135314	0.02088
39	14.41280	0.0028225	0.0395	0.0393	7.137133	0.02059
40	14.40439	0.0028164	0.0396	0.0394	7.138447	0.02055
41	14.39896	0.0028349	0.0426	0.0424	7.139291	0.02065
42	14.39549	0.0028287	0.0518	0.0516	7.139836	0.02062
