Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	14.61455	0.0000433	0.0564	0.0561	7.106314	0.00753
2	14.61429	0.0000680	0.0593	0.0590	7.106353	0.00755
3	14.61410	0.0000372	0.0496	0.0493	7.106383	0.00754
4	14.61423	-0.0001539	0.1086	0.1080	7.106692	0.00000
5	14.61442	-0.0004837	0.2560	0.2546	7.106662	0.00000
6	14.61436	0.0001728	0.4255	0.4232	7.106333	0.00778
7	14.61328	0.0001389	0.1272	0.1265	7.106504	0.00768
8	14.61264	0.0001482	0.0329	0.0328	7.106602	0.00771
9	14.61245	0.0001482	0.0329	0.0327	7.106631	0.00771
10	14.61264	0.0001574	0.0329	0.0327	7.106601	0.00773
11	14.61245	0.0001574	0.0359	0.0357	7.106630	0.00773
12	14.61264	0.0001667	0.0328	0.0326	7.106599	0.00776
13	14.61264	0.0001574	0.0359	0.0357	7.106601	0.00773
14	14.61277	0.0001574	0.0419	0.0417	7.106581	0.00773
15	14.61321	0.0001574	0.0389	0.0386	7.106512	0.00773
16	14.61385	0.0001636	0.0327	0.0326	7.106413	0.00775
17	14.61448	0.0001574	0.0328	0.0326	7.106315	0.00773
18	14.61506	0.0001482	0.0358	0.0356	7.106227	0.00771
19	14.61563	0.0001574	0.0388	0.0386	7.106138	0.00773
20	14.61645	0.0001482	0.0419	0.0417	7.106011	0.00771
21	14.61734	0.0001636	0.0358	0.0356	7.105871	0.00775
22	14.61741	0.0001759	0.0358	0.0356	7.105859	0.00779
23	14.61703	0.0001821	0.0297	0.0296	7.105918	0.00781
24	14.61690	0.0001790	0.0297	0.0296	7.105938	0.00780
25	14.61664	0.0001821	0.0327	0.0325	7.105977	0.00781
26	14.61652	0.0001728	0.0296	0.0294	7.105998	0.00778
27	14.61620	0.0001667	0.0327	0.0326	7.106048	0.00776
28	14.61499	0.0001574	0.0327	0.0325	7.106236	0.00773
29	14.61378	0.0001482	0.0357	0.0355	7.106424	0.00771
30	14.61245	0.0001574	0.0358	0.0356	7.106630	0.00773
31	14.61220	0.0001482	0.0327	0.0325	7.106671	0.00771
32	14.61213	0.0001482	0.0327	0.0325	7.106680	0.00771
33	14.61213	0.0001574	0.0327	0.0326	7.106679	0.00773
34	14.61200	0.0001636	0.0358	0.0356	7.106698	0.00775
35	14.61181	0.0001667	0.0357	0.0355	7.106727	0.00776
36	14.61169	0.0001728	0.0357	0.0355	7.106746	0.00778
37	14.61175	0.0001667	0.0357	0.0355	7.106737	0.00776
38	14.61156	0.0001667	0.0358	0.0356	7.106767	0.00776
39	14.61150	0.0001636	0.0296	0.0294	7.106777	0.00775
40	14.61124	0.0001667	0.0357	0.0355	7.106816	0.00776
41	14.61086	0.0001636	0.0358	0.0356	7.106876	0.00775
42	14.61080	0.0001574	0.0357	0.0355	7.106886	0.00773
43	14.61023	0.0001667	0.0327	0.0325	7.106974	0.00776
44	14.61042	0.0001790	0.0388	0.0386	7.106943	0.00779
45	14.61073	0.0001913	0.0418	0.0416	7.106892	0.00783
46	14.61080	0.0002129	0.0327	0.0325	7.106879	0.00790
47	14.61054	0.0002283	0.0296	0.0294	7.106916	0.00795
48	14.61073	0.0002376	0.0357	0.0355	7.106885	0.00798
49	14.61080	0.0002437	0.0325	0.0324	7.106874	0.00800
50	14.61086	0.0002376	0.0357	0.0355	7.106866	0.00798
51	14.61080	0.0002530	0.0357	0.0355	7.106873	0.00803
52	14.61099	0.0002499	0.0418	0.0416	7.106844	0.00802
53	14.61092	0.0002468	0.0388	0.0386	7.106854	0.00801
54	14.61061	0.0002499	0.0358	0.0356	7.106903	0.00802
55	14.61023	0.0002468	0.0327	0.0325	7.106963	0.00801
56	14.60997	0.0002468	0.0388	0.0386	7.107002	0.00801
57	14.60965	0.0002499	0.0419	0.0416	7.107051	0.00802
58	14.60978	0.0002622	0.0297	0.0295	7.107029	0.00807
59	14.60972	0.0002499	0.0357	0.0355	7.107041	0.00802
60	14.60965	0.0002530	0.0296	0.0294	7.107050	0.00803
61	14.60959	0.0002468	0.0358	0.0356	7.107061	0.00801
62	14.60959	0.0002499	0.0297	0.0295	7.107061	0.00802
63	14.60953	0.0002376	0.0297	0.0295	7.107072	0.00798
64	14.60946	0.0002283	0.0297	0.0295	7.107084	0.00795
65	14.60946	0.0002283	0.0387	0.0384	7.107084	0.00795
66	14.60946	0.0002098	0.0419	0.0416	7.107086	0.00789
67	14.60934	0.0002191	0.0357	0.0355	7.107105	0.00792
68	14.60908	0.0002098	0.0296	0.0294	7.107145	0.00789
69	14.60889	0.0002036	0.0387	0.0385	7.107176	0.00787
70	14.60876	0.0002098	0.0479	0.0476	7.107195	0.00789
71	14.60857	0.0001913	0.0357	0.0355	7.107227	0.00783
72	14.60864	0.0001975	0.0296	0.0294	7.107216	0.00785
73	14.60819	0.0002006	0.0387	0.0385	7.107285	0.00786
74	14.60788	0.0001975	0.0326	0.0324	7.107334	0.00785
75	14.60775	0.0002006	0.0357	0.0355	7.107353	0.00786
76	14.60762	0.0002006	0.0357	0.0355	7.107373	0.00786
77	14.60578	0.0002036	0.0418	0.0416	7.107658	0.00787
78	14.13286	0.0004040	0.0510	0.0507	7.181632	0.00840
79	13.02369	0.0004133	0.0570	0.0567	7.360635	0.00797
80	12.17771	0.0013107	0.0783	0.0779	7.502298	0.01214
81	11.63121	1.4416604	0.1393	0.1385	7.066457	11.53690
82	11.19440	2.9871457	0.2153	0.2141	6.520355	25.87272
83	10.97252	3.0178835	0.2670	0.2655	6.533571	26.32467
84	10.92334	3.0320955	0.3065	0.3048	6.533541	26.49693
85	10.88031	3.0402908	0.3735	0.3715	6.535188	26.60713
86	10.76686	3.0593051	0.4344	0.4320	6.540520	26.87386
87	10.63775	3.0719312	0.4891	0.4865	6.550160	27.09173
88	10.57034	3.0773416	0.5744	0.5713	6.555664	27.19451
89	10.57330	3.0855456	0.7388	0.7347	6.552010	27.27232
90	10.64926	3.0921423	0.9731	0.9678	6.540711	27.27989
91	10.81567	3.0947750	1.0735	1.0676	6.520802	27.18172
92	10.96218	3.1004933	1.1161	1.1100	6.502004	27.12872
93	11.02390	3.1038183	1.1374	1.1311	6.493751	27.11530
94	11.03887	3.1065239	1.1710	1.1646	6.491002	27.13036
95	11.04705	3.1096058	1.1952	1.1886	6.488869	27.15405
96	11.05972	3.1114394	1.2104	1.2038	6.486726	27.16238
97	11.06883	3.1099194	1.2166	1.2099	6.486305	27.14101
98	11.07846	3.1150155	1.2195	1.2128	6.483219	27.18304
99	11.09472	3.1208849	1.2196	1.2129	6.479090	27.22761
100	11.10966	3.1255932	1.2227	1.2159	6.475570	27.26193
101	11.10366	3.1286639	1.2165	1.2098	6.475032	27.29598
102	11.06693	3.1301815	1.2196	1.2129	6.478534	27.33786
103	11.01780	3.1305706	1.2104	1.2038	6.483867	27.37814
104	10.91938	3.1306456	1.2074	1.2008	6.494849	27.45227
105	10.79180	3.1317943	1.2075	1.2008	6.508703	27.55906
106	10.70830	3.1346274	1.2165	1.2098	6.516956	27.64957
107	10.65775	3.1373685	1.2196	1.2129	6.521543	27.71455
108	10.61513	3.1388631	1.2226	1.2159	6.525741	27.76149
109	10.57295	3.1388326	1.2226	1.2159	6.530508	27.79326
110	10.53656	3.1384749	1.2195	1.2128	6.534758	27.81747
111	10.49561	3.1388087	1.2227	1.2159	6.539248	27.85198
112	10.44064	3.1400011	1.2165	1.2098	6.544978	27.90572
113	10.37720	3.1391063	1.2226	1.2159	6.552525	27.94556
114	10.31133	3.1377610	1.2257	1.2190	6.560546	27.98294
115	10.25171	3.1381506	1.2287	1.2219	6.567158	28.03271
116	10.20752	3.1388055	1.2226	1.2159	6.571915	28.07333
117	10.17299	3.1383613	1.2165	1.2098	6.576027	28.09565
118	10.14587	3.1360959	1.2135	1.2069	6.580053	28.09423
119	10.12799	3.1344852	1.2226	1.2159	6.582759	28.09213
120	10.12799	3.1349666	1.2226	1.2159	6.582560	28.09690
121	10.13693	3.1373183	1.2287	1.2220	6.580568	28.11326
122	10.14666	3.1406896	1.2257	1.2189	6.578065	28.13911
123	10.15549	3.1429008	1.2318	1.2250	6.576146	28.15415
124	10.15887	3.1412639	1.2256	1.2189	6.576437	28.13532
125	10.14525	3.1367811	1.2225	1.2158	6.579841	28.10149
126	10.12726	3.1353801	1.2166	1.2099	6.582472	28.10156
127	10.10758	3.1350779	1.2195	1.2128	6.584842	28.11382
128	10.07893	3.1364423	1.2225	1.2158	6.587547	28.14959
129	10.05120	3.1396469	1.2288	1.2220	6.589382	28.20296
130	10.04256	3.1442179	1.2286	1.2218	6.588470	28.25510
131	10.05940	3.1467329	1.2225	1.2158	6.585505	28.26694
132	10.07725	3.1475486	1.2195	1.2128	6.583132	28.26111
133	10.06630	3.1394059	1.2196	1.2129	6.587759	28.18882
134	10.02854	3.1337704	1.2104	1.2038	6.594415	28.16225
135	9.98230	3.1336783	1.2196	1.2129	6.599744	28.19734
136	9.94418	3.1385859	1.2288	1.2220	6.602061	28.27595
137	9.94474	3.1519768	1.2378	1.2310	6.596404	28.40890
138	9.98583	3.1612645	1.2470	1.2402	6.587844	28.46910
139	9.99681	3.1631592	1.2439	1.2371	6.585804	28.47932
140	9.98174	3.1554033	1.2227	1.2160	6.590752	28.41396
141	9.95593	3.1475498	1.2256	1.2189	6.596974	28.35602
142	9.92270	3.1436816	1.2105	1.2038	6.602390	28.34355
143	9.89396	3.1426687	1.2105	1.2038	6.606104	28.35600
144	9.87385	3.1430829	1.2073	1.2007	6.608234	28.37593
145	9.86335	3.1436328	1.2135	1.2068	6.609207	28.38967
146	9.86039	3.1441333	1.2135	1.2068	6.609336	28.39700
147	9.86061	3.1448500	1.2256	1.2189	6.609010	28.40397
148	9.86212	3.1470377	1.2288	1.2220	6.607920	28.42463
