Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	20.45727	0.0038197	0.0071	0.0071	6.292412	0.02528
2	20.45727	0.0037981	0.0102	0.0101	6.292415	0.02518
3	20.44119	0.0037425	0.0071	0.0071	6.294433	0.02493
4	20.42286	0.0036684	-0.0020	-0.0020	6.296736	0.02459
5	20.41781	0.0035819	0.0040	0.0040	6.297383	0.02419
6	20.41901	0.0035016	0.0071	0.0070	6.297246	0.02382
7	20.42127	0.0034399	0.0071	0.0070	6.296973	0.02353
8	20.42369	0.0033874	0.0071	0.0070	6.296681	0.02329
9	20.42505	0.0033534	0.0101	0.0101	6.296517	0.02314
10	20.42572	0.0033164	0.0010	0.0010	6.296438	0.02297
11	20.42784	0.0032639	0.0101	0.0101	6.296183	0.02273
12	20.42934	0.0032269	0.0041	0.0040	6.296001	0.02256
13	20.43168	0.0031867	0.0010	0.0010	6.295715	0.02238
14	20.43281	0.0031559	0.0071	0.0071	6.295579	0.02224
15	20.43334	0.0031651	0.0041	0.0040	6.295511	0.02228
16	20.43364	0.0031373	0.0040	0.0040	6.295478	0.02215
17	20.43364	0.0031281	0.0010	0.0010	6.295480	0.02211
18	20.43342	0.0031312	0.0071	0.0071	6.295508	0.02212
19	20.43334	0.0031466	0.0041	0.0040	6.295515	0.02219
20	20.43078	0.0031281	0.0101	0.0101	6.295838	0.02211
21	20.42965	0.0032083	0.0071	0.0070	6.295966	0.02247
22	20.42919	0.0033318	0.0101	0.0100	6.296002	0.02304
23	20.42851	0.0033596	0.0101	0.0101	6.296082	0.02317
24	20.42527	0.0033874	0.0101	0.0101	6.296483	0.02329
25	20.42572	0.0034924	0.0254	0.0252	6.296408	0.02378
26	20.15592	0.0056857	0.0314	0.0313	6.329909	0.03419
27	19.22543	0.0054137	0.0345	0.0343	6.449352	0.03316
28	18.46992	0.0056857	0.0375	0.0373	6.549229	0.03476
29	18.03684	0.0426122	0.0771	0.0766	6.599699	0.23883
30	17.74055	1.3219580	0.1105	0.1099	6.300589	8.98527
31	17.51319	1.6539631	0.1349	0.1341	6.234114	11.51941
32	17.34554	2.7394297	0.1957	0.1947	5.941557	20.06961
33	17.20473	2.8120411	0.3205	0.3187	5.934761	20.72676
34	17.06033	2.9002127	0.4665	0.4640	5.923549	21.51930
35	16.84749	2.9798949	0.5822	0.5790	5.921295	22.28823
36	16.68976	2.9800659	0.6369	0.6334	5.936880	22.37699
37	16.61072	2.9774515	0.6917	0.6879	5.945518	22.39929
38	16.54799	2.9923194	0.8012	0.7968	5.947322	22.55770
39	16.45575	3.0093966	0.9229	0.9179	5.951382	22.75179
40	16.34852	2.9855386	0.9838	0.9784	5.969272	22.61348
41	16.34171	2.9897810	0.9777	0.9723	5.968672	22.65275
42	16.45963	2.9894828	0.9899	0.9845	5.956978	22.58373
43	16.59350	2.9898331	0.9838	0.9784	5.943540	22.51150
44	16.68510	3.0007515	0.9716	0.9663	5.931199	22.55071
45	16.74221	3.0042361	0.9655	0.9602	5.924516	22.54759
46	16.77472	3.0067201	0.9777	0.9723	5.920569	22.54994
47	16.73161	3.0233163	0.9838	0.9784	5.919908	22.71143
48	16.63435	3.0424550	0.9868	0.9814	5.923808	22.92528
49	16.54799	3.0536303	0.9899	0.9844	5.928987	23.06764
50	16.47934	3.0596765	0.9838	0.9784	5.933949	23.15757
51	16.41778	3.0717879	0.9777	0.9724	5.936384	23.29440
52	16.35961	3.0811394	0.9686	0.9633	5.939306	23.40658
53	16.31634	3.0830285	0.9777	0.9723	5.943006	23.44773
54	16.29593	3.0839671	0.9838	0.9783	5.944738	23.46757
55	16.28526	3.0854025	0.9869	0.9814	5.945357	23.48588
56	16.28733	3.0839058	0.9808	0.9754	5.945606	23.47210
57	16.29626	3.0913427	0.9777	0.9723	5.942473	23.52930
58	16.28619	3.0860773	0.9777	0.9724	5.945061	23.49100
59	16.26160	3.0854886	0.9747	0.9693	5.947669	23.50050
60	16.24375	3.0842252	0.9899	0.9845	5.949818	23.50037
61	16.24482	3.0856974	0.9868	0.9814	5.949265	23.51212
62	16.25707	3.0785596	0.9807	0.9753	5.950218	23.44495
63	16.26840	3.0774072	0.9686	0.9632	5.949447	23.42864
64	16.26507	3.0932893	0.9625	0.9572	5.944962	23.56401
65	16.25707	3.0868200	0.9716	0.9663	5.947713	23.51435
66	16.24109	3.0819806	0.9838	0.9784	5.950762	23.48307
67	16.23989	3.0811897	0.9868	0.9814	5.951121	23.47713
68	16.25308	3.0765433	0.9990	0.9935	5.951226	23.43035
69	16.26906	3.0638135	0.9868	0.9814	5.953502	23.31413
70	16.27246	3.0638440	0.9747	0.9693	5.953155	23.31241
71	16.31067	3.0822375	0.9655	0.9602	5.943805	23.44442
72	16.33016	3.0788469	0.9656	0.9602	5.942905	23.40458
73	16.31941	3.0728485	0.9777	0.9724	5.945781	23.36056
74	16.30720	3.0736265	0.9868	0.9814	5.946753	23.37421
75	16.30753	3.0752806	0.9869	0.9814	5.946220	23.38789
76	16.31040	3.0746434	0.9838	0.9784	5.946129	23.38087
77	16.30053	3.0775050	0.9838	0.9784	5.946239	23.41065
78	16.28666	3.0851203	0.9777	0.9723	5.945304	23.48269
79	16.27400	3.0775359	0.9717	0.9663	5.948854	23.42644
80	16.25880	3.0734616	0.9747	0.9693	5.951593	23.40112
81	16.25088	3.0744418	0.9777	0.9724	5.952081	23.41399
82	16.25174	3.0775055	0.9807	0.9754	5.951066	23.43922
83	16.25727	3.0807051	0.9808	0.9754	5.949548	23.46286
84	16.26127	3.0828819	0.9777	0.9724	5.948492	23.47880
85	16.25414	3.0827716	0.9777	0.9724	5.949231	23.48206
86	16.23823	3.0814227	0.9747	0.9694	5.951215	23.48007
87	16.22298	3.0837654	0.9838	0.9784	5.952012	23.50872
88	16.20795	3.0865137	0.9808	0.9754	5.952665	23.54069
89	16.20429	3.0901773	0.9777	0.9724	5.951913	23.57367
90	16.21560	3.0918838	0.9778	0.9724	5.950276	23.58136
91	16.22006	3.0906314	0.9717	0.9663	5.950216	23.56819
92	16.19372	3.0910307	0.9747	0.9694	5.952700	23.58709
93	16.15823	3.0969877	0.9747	0.9693	5.954397	23.65826
94	16.13599	3.1003183	0.9838	0.9784	5.955582	23.69953
95	16.14316	3.0985853	0.9808	0.9754	5.955401	23.68066
