Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	15.66245	0.0022300	-0.1219	-0.1212	6.946688	0.01757
2	15.66154	0.0022362	-0.1248	-0.1241	6.946823	0.01760
3	15.66108	0.0022207	-0.1219	-0.1212	6.946895	0.01752
4	15.66016	0.0022207	-0.1219	-0.1212	6.947031	0.01752
5	15.65938	0.0022115	-0.1219	-0.1212	6.947150	0.01748
6	15.65892	0.0022207	-0.1219	-0.1212	6.947217	0.01752
7	15.65820	0.0022207	-0.1280	-0.1273	6.947324	0.01752
8	15.65748	0.0022115	-0.1250	-0.1243	6.947433	0.01748
9	15.65689	0.0022115	-0.1280	-0.1273	6.947521	0.01748
10	15.65610	0.0022115	-0.1189	-0.1182	6.947638	0.01748
11	15.65538	0.0022454	-0.1219	-0.1212	6.947738	0.01765
12	15.65564	0.0022763	-0.1220	-0.1213	6.947692	0.01780
13	15.65656	0.0023010	-0.1219	-0.1212	6.947550	0.01793
14	15.65604	0.0024337	-0.1220	-0.1213	6.947600	0.01860
15	15.65512	0.0028966	-0.1189	-0.1182	6.947636	0.02098
16	15.65407	0.0035573	-0.1190	-0.1183	6.947645	0.02444
17	15.65217	0.0042737	-0.1189	-0.1182	6.947767	0.02824
18	15.64785	0.0045394	-0.1280	-0.1273	6.948350	0.02966
19	15.64282	0.0044714	-0.1220	-0.1213	6.949116	0.02930
20	15.63895	0.0046104	-0.1280	-0.1273	6.949660	0.03004
21	15.63784	0.0046784	-0.1280	-0.1273	6.949810	0.03041
22	15.63758	0.0047433	-0.1249	-0.1243	6.949834	0.03076
23	15.63778	0.0046444	-0.1250	-0.1243	6.949828	0.03023
24	15.63738	0.0046382	-0.1189	-0.1182	6.949888	0.03019
25	15.63653	0.0044591	-0.1220	-0.1213	6.950055	0.02923
26	15.63608	0.0043602	-0.1220	-0.1213	6.950146	0.02870
27	15.63601	0.0043046	-0.1249	-0.1243	6.950168	0.02841
28	15.63595	0.0042892	-0.1219	-0.1212	6.950181	0.02832
29	15.63516	0.0043201	-0.1189	-0.1182	6.950291	0.02849
30	15.63464	0.0041718	-0.1250	-0.1243	6.950403	0.02770
31	15.63339	0.0040884	-0.1219	-0.1213	6.950607	0.02725
32	15.63215	0.0039494	-0.1220	-0.1213	6.950824	0.02651
33	15.63189	0.0038321	-0.1280	-0.1273	6.950889	0.02589
34	15.63143	0.0038444	-0.1190	-0.1183	6.950954	0.02596
35	15.63078	0.0038784	-0.1280	-0.1273	6.951044	0.02614
36	15.62980	0.0038599	-0.1280	-0.1273	6.951195	0.02604
37	15.62849	0.0037981	-0.1159	-0.1152	6.951404	0.02571
38	15.62594	0.0038506	-0.1189	-0.1182	6.951772	0.02599
39	15.62273	0.0037889	-0.1250	-0.1243	6.952264	0.02566
40	15.61913	0.0038136	-0.1219	-0.1213	6.952795	0.02579
41	15.61554	0.0037642	-0.1250	-0.1243	6.953342	0.02553
42	15.60743	0.0037425	-0.1189	-0.1182	6.954556	0.02542
43	15.59815	0.0036221	-0.1219	-0.1213	6.955968	0.02478
44	15.58939	0.0035295	-0.1189	-0.1183	6.957296	0.02430
45	15.58136	0.0034399	-0.1158	-0.1152	6.958516	0.02382
46	15.57744	0.0033535	-0.1219	-0.1213	6.959121	0.02337
47	15.57731	0.0032979	-0.1250	-0.1244	6.959153	0.02308
48	15.57816	0.0032423	-0.1220	-0.1213	6.959038	0.02279
49	15.57933	0.0031713	-0.1250	-0.1244	6.958878	0.02241
50	15.57992	0.0031281	-0.1219	-0.1212	6.958800	0.02219
51	15.58077	0.0030818	-0.1250	-0.1243	6.958683	0.02195
52	15.58188	0.0030293	-0.1219	-0.1212	6.958529	0.02167
53	15.58319	0.0029954	-0.1189	-0.1183	6.958342	0.02150
54	15.58436	0.0029583	-0.1250	-0.1243	6.958174	0.02130
55	15.58541	0.0029398	-0.1128	-0.1121	6.958022	0.02121
56	15.58573	0.0028997	-0.1189	-0.1182	6.957982	0.02100
57	15.58423	0.0028781	-0.1188	-0.1182	6.958211	0.02089
58	15.48853	0.9137434	-0.0428	-0.0425	6.707234	6.37811
59	14.85506	2.5486831	0.0638	0.0635	6.264034	19.73356
60	14.25884	2.6711428	0.1763	0.1753	6.289740	21.09704
61	13.84579	2.7308798	0.2920	0.2904	6.315351	21.84822
62	13.56187	2.7518097	0.4168	0.4145	6.339765	22.19565
63	13.39108	2.7635656	0.5324	0.5295	6.354761	22.39956
64	13.29738	2.7688789	0.6390	0.6354	6.363396	22.50198
65	13.24102	2.7731345	0.7424	0.7384	6.368219	22.57329
66	13.20893	2.7524302	0.8094	0.8049	6.379160	22.40681
67	13.21052	2.7616952	0.8277	0.8231	6.375698	22.48883
68	13.25515	2.7657574	0.8185	0.8141	6.369241	22.49890
69	13.29787	2.7686905	0.8247	0.8201	6.363409	22.49996
70	13.32458	2.7697861	0.8094	0.8050	6.360028	22.49402
71	13.34254	2.7662749	0.8125	0.8080	6.359250	22.45211
72	13.35297	2.7654561	0.8185	0.8140	6.358370	22.43868
73	13.33843	2.7688551	0.8186	0.8141	6.358803	22.47756
74	13.29854	2.7757460	0.8185	0.8140	6.360845	22.56264
75	13.25998	2.7807252	0.8216	0.8171	6.363410	22.63000
76	13.22549	2.7840367	0.8155	0.8110	6.366105	22.68014
77	13.19806	2.7863575	0.8185	0.8141	6.368359	22.71727
78	13.17706	2.7884544	0.8216	0.8171	6.369972	22.74860
79	13.16448	2.7904159	0.8217	0.8172	6.370686	22.77372
80	13.16162	2.7927738	0.8246	0.8201	6.370171	22.79661
81	13.16180	2.7922419	0.8216	0.8170	6.370339	22.79172
82	13.15466	2.7922715	0.8156	0.8111	6.371129	22.79626
83	13.13996	2.7935424	0.8156	0.8111	6.372327	22.81647
84	13.12454	2.7928805	0.8246	0.8200	6.374293	22.81976
85	13.11418	2.7921891	0.8277	0.8232	6.375703	22.81975
86	13.10833	2.7926620	0.8277	0.8232	6.376191	22.82751
87	13.10724	2.7933772	0.8277	0.8232	6.376060	22.83460
88	13.10614	2.7894652	0.8185	0.8141	6.377576	22.80007
89	13.09755	2.7857738	0.8216	0.8171	6.379856	22.77201
90	13.08489	2.7839849	0.8125	0.8080	6.381919	22.76350
91	13.07685	2.7821905	0.8155	0.8110	6.383463	22.75216
92	13.07667	2.7826332	0.8277	0.8232	6.383326	22.75625
93	13.08020	2.7842329	0.8307	0.8261	6.382358	22.76853
94	13.08933	2.7859982	0.8308	0.8263	6.380701	22.77895
95	13.09792	2.7861044	0.8216	0.8171	6.379698	22.77477
96	13.09530	2.7832351	0.8186	0.8141	6.381014	22.75053
97	13.08403	2.7815825	0.8247	0.8202	6.382871	22.74239
98	13.07186	2.7815000	0.8307	0.8262	6.384272	22.74892
99	13.06547	2.7825211	0.8246	0.8201	6.384627	22.76193
100	13.06961	2.7846699	0.8247	0.8201	6.383395	22.77880
101	13.08403	2.7857503	0.8277	0.8232	6.381386	22.77989
102	13.09201	2.7844689	0.8246	0.8201	6.380945	22.76359
