Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	13.50417	0.0006661	-0.2377	-0.2364	7.282088	0.00931
2	13.49314	0.0006630	-0.2407	-0.2394	7.283873	0.00929
3	13.47492	0.0006630	-0.2438	-0.2424	7.286824	0.00928
4	13.46348	0.0006630	-0.2468	-0.2455	7.288679	0.00928
5	13.48268	0.0006815	-0.2407	-0.2393	7.285564	0.00937
6	13.53535	0.0007802	-0.2408	-0.2395	7.277021	0.00986
7	13.59606	0.0008234	-0.2407	-0.2394	7.267210	0.01009
8	13.65446	0.0008326	-0.2376	-0.2363	7.257801	0.01015
9	13.70330	0.0008450	-0.2407	-0.2394	7.249949	0.01023
10	13.75096	0.0008480	-0.2437	-0.2424	7.242302	0.01026
11	13.79962	0.0008450	-0.2438	-0.2424	7.234512	0.01026
12	13.84392	0.0008419	-0.2468	-0.2454	7.227430	0.01026
13	13.88580	0.0008234	-0.2407	-0.2394	7.220753	0.01019
14	13.92510	0.0008203	-0.2377	-0.2364	7.214492	0.01019
15	13.95939	0.0008049	-0.2407	-0.2393	7.209039	0.01012
16	13.98766	0.0007956	-0.2437	-0.2424	7.204549	0.01009
17	14.00871	0.0007771	-0.2437	-0.2424	7.201212	0.01001
18	14.02477	0.0007710	-0.2376	-0.2363	7.198666	0.00999
19	14.03952	0.0007555	-0.2468	-0.2454	7.196330	0.00992
20	14.04965	0.0007617	-0.2406	-0.2393	7.194724	0.00995
21	14.04659	0.0007401	-0.2377	-0.2364	7.195214	0.00985
22	14.03783	0.0007340	-0.2407	-0.2393	7.196602	0.00982
23	14.02708	0.0007247	-0.2437	-0.2423	7.198309	0.00977
24	13.99872	0.0007340	-0.2346	-0.2333	7.202807	0.00981
25	13.96532	0.0007154	-0.2376	-0.2363	7.208116	0.00971
26	13.93164	0.0007093	-0.2406	-0.2393	7.213473	0.00967
27	13.90236	0.0007062	-0.2406	-0.2393	7.218137	0.00964
28	13.87727	0.0006969	-0.2406	-0.2393	7.222139	0.00959
29	13.85512	0.0006939	-0.2406	-0.2393	7.225674	0.00957
30	13.84299	0.0006908	-0.2407	-0.2393	7.227611	0.00955
31	13.83099	0.0006846	-0.2406	-0.2393	7.229529	0.00952
32	13.82813	0.0006908	-0.2406	-0.2392	7.229985	0.00954
33	13.81732	0.0006815	-0.2406	-0.2392	7.231715	0.00950
34	13.79626	0.0006784	-0.2406	-0.2392	7.235083	0.00947
35	13.78813	0.0006815	-0.2405	-0.2392	7.236384	0.00949
36	13.78651	0.0006784	-0.2406	-0.2393	7.236643	0.00947
37	13.78267	0.0006969	-0.2466	-0.2453	7.237256	0.00956
38	13.77751	0.0007247	-0.2375	-0.2362	7.238075	0.00968
39	13.77714	0.0007401	-0.2466	-0.2453	7.238131	0.00976
40	13.79372	0.0007710	-0.2436	-0.2422	7.235471	0.00991
41	13.81608	0.0007740	-0.2405	-0.2392	7.231894	0.00993
42	13.84890	0.0007956	-0.2406	-0.2392	7.226646	0.01004
43	13.86955	0.0007771	-0.2405	-0.2392	7.223353	0.00996
44	13.85537	0.0007895	-0.2345	-0.2332	7.225615	0.01002
45	13.83087	0.0007771	-0.2435	-0.2422	7.229530	0.00995
46	13.81552	0.0007802	-0.2375	-0.2362	7.231982	0.00996
47	13.78881	0.3475261	-0.1979	-0.1968	7.131458	2.37122
48	13.38365	0.6903539	-0.1643	-0.1634	7.080109	4.98152
49	12.93221	1.5625493	-0.1339	-0.1332	6.838962	12.16251
50	12.62733	1.5716118	-0.1248	-0.1241	6.877354	12.33779
51	12.44305	1.5807578	-0.1157	-0.1150	6.899360	12.47643
52	12.32016	1.5982443	-0.1096	-0.1090	6.909855	12.66758
53	12.23471	1.5999887	-0.1005	-0.0999	6.921028	12.71141
54	12.19030	1.5916125	-0.1127	-0.1120	6.930317	12.65409
55	12.16221	1.5870897	-0.1156	-0.1150	6.935914	12.62447
56	12.13261	1.5924249	-0.1065	-0.1059	6.938034	12.68055
57	12.10296	2.2559132	-0.0943	-0.0938	6.692388	18.54921
58	12.06914	3.2107659	-0.0608	-0.0605	6.337859	27.36818
59	12.02268	3.2458421	-0.0425	-0.0423	6.329714	27.73347
60	11.98119	3.2568446	-0.0183	-0.0182	6.330022	27.86841
61	11.97470	3.2710157	0.0487	0.0484	6.325399	28.00746
62	11.98054	3.2895344	0.1583	0.1574	6.317833	28.17854
63	11.97186	3.2985855	0.2405	0.2392	6.315360	28.27091
64	11.95297	3.3051960	0.3135	0.3118	6.314882	28.34795
65	11.93833	3.3127697	0.3805	0.3784	6.313587	28.43099
66	11.92595	3.3179214	0.4627	0.4601	6.312963	28.48938
67	11.91557	3.3254621	0.5600	0.5570	6.311226	28.56899
68	11.91150	3.3294845	0.6696	0.6659	6.310144	28.61034
69	11.91097	3.2920565	0.7488	0.7447	6.324281	28.25486
70	11.91439	3.3103940	0.8340	0.8294	6.317021	28.42649
71	11.94813	3.3134884	0.8461	0.8415	6.312288	28.43019
72	12.04522	3.3152779	0.8430	0.8384	6.301366	28.37334
73	12.11553	3.3166140	0.8280	0.8234	6.293460	28.33269
74	12.15117	3.3198872	0.8279	0.8233	6.288493	28.33665
75	12.13587	3.3266089	0.8248	0.8203	6.287603	28.41180
76	12.09075	3.3350739	0.8279	0.8233	6.289189	28.52624
77	12.05262	3.3404226	0.8340	0.8294	6.291197	28.60606
78	12.02540	3.3436613	0.8432	0.8386	6.292844	28.65763
79	12.00264	3.3459709	0.8492	0.8446	6.294370	28.69704
80	11.98161	3.3501232	0.8645	0.8598	6.295023	28.75267
81	11.96513	3.3536568	0.8706	0.8659	6.295428	28.79897
82	11.95433	3.3561400	0.8554	0.8507	6.295630	28.83094
83	11.94648	3.3545944	0.8311	0.8265	6.297033	28.82230
84	11.93639	3.3564506	0.8158	0.8113	6.297395	28.84777
85	11.92612	3.3575215	0.8098	0.8053	6.298070	28.86591
86	11.92082	3.3579080	0.8219	0.8174	6.298482	28.87370
87	11.92111	3.3598536	0.8371	0.8325	6.297720	28.89200
88	11.92435	3.3623321	0.8432	0.8386	6.296449	28.91309
89	11.93255	3.3649127	0.8494	0.8447	6.294620	28.93131
90	11.94435	3.3677097	0.8584	0.8537	6.292335	28.94880
91	11.94902	3.3628771	0.8524	0.8478	6.293660	28.89917
92	11.94335	3.3620403	0.8494	0.8447	6.294567	28.89559
93	11.93379	3.3643356	0.8373	0.8327	6.294707	28.92486
94	11.92565	3.3650650	0.8311	0.8265	6.295286	28.93812
95	11.91887	3.3639426	0.8220	0.8175	6.296418	28.93270
96	11.91362	3.3631374	0.8251	0.8206	6.297271	28.92909
97	11.91073	3.3631374	0.8281	0.8236	6.297574	28.93133
98	11.91138	3.3644627	0.8495	0.8448	6.297008	28.94345
99	11.91686	3.3662067	0.8616	0.8569	6.295779	28.95581
100	11.92978	3.3686298	0.8647	0.8600	6.293515	28.96887
101	11.94388	3.3703174	0.8556	0.8509	6.291406	28.97400
102	11.94483	3.3661747	0.8494	0.8448	6.292861	28.93382
103	11.93692	3.3662382	0.8404	0.8358	6.293665	28.94056
104	11.92783	3.3665110	0.8343	0.8297	6.294514	28.95021
105	11.92070	3.3655597	0.8251	0.8206	6.295619	28.94668
106	11.91515	3.3652680	0.8312	0.8267	6.296310	28.94820
107	11.91415	3.3664224	0.8434	0.8388	6.295981	28.95998
108	11.91881	3.3680526	0.8496	0.8449	6.294881	28.97189
109	11.93420	3.3689216	0.8556	0.8509	6.292942	28.96822
110	11.95203	3.3718912	0.8526	0.8479	6.289963	28.98266
111	11.95628	3.3734589	0.8495	0.8449	6.288931	28.99429
112	11.95061	3.3701523	0.8434	0.8388	6.290763	28.96721
113	11.94075	3.3687248	0.8375	0.8329	6.292330	28.96126
114	11.93190	3.3677606	0.8252	0.8207	6.293619	28.95895
115	11.92500	3.3669170	0.8253	0.8208	6.294658	28.95627
116	11.91987	3.3666316	0.8314	0.8268	6.295303	28.95754
117	11.91769	3.3677925	0.8375	0.8329	6.295096	28.97029
118	11.92135	3.3694420	0.8527	0.8480	6.294093	28.98316
119	11.93420	3.3716121	0.8558	0.8511	6.291932	28.99385
120	11.94843	3.3736177	0.8557	0.8510	6.289692	29.00190
121	11.95846	3.3755667	0.8497	0.8450	6.287912	29.01266
122	11.96525	3.3770906	0.8437	0.8390	6.286632	29.02190
123	11.96714	3.3743539	0.8436	0.8390	6.287460	28.99437
124	11.96182	3.3734589	0.8496	0.8450	6.288351	28.98998
125	11.95610	3.3775798	0.8496	0.8450	6.287404	29.03367
126	11.95757	3.3785134	0.8558	0.8511	6.286900	29.04141
127	11.95899	3.3780306	0.8315	0.8269	6.286933	29.03572
