Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	13.06048	0.0056858	-0.0191	-0.0190	7.353245	0.03704
2	13.05792	0.0056734	-0.0253	-0.0251	7.353669	0.03697
3	13.05513	0.0057816	-0.0222	-0.0221	7.354101	0.03760
4	13.05215	0.0060443	-0.0162	-0.0161	7.354521	0.03915
5	13.04923	0.0060845	-0.0191	-0.0190	7.354991	0.03939
6	13.04600	0.0060753	-0.0252	-0.0251	7.355524	0.03933
7	13.03475	0.0060753	-0.0222	-0.0220	7.357377	0.03934
8	13.02521	0.0060598	-0.0222	-0.0221	7.358954	0.03925
9	13.02229	0.0060660	-0.0221	-0.0220	7.359433	0.03929
10	13.02029	0.0060413	-0.0222	-0.0221	7.359771	0.03915
11	13.01798	0.0060196	-0.0283	-0.0281	7.360157	0.03902
12	13.01281	0.0059949	-0.0222	-0.0220	7.361015	0.03888
13	13.00692	0.0059732	-0.0252	-0.0251	7.361993	0.03875
14	13.00151	0.0059516	-0.0222	-0.0221	7.362891	0.03863
15	12.99927	0.0059331	-0.0222	-0.0220	7.363267	0.03852
16	12.99720	0.0058960	-0.0283	-0.0282	7.363617	0.03830
17	12.99586	0.0058712	-0.0222	-0.0221	7.363845	0.03816
18	12.99501	0.0058465	-0.0222	-0.0220	7.363992	0.03801
19	12.99350	0.0058156	-0.0313	-0.0311	7.364250	0.03783
20	12.99265	0.0057816	-0.0222	-0.0221	7.364400	0.03763
21	12.99167	0.0057723	-0.0283	-0.0281	7.364563	0.03758
22	12.99009	0.0057445	-0.0252	-0.0251	7.364831	0.03742
23	12.98748	0.0057260	-0.0190	-0.0189	7.365267	0.03731
24	12.98390	0.0057012	-0.0222	-0.0220	7.365865	0.03717
25	12.97328	0.0056703	-0.0190	-0.0189	7.367627	0.03699
26	12.94701	0.0056394	-0.0221	-0.0220	7.371977	0.03682
27	12.92039	0.0056147	-0.0222	-0.0220	7.376386	0.03669
28	12.90427	0.0055931	-0.0251	-0.0250	7.379061	0.03657
29	12.88399	0.0055745	-0.0221	-0.0220	7.382427	0.03647
30	12.86310	0.0055591	-0.0190	-0.0189	7.385894	0.03639
31	12.84635	0.0055560	-0.0129	-0.0128	7.388675	0.03638
32	12.84199	0.0055683	-0.0251	-0.0250	7.389395	0.03645
33	12.83510	0.0055931	-0.0251	-0.0250	7.390533	0.03660
34	12.82688	0.0056394	-0.0190	-0.0189	7.391886	0.03688
35	12.82397	0.0056858	-0.0190	-0.0189	7.392355	0.03715
36	12.82162	0.0057538	-0.0251	-0.0250	7.392729	0.03756
37	12.81660	0.0058465	-0.0189	-0.0188	7.393537	0.03811
38	12.80403	0.0059331	-0.0190	-0.0189	7.395602	0.03863
39	12.79582	0.0059887	-0.0190	-0.0189	7.396953	0.03896
40	12.77825	0.0060505	-0.0250	-0.0248	7.399860	0.03934
41	12.74415	0.0061556	-0.0190	-0.0189	7.405509	0.03998
42	12.71190	0.0063164	-0.0159	-0.0158	7.410844	0.04096
43	12.69461	0.0063999	-0.0189	-0.0188	7.413707	0.04146
44	12.69461	0.0067215	-0.0189	-0.0188	7.413618	0.04338
45	12.69744	0.0068730	-0.0219	-0.0218	7.413103	0.04429
46	12.68124	0.0069039	-0.0189	-0.0188	7.415800	0.04449
47	12.64135	0.0069008	-0.0158	-0.0157	7.422472	0.04450
48	12.58798	0.0069194	-0.0188	-0.0187	7.431405	0.04465
49	12.54135	0.0069534	-0.0219	-0.0218	7.439222	0.04488
50	12.50562	0.0069720	-0.0158	-0.0157	7.445223	0.04502
51	12.47627	0.0070307	-0.0249	-0.0248	7.450147	0.04540
52	12.46681	0.0070616	-0.0219	-0.0218	7.451732	0.04559
53	12.46172	0.0070245	-0.0218	-0.0217	7.452599	0.04537
54	12.45651	0.0069812	-0.0219	-0.0217	7.453489	0.04511
55	12.44431	0.0069101	-0.0158	-0.0157	7.455566	0.04469
56	12.44102	0.0068328	-0.0188	-0.0187	7.456143	0.04423
57	12.44108	0.0067648	-0.0157	-0.0156	7.456152	0.04382
58	12.43887	0.0067060	-0.0218	-0.0217	7.456542	0.04347
59	12.40945	0.0067586	-0.0218	-0.0217	7.461491	0.04380
60	12.36221	0.0067122	-0.0187	-0.0186	7.469489	0.04356
61	12.31932	0.0066751	-0.0217	-0.0216	7.476762	0.04336
62	12.28899	0.0066503	-0.0157	-0.0156	7.481913	0.04323
63	12.27583	0.0066009	-0.0218	-0.0217	7.484161	0.04294
64	12.26350	0.0065947	-0.0156	-0.0155	7.486255	0.04291
65	12.23697	0.0068173	-0.0188	-0.0187	7.490702	0.04428
66	12.19999	0.0072782	-0.0248	-0.0246	7.496863	0.04711
67	12.17860	0.0076463	-0.0186	-0.0185	7.500400	0.04937
68	12.17480	0.0082527	-0.0157	-0.0156	7.500874	0.05309
69	12.15931	0.0086241	-0.0187	-0.0186	7.503408	0.05539
70	12.13433	0.0090513	-0.0217	-0.0215	7.507547	0.05805
71	12.13302	0.0094135	-0.0156	-0.0155	7.507664	0.06029
72	12.13231	0.0092989	-0.0155	-0.0154	7.507819	0.05958
73	12.12638	0.0089646	-0.0216	-0.0215	7.508929	0.05752
74	12.12863	0.0086922	-0.0217	-0.0215	7.508623	0.05584
75	12.12922	0.0085251	-0.0155	-0.0154	7.508570	0.05481
76	12.10883	0.0084879	-0.0186	-0.0185	7.512064	0.05460
77	12.08921	0.0085715	-0.0125	-0.0124	7.515393	0.05514
78	12.07760	0.0087139	-0.0246	-0.0245	7.517337	0.05603
79	12.06843	0.0089305	-0.0216	-0.0215	7.518845	0.05738
80	12.07298	0.0090729	-0.0216	-0.0215	7.518023	0.05825
81	12.07796	0.0091627	-0.0154	-0.0153	7.517146	0.05880
82	12.09158	0.0091999	-0.0215	-0.0214	7.514805	0.05902
83	12.10871	0.0092246	-0.0154	-0.0153	7.511871	0.05915
84	12.11837	0.0093237	-0.0123	-0.0123	7.510191	0.05975
85	12.12857	0.0094878	-0.0184	-0.0183	7.508402	0.06076
86	12.13338	0.0095869	-0.0002	-0.0002	7.507553	0.06136
87	11.97765	1.6321307	0.0941	0.0936	6.944629	13.07823
88	11.10476	2.4247518	0.2221	0.2208	6.752995	20.62046
89	10.33976	2.4595241	0.3802	0.3781	6.836223	21.38636
90	9.83533	2.4724509	0.5599	0.5568	6.895879	21.81067
91	9.49756	2.4769854	0.7150	0.7111	6.937964	22.06028
92	9.28552	2.4813463	0.8490	0.8443	6.963903	22.23386
93	9.15903	2.4921834	0.9555	0.9502	6.975812	22.41950
94	9.08141	2.5058095	1.0438	1.0381	6.980036	22.60307
95	9.02934	2.5124733	1.1047	1.0986	6.983951	22.70213
96	9.00132	2.4902396	1.1169	1.1107	6.997511	22.49945
97	9.01934	2.4931715	1.1260	1.1198	6.993825	22.51713
98	9.08956	2.4979716	1.1169	1.1107	6.982424	22.52034
99	9.14620	2.5038317	1.1199	1.1137	6.972377	22.54254
100	9.18421	2.5063599	1.1200	1.1138	6.966269	22.54353
101	9.20462	2.5092020	1.1200	1.1138	6.962340	22.55870
102	9.21044	2.5123410	1.1169	1.1107	6.960199	22.58600
103	9.21687	2.5154018	1.1291	1.1229	6.958015	22.61213
104	9.21802	2.5168132	1.1413	1.1351	6.957245	22.62532
105	9.20133	2.5202178	1.1595	1.1532	6.957939	22.66949
106	9.16067	2.5254761	1.1778	1.1713	6.960955	22.74725
107	9.11546	2.5298202	1.1870	1.1804	6.964967	22.81906
108	9.09339	2.5326435	1.1840	1.1774	6.966615	22.86114
109	9.07878	2.5348287	1.1779	1.1714	6.967566	22.89216
110	9.05597	2.5399778	1.1688	1.1624	6.968280	22.95789
111	9.02727	2.5455192	1.1475	1.1412	6.969589	23.03141
112	9.00170	2.5489949	1.1353	1.1291	6.971398	23.08249
113	8.98701	2.5517857	1.1292	1.1230	6.972085	23.11977
114	8.98215	2.5530900	1.1323	1.1261	6.972142	23.13590
115	8.98090	2.5542400	1.1475	1.1412	6.971797	23.14815
116	8.97931	2.5562601	1.1659	1.1594	6.971108	23.16927
117	8.98095	2.5551155	1.1721	1.1656	6.971401	23.15682
118	8.99695	2.5503501	1.1720	1.1656	6.971420	23.09903
119	9.00809	2.5521517	1.1538	1.1474	6.969162	23.10973
120	9.00252	2.5625528	1.1324	1.1262	6.965280	23.21680
121	8.99116	2.5596949	1.1264	1.1202	6.968032	23.19576
122	8.97069	2.5567067	1.1385	1.1322	6.972038	23.17934
123	8.95716	2.5559684	1.1568	1.1504	6.974139	23.18078
124	8.95640	2.5585501	1.1690	1.1626	6.973092	23.20699
125	8.96272	2.5581779	1.1812	1.1747	6.972428	23.19915
126	8.98346	2.5517286	1.1903	1.1838	6.972576	23.12148
127	8.99203	2.5500871	1.1782	1.1717	6.972181	23.09960
128	8.98341	2.5579087	1.1721	1.1657	6.969840	23.18301
129	8.97664	2.5646385	1.1629	1.1565	6.967738	23.25442
130	8.96856	2.5638593	1.1446	1.1383	6.969140	23.25194
131	8.95481	2.5622610	1.1325	1.1262	6.971649	23.24499
132	8.94581	2.5609494	1.1204	1.1142	6.973410	23.23780
133	8.94532	2.5603653	1.1113	1.1052	6.973734	23.23231
134	8.94816	2.5599759	1.1204	1.1143	6.973536	23.22657
135	8.94871	2.5606058	1.1418	1.1355	6.973184	23.23249
136	8.94669	2.5625017	1.1691	1.1627	6.972606	23.25268
137	8.94543	2.5641631	1.1814	1.1749	6.972032	23.27006
138	8.94860	2.5634641	1.1843	1.1778	6.971929	23.26102
139	8.96856	2.5575138	1.1844	1.1779	6.971959	23.18874
140	8.98379	2.5549782	1.1783	1.1719	6.971091	23.15360
141	8.98810	2.5606341	1.1570	1.1506	6.968016	23.20709
142	9.00421	2.5683007	1.1418	1.1355	6.962511	23.27288
143	9.00825	2.5679567	1.1358	1.1296	6.962136	23.26682
144	9.00012	2.5695622	1.1357	1.1294	6.962487	23.28811
145	8.99296	2.5716956	1.1266	1.1204	6.962474	23.31403
146	8.98859	2.5732330	1.1358	1.1295	6.962362	23.33219
