Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	16.58227	0.0003270	-0.0989	-0.0984	6.812434	0.00912
2	16.58112	0.0003239	-0.1051	-0.1045	6.812599	0.00911
3	16.58045	0.0003239	-0.1021	-0.1016	6.812695	0.00911
4	16.57924	0.0003300	-0.1021	-0.1015	6.812869	0.00913
5	16.57850	0.0003239	-0.1051	-0.1045	6.812976	0.00911
6	16.57756	0.0003146	-0.1021	-0.1016	6.813113	0.00908
7	16.57709	0.0003177	-0.1051	-0.1045	6.813180	0.00909
8	16.57615	0.0003239	-0.1050	-0.1044	6.813314	0.00911
9	16.57433	0.0003146	-0.1020	-0.1015	6.813577	0.00908
10	16.57319	0.0003239	-0.1051	-0.1045	6.813740	0.00911
11	16.57151	0.0003300	-0.1021	-0.1016	6.813981	0.00913
12	16.56983	0.0003177	-0.1081	-0.1075	6.814225	0.00909
13	16.56808	0.0003177	-0.1052	-0.1046	6.814476	0.00909
14	16.56512	0.0003239	-0.0990	-0.0985	6.814901	0.00910
15	16.56331	0.0003239	-0.1021	-0.1015	6.815162	0.00910
16	16.56210	0.0003239	-0.0990	-0.0985	6.815336	0.00910
17	16.56049	0.0003177	-0.0990	-0.0984	6.815569	0.00908
18	16.55955	0.0003177	-0.0990	-0.0985	6.815705	0.00908
19	16.55827	0.0003239	-0.1051	-0.1045	6.815888	0.00910
20	16.55713	0.0003177	-0.0991	-0.0986	6.816053	0.00908
21	16.55565	0.0003239	-0.1021	-0.1016	6.816265	0.00910
22	16.55370	0.0003177	-0.1021	-0.1015	6.816546	0.00908
23	16.55007	0.0003177	-0.1021	-0.1015	6.817069	0.00908
24	16.54651	0.0003239	-0.1082	-0.1076	6.817581	0.00910
25	16.54342	0.0003177	-0.0960	-0.0955	6.818027	0.00908
26	16.54127	0.0003177	-0.1051	-0.1045	6.818336	0.00907
27	16.53832	0.0003239	-0.1051	-0.1045	6.818761	0.00909
28	16.53496	0.0003177	-0.1021	-0.1015	6.819246	0.00907
29	16.53180	0.0003146	-0.1052	-0.1046	6.819701	0.00906
30	16.53060	0.0003177	-0.1021	-0.1016	6.819875	0.00907
31	16.52818	0.0003177	-0.0991	-0.0985	6.820223	0.00907
32	16.52630	0.0003146	-0.0991	-0.0985	6.820495	0.00906
33	16.52516	0.0003177	-0.0990	-0.0985	6.820659	0.00907
34	16.52321	0.0003146	-0.1052	-0.1046	6.820940	0.00906
35	16.52120	0.0003177	-0.0961	-0.0955	6.821230	0.00907
36	16.51912	0.0003239	-0.0990	-0.0985	6.821529	0.00909
37	16.51811	0.0003239	-0.0990	-0.0985	6.821674	0.00909
38	16.51710	0.0003177	-0.0991	-0.0985	6.821820	0.00906
39	16.51589	0.0003146	-0.0990	-0.0984	6.821995	0.00905
40	16.51489	0.0003239	-0.1021	-0.1015	6.822139	0.00908
41	16.51381	0.0003085	-0.0991	-0.0985	6.822296	0.00903
42	16.51267	0.0003239	-0.0991	-0.0985	6.822458	0.00908
43	16.50999	0.0003177	-0.0990	-0.0985	6.822846	0.00906
44	16.50704	0.0003239	-0.0991	-0.0986	6.823271	0.00908
45	16.50408	0.0003239	-0.0960	-0.0954	6.823697	0.00908
46	16.50153	0.0003177	-0.0991	-0.0986	6.824066	0.00906
47	16.49899	0.0003146	-0.0990	-0.0985	6.824434	0.00905
48	16.49744	0.0003239	-0.0991	-0.0985	6.824655	0.00908
49	16.49610	0.0003146	-0.0990	-0.0984	6.824850	0.00905
50	16.49476	0.0003177	-0.1021	-0.1015	6.825043	0.00906
51	16.49342	0.0003177	-0.1051	-0.1045	6.825237	0.00905
52	16.49214	0.0003239	-0.1021	-0.1015	6.825420	0.00908
53	16.49080	0.0003177	-0.1020	-0.1015	6.825614	0.00905
54	16.48946	0.0003177	-0.0990	-0.0984	6.825808	0.00905
55	16.48852	0.0003146	-0.1020	-0.1015	6.825944	0.00904
