Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	9.57479	0.0121741	-0.0073	-0.0072	7.966697	0.08198
2	9.57441	0.0121679	-0.0132	-0.0131	7.966772	0.08194
3	9.57374	0.0121276	-0.0071	-0.0071	7.966912	0.08167
4	9.57208	0.0132502	-0.0072	-0.0072	7.966842	0.08926
5	9.57075	0.0158853	-0.0132	-0.0131	7.966185	0.10717
6	9.56560	0.0174605	-0.0165	-0.0164	7.966613	0.11795
7	9.55524	0.0185330	-0.0073	-0.0073	7.968201	0.12535
8	9.54449	0.0192825	-0.0074	-0.0073	7.969973	0.13054
9	9.52910	0.0201910	-0.0133	-0.0132	7.972571	0.13685
10	9.51819	0.0212213	-0.0104	-0.0103	7.974275	0.14402
11	9.50951	0.0222864	-0.0073	-0.0072	7.975547	0.15143
12	9.49877	0.0230715	-0.0043	-0.0043	7.977304	0.15693
13	9.48804	0.0233489	-0.0073	-0.0072	7.979242	0.15890
14	9.47516	0.0234361	-0.0012	-0.0012	7.981656	0.15956
15	9.46085	0.0232118	-0.0104	-0.0103	7.984453	0.15806
16	9.44875	0.0227942	-0.0044	-0.0044	7.986900	0.15520
17	9.44322	0.0225325	-0.0163	-0.0162	7.988043	0.15340
18	9.44223	0.0224515	-0.0044	-0.0044	7.988261	0.15284
19	9.44322	0.0222054	-0.0073	-0.0073	7.988159	0.15113
20	9.44422	0.0219967	-0.0074	-0.0074	7.988044	0.14967
21	9.44366	0.0217196	-0.0104	-0.0103	7.988247	0.14775
22	9.44427	0.0218815	-0.0042	-0.0042	7.988074	0.14887
23	9.44676	0.0232024	-0.0074	-0.0073	7.987134	0.15805
24	9.44886	0.0231837	-0.0103	-0.0102	7.986741	0.15791
25	9.44941	0.0228628	-0.0043	-0.0043	7.986750	0.15567
26	9.44924	0.0239504	-0.0074	-0.0073	7.986396	0.16325
27	9.45051	0.0243495	-0.0103	-0.0102	7.986012	0.16603
28	9.45223	0.0239847	-0.0043	-0.0043	7.985817	0.16348
29	9.45400	0.0241126	-0.0103	-0.0102	7.985435	0.16436
30	9.45648	0.0239910	-0.0071	-0.0071	7.985006	0.16350
31	9.45941	0.0240003	-0.0073	-0.0072	7.984446	0.16356
32	9.46018	0.0239910	-0.0073	-0.0073	7.984303	0.16349
33	9.44908	0.0239286	-0.0104	-0.0103	7.986435	0.16310
34	9.42798	0.0242123	-0.0041	-0.0041	7.990345	0.16517
35	9.40590	0.0240284	-0.0041	-0.0041	7.994611	0.16398
36	9.38720	0.0236668	-0.0074	-0.0073	7.998302	0.16153
37	9.37942	0.0233956	-0.0041	-0.0041	7.999880	0.15967
38	9.38042	0.0231525	-0.0040	-0.0040	7.999777	0.15797
39	9.38400	0.0230186	-0.0073	-0.0073	7.999142	0.15702
40	9.38775	0.0227537	-0.0103	-0.0102	7.998522	0.15516
41	9.38659	0.0225263	-0.0042	-0.0042	7.998823	0.15358
42	9.37827	0.0224359	-0.0042	-0.0042	8.000442	0.15298
43	9.36972	0.0225886	-0.0012	-0.0012	8.002017	0.15408
44	9.36972	0.0228098	-0.0042	-0.0042	8.001939	0.15562
45	9.36393	0.0234143	-0.0043	-0.0043	8.002827	0.15987
46	9.34679	0.0241624	0.0018	0.0018	8.005829	0.16517
47	9.33148	0.0248921	-0.0011	-0.0011	8.008491	0.17034
48	9.32448	0.0255690	-0.0012	-0.0012	8.009584	0.17512
49	9.31810	0.0260807	-0.0012	-0.0012	8.010620	0.17875
50	9.31138	0.0265270	0.0050	0.0050	8.011743	0.18192
51	9.30241	0.0268703	0.0019	0.0019	8.013334	0.18438
52	9.29811	0.0271575	-0.0072	-0.0072	8.014051	0.18642
53	9.30021	0.0270514	-0.0103	-0.0102	8.013689	0.18566
54	9.30252	0.0272606	-0.0011	-0.0011	8.013172	0.18712
55	9.30532	0.0276758	-0.0010	-0.0010	8.012486	0.19004
56	9.30510	0.0277758	-0.0072	-0.0072	8.012492	0.19074
57	9.30488	0.0274698	-0.0101	-0.0101	8.012644	0.18859
58	9.30824	0.0271107	-0.0073	-0.0072	8.012132	0.18604
59	9.31182	0.0269109	0.0020	0.0020	8.011521	0.18462
60	9.31633	0.0267330	-0.0101	-0.0101	8.010722	0.18334
61	9.32173	0.0265270	-0.0070	-0.0070	8.009766	0.18187
62	9.32746	0.0260058	-0.0071	-0.0070	8.008859	0.17818
63	9.33252	0.0265020	0.0021	0.0021	8.007714	0.18164
