Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	10.08449	0.0028010	0.1365	0.1357	7.874249	0.02049
2	10.08461	0.0028071	0.1364	0.1357	7.874226	0.02053
3	10.08517	0.0027979	0.1395	0.1387	7.874125	0.02047
4	10.08601	0.0027979	0.1394	0.1387	7.873968	0.02047
5	10.08657	0.0028288	0.1425	0.1417	7.873855	0.02066
6	10.08769	0.0028257	0.1364	0.1356	7.873647	0.02064
7	10.08747	0.0028071	0.1394	0.1387	7.873694	0.02053
8	10.08157	0.0028133	0.1394	0.1386	7.874787	0.02057
9	10.07730	0.0028257	0.1425	0.1417	7.875575	0.02064
10	10.07798	0.0028133	0.1394	0.1386	7.875454	0.02057
11	10.07871	0.0028164	0.1363	0.1356	7.875317	0.02059
12	10.07865	0.0028164	0.1395	0.1388	7.875328	0.02059
13	10.07871	0.0028133	0.1454	0.1446	7.875318	0.02057
14	10.07882	0.0028257	0.1455	0.1447	7.875294	0.02064
15	10.08000	0.0028226	0.1484	0.1476	7.875076	0.02062
16	10.08157	0.0028071	0.1393	0.1385	7.874789	0.02053
17	10.08365	0.0028349	0.1423	0.1416	7.874395	0.02070
18	10.08612	0.0028936	0.1455	0.1447	7.873918	0.02106
19	10.08960	0.0029244	0.1454	0.1446	7.873262	0.02125
20	10.09140	0.0029553	0.1433	0.1425	7.872920	0.02144
21	10.09067	0.0030294	0.1394	0.1386	7.873032	0.02190
22	10.09129	0.0030850	0.1423	0.1415	7.872900	0.02224
23	10.09286	0.0031220	0.1424	0.1416	7.872597	0.02247
24	10.09297	0.0031560	0.1392	0.1384	7.872566	0.02268
25	10.09241	0.0032023	0.1393	0.1385	7.872656	0.02296
26	10.09297	0.0032362	0.1424	0.1416	7.872541	0.02317
27	10.09387	0.0032733	0.1393	0.1385	7.872363	0.02340
28	10.09460	0.0033165	0.1423	0.1415	7.872214	0.02367
29	10.09522	0.0033412	0.1454	0.1446	7.872092	0.02382
30	10.09640	0.0033844	0.1392	0.1385	7.871860	0.02409
31	10.09842	0.0034122	0.1425	0.1417	7.871476	0.02426
32	10.10067	0.0034400	0.1423	0.1416	7.871051	0.02444
33	10.10174	0.0034678	0.1454	0.1446	7.870844	0.02461
34	10.10078	0.0034863	0.1454	0.1446	7.871016	0.02472
35	10.09943	0.0035110	0.1422	0.1414	7.871258	0.02488
36	10.09960	0.0035388	0.1484	0.1476	7.871218	0.02505
37	10.09932	0.0035512	0.1454	0.1446	7.871266	0.02513
38	10.09865	0.0035728	0.1453	0.1445	7.871385	0.02526
39	10.09752	0.0035913	0.1453	0.1445	7.871587	0.02538
40	10.09696	0.0036067	0.1453	0.1445	7.871686	0.02548
41	10.09573	0.0036283	0.1423	0.1416	7.871909	0.02561
42	10.09415	0.0036283	0.1393	0.1385	7.872201	0.02561
43	10.08921	0.0036469	0.1453	0.1445	7.873112	0.02573
44	10.08230	0.0036469	0.1453	0.1445	7.874393	0.02573
45	10.07337	0.0036623	0.1485	0.1477	7.876045	0.02583
46	10.06187	0.0039588	0.1545	0.1536	7.878089	0.02768
47	9.79707	1.2875576	0.2091	0.2080	7.405823	10.73048
48	9.09728	1.5739256	0.2793	0.2777	7.390777	13.60226
49	8.57963	2.6221558	0.3706	0.3686	6.993841	24.09611
50	8.23334	2.6296080	0.4498	0.4473	7.035897	24.40970
51	7.99628	2.6486985	0.5412	0.5382	7.058318	24.77117
52	7.82429	2.6659322	0.6385	0.6350	7.072971	25.07129
53	7.70999	2.6706474	0.7269	0.7229	7.085884	25.20240
54	7.63598	2.6698922	0.8088	0.8044	7.096069	25.24807
55	7.58852	2.6709392	0.9125	0.9075	7.101883	25.29338
56	7.56180	2.6361332	0.9613	0.9560	7.122108	24.95036
57	7.55980	2.6575253	0.9794	0.9740	7.112130	25.17447
58	7.60454	2.6653473	0.9764	0.9711	7.102423	25.22351
59	7.66597	2.6693280	0.9795	0.9741	7.092357	25.22043
60	7.71099	2.6711475	0.9764	0.9710	7.085517	25.20677
61	7.74452	2.6672464	0.9672	0.9619	7.082921	25.14212
62	7.76972	2.6631964	0.9642	0.9589	7.081499	25.08204
63	7.78587	2.6620636	0.9764	0.9711	7.079894	25.05871
64	7.78344	2.6640386	0.9823	0.9770	7.079282	25.08090
65	7.76072	2.6674903	0.9764	0.9711	7.080659	25.13298
66	7.71527	2.6732586	0.9734	0.9680	7.083947	25.22558
67	7.66824	2.6811973	0.9674	0.9621	7.086407	25.34214
68	7.62949	2.6867023	0.9764	0.9711	7.088918	25.42762
69	7.60259	2.6910860	0.9702	0.9649	7.090390	25.49295
70	7.58625	2.6940429	0.9674	0.9621	7.091142	25.53575
71	7.57460	2.6947839	0.9672	0.9619	7.092331	25.55202
72	7.56375	2.6939848	0.9704	0.9650	7.094151	25.55165
73	7.55158	2.6956125	0.9643	0.9590	7.094984	25.57758
74	7.53979	2.6981685	0.9642	0.9589	7.095323	25.61294
75	7.53047	2.6999664	0.9674	0.9621	7.095696	25.63859
76	7.52363	2.7011575	0.9795	0.9742	7.096032	25.65607
77	7.51968	2.7012626	0.9733	0.9680	7.096504	25.66008
78	7.51674	2.7001942	0.9764	0.9710	7.097407	25.65109
79	7.51300	2.6989450	0.9733	0.9680	7.098502	25.64079
80	7.50795	2.6991027	0.9795	0.9741	7.099096	25.64617
81	7.50327	2.6999375	0.9825	0.9771	7.099316	25.65835
82	7.50022	2.7009708	0.9796	0.9742	7.099224	25.67140
83	7.49906	2.7017766	0.9764	0.9710	7.098991	25.68068
84	7.49917	2.7012102	0.9734	0.9680	7.099249	25.67469
85	7.49922	2.6996339	0.9764	0.9711	7.099999	25.65816
86	7.49854	2.6982739	0.9764	0.9711	7.100742	25.64445
87	7.49675	2.6983557	0.9795	0.9741	7.100940	25.64662
88	7.49517	2.6995289	0.9826	0.9772	7.100586	25.66005
89	7.49470	2.7008132	0.9704	0.9651	7.100032	25.67384
90	7.49501	2.7010760	0.9764	0.9710	7.099864	25.67635
91	7.49470	2.7001710	0.9764	0.9711	7.100340	25.66712
92	7.49354	2.6991203	0.9766	0.9712	7.100998	25.65699
93	7.49212	2.6990503	0.9674	0.9621	7.101220	25.65731
94	7.49054	2.6997449	0.9675	0.9622	7.101096	25.66574
95	7.48944	2.7006265	0.9704	0.9651	7.100819	25.67577
96	7.48944	2.7015315	0.9735	0.9681	7.100384	25.68523
97	7.49065	2.7017475	0.9766	0.9713	7.100120	25.68660
98	7.49138	2.7009417	0.9797	0.9743	7.100410	25.67763
99	7.49138	2.6995056	0.9704	0.9650	7.101099	25.66261
100	7.49017	2.6989511	0.9736	0.9682	7.101526	25.65770
101	7.48896	2.6996107	0.9673	0.9620	7.101370	25.66550
102	7.48865	2.7009184	0.9736	0.9682	7.100783	25.67940
103	7.48902	2.7019168	0.9734	0.9680	7.100255	25.68958
104	7.48981	2.7021971	0.9705	0.9651	7.100016	25.69192
105	7.49007	2.7023081	0.9796	0.9742	7.099928	25.69289
106	7.49033	2.7027928	0.9766	0.9713	7.099660	25.69776
107	7.49075	2.7026293	0.9766	0.9712	7.099683	25.69574
108	7.49065	2.7013796	0.9736	0.9683	7.100297	25.68275
109	7.48981	2.6999843	0.9765	0.9711	7.101079	25.66878
110	7.48823	2.6997158	0.9704	0.9651	7.101417	25.66714
111	7.48681	2.7005915	0.9737	0.9684	7.101184	25.67734
112	7.48649	2.7019052	0.9736	0.9682	7.100595	25.69132
113	7.48765	2.7035053	0.9675	0.9622	7.099673	25.70720
114	7.49033	2.7047494	0.9705	0.9652	7.098720	25.71823
115	7.49259	2.7041478	0.9705	0.9651	7.098709	25.71027
116	7.49317	2.7031607	0.9858	0.9804	7.099107	25.69951
117	7.49238	2.7030789	0.9736	0.9683	7.099251	25.69924
118	7.49180	2.7039375	0.9736	0.9682	7.098915	25.70865
119	7.49280	2.7052985	0.9829	0.9775	7.098129	25.72214
120	7.49470	2.7065313	0.9798	0.9744	7.097286	25.73364
121	7.49664	2.7071740	0.9796	0.9742	7.096720	25.73892
122	7.49801	2.7081908	0.9767	0.9713	7.096051	25.74854
123	7.50006	2.7094474	0.9767	0.9714	7.095176	25.76017
124	7.50358	2.7108153	0.9767	0.9713	7.094053	25.77186
125	7.50795	2.7121191	0.9797	0.9743	7.092850	25.78226
126	7.51284	2.7132535	0.9737	0.9684	7.091659	25.79050
127	7.51847	2.7140547	0.9766	0.9713	7.090530	25.79470
128	7.52505	2.7148092	0.9766	0.9713	7.089299	25.79771
