Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	12.91579	0.0019677	0.1229	0.1222	7.378105	0.01585
2	12.89507	0.0019801	0.1198	0.1192	7.381534	0.01591
3	12.88296	0.0019801	0.1198	0.1192	7.383542	0.01591
4	12.87624	0.0019893	0.1167	0.1161	7.384654	0.01596
5	12.86825	0.0019955	0.1167	0.1160	7.385977	0.01599
6	12.86353	0.0020048	0.1228	0.1221	7.386758	0.01604
7	12.85857	0.0019955	0.1228	0.1221	7.387584	0.01599
8	12.85397	0.0020048	0.1197	0.1191	7.388345	0.01604
9	12.84961	0.0020140	0.1227	0.1221	7.389065	0.01609
10	12.84266	0.0020140	0.1258	0.1251	7.390220	0.01609
11	12.83407	0.0020202	0.1259	0.1252	7.391645	0.01612
12	12.83141	0.0020140	0.1228	0.1221	7.392089	0.01609
13	12.83117	0.0020233	0.1228	0.1221	7.392127	0.01614
14	12.83141	0.0020387	0.1259	0.1252	7.392082	0.01622
15	12.83250	0.0020325	0.1259	0.1253	7.391903	0.01619
16	12.83347	0.0020294	0.1290	0.1283	7.391743	0.01617
17	12.83214	0.0020325	0.1259	0.1252	7.391963	0.01619
18	12.81455	0.0020325	0.1199	0.1192	7.394887	0.01619
19	12.77831	0.0020387	0.1289	0.1282	7.400915	0.01622
20	12.74771	0.0020418	0.1228	0.1221	7.406011	0.01623
21	12.72462	0.0020387	0.1229	0.1223	7.409863	0.01621
22	12.71172	0.0020418	0.1259	0.1252	7.412015	0.01623
23	12.69569	0.0020418	0.1290	0.1283	7.414691	0.01622
24	12.67323	0.0020449	0.1290	0.1283	7.418444	0.01624
25	12.65626	0.0020418	0.1290	0.1282	7.421283	0.01622
26	12.63178	0.0020449	0.1229	0.1222	7.425379	0.01623
27	12.60792	0.0020510	0.1259	0.1252	7.429376	0.01626
