Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	13.93233	0.0001266	0.0329	0.0327	7.213468	0.00733
2	13.93482	0.0001420	0.0268	0.0267	7.213069	0.00737
3	13.93027	0.0001574	0.0237	0.0235	7.213792	0.00742
4	13.93146	0.0001266	0.0299	0.0297	7.213607	0.00733
5	13.93694	0.0001204	0.0359	0.0357	7.212735	0.00732
6	13.94729	0.0001112	0.0360	0.0358	7.211089	0.00730
7	13.95796	0.0001081	0.0329	0.0327	7.209393	0.00730
8	13.96688	0.0001112	0.0329	0.0327	7.207974	0.00731
9	13.97019	0.0001173	0.0329	0.0327	7.207448	0.00733
10	13.97287	0.0001112	0.0298	0.0296	7.207022	0.00731
11	13.97718	0.0001204	0.0298	0.0297	7.206337	0.00734
12	13.98361	0.0001173	0.0298	0.0296	7.205316	0.00733
13	13.98535	0.0001112	0.0299	0.0297	7.205039	0.00732
14	13.98123	0.0001173	0.0329	0.0327	7.205693	0.00733
15	13.97555	0.0001112	0.0329	0.0327	7.206596	0.00731
16	13.96495	0.0001112	0.0299	0.0297	7.208282	0.00731
17	13.94960	0.0001173	0.0359	0.0357	7.210721	0.00732
18	13.93700	0.0001112	0.0299	0.0297	7.212726	0.00730
19	13.92896	0.0001173	0.0329	0.0327	7.214005	0.00731
20	13.91644	0.0001204	0.0359	0.0357	7.215999	0.00731
21	13.90161	0.0001204	0.0328	0.0327	7.218361	0.00730
22	13.88791	0.0001266	0.0360	0.0358	7.220544	0.00731
23	13.87086	0.0001112	0.0329	0.0327	7.223265	0.00726
24	13.85605	0.0001173	0.0360	0.0358	7.225628	0.00727
25	13.85120	0.0001204	0.0358	0.0357	7.226402	0.00728
26	13.85251	0.0001112	0.0329	0.0327	7.226194	0.00726
27	13.85045	0.0001266	0.0329	0.0327	7.226520	0.00729
28	13.84840	0.0001297	0.0299	0.0297	7.226848	0.00730
29	13.84996	0.0001204	0.0299	0.0297	7.226601	0.00728
30	13.84865	0.0001266	0.0298	0.0296	7.226808	0.00729
31	13.84560	0.0001297	0.0298	0.0296	7.227295	0.00730
32	13.84200	0.0001266	0.0268	0.0266	7.227871	0.00729
33	13.83827	0.0001297	0.0359	0.0357	7.228466	0.00729
34	13.82994	0.0001297	0.0329	0.0327	7.229797	0.00729
35	13.82229	0.0001327	0.0328	0.0326	7.231019	0.00729
36	13.81347	0.0001204	0.0298	0.0296	7.232431	0.00726
37	13.80533	0.0001327	0.0329	0.0327	7.233731	0.00729
38	13.79676	0.0001297	0.0328	0.0327	7.235102	0.00727
39	13.78416	0.0001389	0.0328	0.0327	7.237118	0.00729
40	13.77571	0.0001266	0.0268	0.0266	7.238471	0.00726
41	13.77311	0.0001297	0.0297	0.0296	7.238888	0.00726
42	13.77441	0.0001420	0.0359	0.0357	7.238678	0.00730
43	13.77460	0.0001297	0.0329	0.0328	7.238650	0.00726
44	13.77081	0.0001389	0.0420	0.0418	7.239255	0.00729
45	13.77205	0.0001327	0.0298	0.0297	7.239057	0.00727
46	13.78186	0.0001389	0.0299	0.0297	7.237486	0.00729
47	13.79577	0.0001327	0.0359	0.0357	7.235261	0.00728
48	13.81092	0.0001389	0.0299	0.0297	7.232836	0.00731
49	13.82422	0.0001389	0.0298	0.0297	7.230710	0.00731
50	13.83851	0.0001420	0.0329	0.0328	7.228425	0.00733
51	13.85251	0.0001389	0.0330	0.0328	7.226191	0.00733
52	13.85711	0.0001482	0.0330	0.0328	7.225455	0.00735
53	13.85649	0.0001420	0.0390	0.0388	7.225555	0.00734
54	13.85406	0.0001389	0.0390	0.0387	7.225943	0.00733
55	13.84678	0.0001482	0.0299	0.0297	7.227104	0.00735
56	13.84038	0.0001389	0.0329	0.0327	7.228128	0.00732
57	13.83553	0.0001389	0.0360	0.0358	7.228902	0.00732
58	13.82919	0.0001482	0.0389	0.0387	7.229914	0.00734
59	13.82297	0.0001482	0.0299	0.0297	7.230908	0.00734
60	13.81775	0.0001420	0.0359	0.0357	7.231743	0.00732
61	13.81136	0.0001482	0.0389	0.0387	7.232765	0.00733
62	13.80682	0.0001482	0.0360	0.0358	7.233490	0.00733
63	13.79750	0.0001574	0.0329	0.0327	7.234980	0.00735
64	13.78384	0.0001482	0.0391	0.0389	7.237167	0.00732
65	13.77776	0.0001420	0.0360	0.0358	7.238141	0.00730
66	13.77422	0.0001482	0.0328	0.0327	7.238707	0.00731
