Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	14.49446	0.0096457	0.0653	0.0649	7.122715	0.05904
2	14.47325	0.0097138	0.0623	0.0620	7.125999	0.05945
3	14.44225	0.0097757	0.0562	0.0559	7.130813	0.05985
4	14.41387	0.0097912	0.0623	0.0620	7.135237	0.05997
5	14.37232	0.0097633	0.0592	0.0589	7.141735	0.05985
6	14.29585	0.0098191	0.0592	0.0589	7.153693	0.06026
7	14.20245	0.0104045	0.0653	0.0650	7.168212	0.06380
8	14.11525	0.0110799	0.0592	0.0589	7.181780	0.06789
9	14.03852	0.0112689	0.0561	0.0558	7.193862	0.06911
10	13.96276	0.0113154	0.0591	0.0588	7.205864	0.06949
11	13.88617	0.0115819	0.0593	0.0590	7.217975	0.07118
12	13.81962	0.0128220	0.0593	0.0589	7.228257	0.07870
13	13.76467	0.0142522	0.0593	0.0589	7.236655	0.08741
14	13.71736	0.0160156	0.0623	0.0620	7.243752	0.09820
15	13.68027	0.0172676	0.0531	0.0528	7.249359	0.10592
16	13.63220	0.0191205	0.0562	0.0559	7.256568	0.11740
17	13.56267	0.0204304	0.0562	0.0559	7.267397	0.12567
18	13.48908	0.0200290	0.0653	0.0649	7.279386	0.12340
19	13.42339	0.0195809	0.0592	0.0589	7.290143	0.12081
20	13.36401	0.0192823	0.0624	0.0620	7.299861	0.11913
21	13.30473	0.0188406	0.0593	0.0589	7.309626	0.11655
22	13.25099	0.0188842	0.0592	0.0589	7.318373	0.11696
23	13.20918	0.0186603	0.0593	0.0589	7.325263	0.11568
24	13.17748	0.0225478	0.0653	0.0649	7.329341	0.14006
25	13.14582	0.0229466	0.0592	0.0589	7.334410	0.14267
26	13.10979	0.0225322	0.0623	0.0620	7.340433	0.14019
27	13.07807	0.0216446	0.0562	0.0559	7.345894	0.13471
28	13.06833	0.0205736	0.0593	0.0590	7.347800	0.12802
29	13.07149	0.0194534	0.0622	0.0618	7.347600	0.12100
30	13.08811	0.0186012	0.0623	0.0620	7.345113	0.11563
31	13.11193	0.0178395	0.0654	0.0650	7.341420	0.11083
32	13.13137	0.0171060	0.0562	0.0559	7.338439	0.10623
33	13.15076	0.0166027	0.0593	0.0590	7.335403	0.10306
34	13.16491	0.0162796	0.0624	0.0620	7.333176	0.10103
35	13.15387	0.0160404	0.0683	0.0680	7.335052	0.09958
36	13.13527	0.0157951	0.0624	0.0620	7.338169	0.09811
37	13.11473	0.0157205	0.0623	0.0619	7.341559	0.09769
38	13.12253	0.0154162	0.0623	0.0619	7.340365	0.09579
39	13.15643	0.0154504	0.0562	0.0559	7.334798	0.09593
40	13.19036	0.0151865	0.0654	0.0650	7.329316	0.09424
41	13.20294	0.0150313	0.0654	0.0651	7.327302	0.09325
42	13.16583	0.0151306	0.0624	0.0620	7.333349	0.09394
43	13.13051	0.0150219	0.0593	0.0590	7.339166	0.09335
44	13.12369	0.0148512	0.0654	0.0651	7.340334	0.09231
45	13.13094	0.0148357	0.0593	0.0590	7.339149	0.09220
46	12.78785	0.0372805	0.1020	0.1014	7.389211	0.23605
47	11.49169	0.8217414	0.1568	0.1559	7.325092	6.31349
48	10.31511	2.3835809	0.2358	0.2345	6.870798	20.67762
49	9.47942	2.7603219	0.3545	0.3526	6.818022	24.86054
50	8.93033	2.7730377	0.4794	0.4768	6.881184	25.37332
51	8.53734	2.7859803	0.5950	0.5918	6.925056	25.78781
52	8.26726	2.7910452	0.6619	0.6583	6.957120	26.03800
53	8.10719	2.7984426	0.6955	0.6917	6.974167	26.23319
54	7.98196	2.8129077	0.7108	0.7068	6.983471	26.47695
55	7.91755	2.8202840	0.6925	0.6887	6.988270	26.60235
56	7.89906	2.8284983	0.6348	0.6313	6.986787	26.70185
57	7.86981	2.8401999	0.5981	0.5948	6.985039	26.84605
58	7.84444	2.8347662	0.6073	0.6040	6.990833	26.80891
59	7.82472	2.8360027	0.6622	0.6585	6.992777	26.83692
60	7.84259	2.8448584	0.6865	0.6828	6.986329	26.91549
61	7.88712	2.8440963	0.6652	0.6615	6.981003	26.87330
62	8.07223	2.8498328	0.5892	0.5859	6.954782	26.79110
63	8.28849	2.8503072	0.5099	0.5071	6.927212	26.63164
64	8.41937	2.8323424	0.4734	0.4708	6.918917	26.34875
65	8.35485	2.8273718	0.5221	0.5192	6.929335	26.34596
