Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1	11.18718	0.0339615	0.0718	0.0714	7.664387	0.22335
2	11.18440	0.0336045	0.0687	0.0684	7.664994	0.22095
3	11.18319	0.0333165	0.0717	0.0713	7.665302	0.21901
4	11.18296	0.0333572	0.0719	0.0715	7.665330	0.21929
5	11.18244	0.0331756	0.0719	0.0715	7.665481	0.21807
6	11.17879	0.0332038	0.0748	0.0744	7.666116	0.21828
7	11.17348	0.0332320	0.0779	0.0774	7.667048	0.21850
8	11.16931	0.0346851	0.0687	0.0684	7.667310	0.22834
9	11.16770	0.0354183	0.0748	0.0744	7.667357	0.23331
10	11.16856	0.0357004	0.0749	0.0745	7.667111	0.23522
11	11.16949	0.0364058	0.0718	0.0714	7.666717	0.23999
12	11.17111	0.0373936	0.0717	0.0713	7.666107	0.24669
13	11.17215	0.0378328	0.0779	0.0774	7.665779	0.24966
14	11.17353	0.0382690	0.0779	0.0774	7.665391	0.25262
15	11.17405	0.0385922	0.0809	0.0805	7.665193	0.25481
16	11.17504	0.0384949	0.0840	0.0836	7.665051	0.25414
17	11.17388	0.0390034	0.0778	0.0774	7.665088	0.25761
18	11.17139	0.0396596	0.0717	0.0713	7.665312	0.26209
19	11.17007	0.0400678	0.0687	0.0683	7.665413	0.26488
20	11.16989	0.0402060	0.0748	0.0744	7.665398	0.26582
21	11.17047	0.0409034	0.0748	0.0744	7.665067	0.27057
22	11.17070	0.0415852	0.0717	0.0713	7.664801	0.27522
23	11.17180	0.0415475	0.0657	0.0653	7.664619	0.27496
24	11.17307	0.0410133	0.0687	0.0684	7.664571	0.27130
25	11.17232	0.0404573	0.0808	0.0804	7.664886	0.26752
26	11.16983	0.0401871	0.0687	0.0683	7.665415	0.26569
27	11.16787	0.0400081	0.0687	0.0684	7.665821	0.26449
28	11.16764	0.0397506	0.0718	0.0714	7.665947	0.26274
29	11.16827	0.0392765	0.0748	0.0744	7.665990	0.25950
30	11.16955	0.0388056	0.0747	0.0743	7.665920	0.25629
31	11.16972	0.0384855	0.0718	0.0714	7.665994	0.25411
32	11.17012	0.0379646	0.0748	0.0744	7.666094	0.25057
33	11.17059	0.0375191	0.0748	0.0744	7.666158	0.24754
34	11.17059	0.0371396	0.0717	0.0713	7.666282	0.24496
35	11.17064	0.0369702	0.0717	0.0713	7.666328	0.24381
36	11.17220	0.0367726	0.0748	0.0744	7.666116	0.24246
37	11.17336	0.0365625	0.0688	0.0685	7.665980	0.24103
38	11.17567	0.0364653	0.0688	0.0685	7.665603	0.24036
39	11.17752	0.0361675	0.0718	0.0714	7.665374	0.23833
40	11.17937	0.0359073	0.0688	0.0685	7.665132	0.23655
41	11.18012	0.0357756	0.0688	0.0685	7.665042	0.23566
42	11.18047	0.0355531	0.0748	0.0744	7.665053	0.23415
43	11.18030	0.0353024	0.0687	0.0684	7.665166	0.23245
44	11.17954	0.0350486	0.0719	0.0715	7.665382	0.23074
45	11.17931	0.0346413	0.0778	0.0774	7.665555	0.22798
46	11.17660	0.0343593	0.0780	0.0775	7.666128	0.22609
47	11.17215	0.0341088	0.0748	0.0744	7.666997	0.22443
48	11.16891	0.0339866	0.0718	0.0714	7.667610	0.22362
49	11.16550	0.0338050	0.0688	0.0685	7.668273	0.22241
50	11.16411	0.0738321	0.0811	0.0807	7.655177	0.49892
51	10.84419	1.8555390	0.1693	0.1684	7.015246	15.50318
52	9.54964	2.7033118	0.2849	0.2833	6.833773	24.24883
53	8.48874	2.7423790	0.4068	0.4046	6.951037	25.37886
54	7.75940	2.7662190	0.5224	0.5195	7.034110	26.15948
55	7.26239	2.7648807	0.6502	0.6466	7.099778	26.52203
56	6.94726	2.7629111	0.7844	0.7800	7.142423	26.74420
57	6.75055	2.7664461	0.8968	0.8918	7.166851	26.93552
58	6.63101	2.7641445	0.9487	0.9435	7.183979	27.00482
59	6.57024	2.7774818	0.9578	0.9525	7.185390	27.19657
60	6.55261	2.7872445	0.9670	0.9617	7.182818	27.31594
61	6.59313	2.7934955	0.9699	0.9646	7.174263	27.35101
62	6.65738	2.7982016	0.9669	0.9616	7.163350	27.35040
63	6.71710	2.8023425	0.9670	0.9617	7.153354	27.34731
64	6.76522	2.8070660	0.9762	0.9708	7.144625	27.35969
65	6.80227	2.8126637	0.9823	0.9769	7.136941	27.39022
66	6.83543	2.8208575	0.9853	0.9799	7.128497	27.45164
67	6.87162	2.8165219	0.9975	0.9920	7.125886	27.37631
68	6.91142	2.8108851	0.9883	0.9829	7.123440	27.28438
69	6.92106	2.8047022	0.9852	0.9798	7.125228	27.21065
70	6.86183	2.8100739	0.9732	0.9678	7.130373	27.31506
71	6.79369	2.8244953	0.9763	0.9709	7.132182	27.52407
72	6.74301	2.8370530	0.9732	0.9678	7.132589	27.69983
73	6.70513	2.8459402	0.9794	0.9740	7.133128	27.82619
74	6.67522	2.8521388	0.9884	0.9830	7.133953	27.91734
75	6.65048	2.8566733	0.9944	0.9890	7.134927	27.98646
