Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
0.03916	19.45414	-0.0234
0.03993	19.45370	-0.0174
0.04121	19.45348	-0.0204
0.04241	19.45253	-0.0204
0.04547	19.45231	-0.0205
0.04819	19.45223	-0.0174
0.05040	19.45238	-0.0265
0.05211	19.45099	-0.0174
0.05349	19.44718	-0.0235
0.05464	19.44345	-0.0234
0.05588	19.43891	-0.0265
0.05947	19.43547	-0.0204
0.06493	19.43408	-0.0175
0.06634	19.43378	-0.0235
0.06698	19.43400	-0.0235
0.06679	19.43327	-0.0235
0.06608	19.43283	-0.0205
0.06534	19.43239	-0.0235
0.06474	19.43181	-0.0235
0.06475	19.43122	-0.0205
0.06488	19.43042	-0.0144
0.06511	19.42983	-0.0114
0.06596	19.42917	-0.0174
0.06596	19.42881	-0.0205
0.06572	19.42932	-0.0205
0.07675	19.42830	-0.0205
0.08318	19.42698	-0.0175
0.08391	19.42639	-0.0175
0.08249	19.42603	-0.0205
0.08073	19.42237	-0.0266
0.07834	19.41579	-0.0205
0.07716	19.41330	-0.0175
0.07729	19.41110	-0.0174
0.07887	19.40759	-0.0205
0.07844	19.40364	-0.0175
0.08140	19.39999	-0.0205
0.08054	19.39670	-0.0235
0.08069	19.39414	-0.0205
0.07860	19.39187	-0.0175
0.07682	19.39129	-0.0144
0.07525	19.39165	-0.0235
0.07373	19.39144	-0.0175
0.07180	19.39158	-0.0144
0.07042	19.39151	-0.0175
0.06918	19.39129	-0.0205
0.06923	19.39005	-0.0205
0.06759	19.38968	-0.0205
0.06632	19.38946	-0.0175
0.06526	19.39041	-0.0205
0.06459	19.39063	-0.0145
0.06310	19.39122	-0.0205
0.06208	19.39158	-0.0175
0.06096	19.39224	-0.0175
0.06473	19.39253	-0.0235
0.06502	19.39246	-0.0265
4.20687	19.25357	0.0582
16.82554	17.77255	0.1492
23.86899	16.23426	0.2551
24.69330	15.14149	0.3853
25.45912	14.31569	0.5125
25.96948	13.74188	0.6095
26.27062	13.41063	0.7064
26.49202	13.21506	0.7760
26.59177	13.12693	0.8366
26.68079	13.06438	0.9063
26.84724	13.02771	0.9305
26.91960	13.06110	0.9245
26.93853	13.14321	0.9366
26.90459	13.22300	0.9245
26.88082	13.27842	0.9305
26.95826	13.29733	0.9336
27.07937	13.30144	0.9336
27.09529	13.31700	0.9306
27.11243	13.32399	0.9336
26.94329	13.34195	0.9305
26.83338	13.31957	0.9275
26.82681	13.24831	0.9335
26.86563	13.17554	0.9305
26.90780	13.11748	0.9366
26.94259	13.07242	0.9367
26.96292	13.02771	0.9366
26.97910	12.98202	0.9336
26.98899	12.93931	0.9366
27.00761	12.90555	0.9335
27.03954	12.88399	0.9335
27.07827	12.87339	0.9366
27.11644	12.87000	0.9366
27.13547	12.86667	0.9335
27.12072	12.85645	0.9396
27.09831	12.84133	0.9336
27.10539	12.82748	0.9336
27.13118	12.81787	0.9487
27.16718	12.81527	0.9457
27.19511	12.81992	0.9336
27.18247	12.82276	0.9306
27.13753	12.81781	0.9366
27.13042	12.80892	0.9366
27.13875	12.80167	0.9336
27.15458	12.79799	0.9366
27.16784	12.79751	0.9366
27.16495	12.79920	0.9335
27.13780	12.79944	0.9335
27.10989	12.79642	0.9335
27.10738	12.79153	0.9335
27.12159	12.78881	0.9335
27.14335	12.79050	0.9366
27.16870	12.79672	0.9245
27.18485	12.80421	0.9275
27.16950	12.80802	0.9275
27.13595	12.80760	0.9366
27.13111	12.80554	0.9396
27.14914	12.80639	0.9426
27.17288	12.81128	0.9366
27.19172	12.81787	0.9396
27.14462	12.82349	0.9336
27.07865	12.82440	0.9336
27.06056	12.82295	0.9306
27.07162	12.82307	0.9336
27.09648	12.82669	0.9336
27.11728	12.84042	0.9336
27.13252	12.85675	0.9396
27.12897	12.86413	0.9335
27.11123	12.86171	0.9305
27.10562	12.85590	0.9336
27.12025	12.85112	0.9336
27.14069	12.84858	0.9306
27.16407	12.84719	0.9367
27.18749	12.84616	0.9396
27.21070	12.84350	0.9336
27.25116	12.83927	0.9397
27.36107	12.83903	0.9397
27.43624	12.85058	0.9336
27.46890	12.86928	0.9336
27.53121	12.89137	0.9336
27.53208	12.96248	0.9397
27.48039	13.08447	0.9397
27.38518	13.21732	0.9366
27.24893	13.36832	0.9336
27.08977	13.54814	0.9336
26.96755	13.70934	0.9336
26.89348	13.82028	0.9306
26.86603	13.87663	0.9306
26.86145	13.90116	0.9306
26.83265	13.94248	0.9276
26.78630	14.00383	0.9337
26.73581	14.05821	0.9367
26.69301	14.10171	0.9366
26.65560	14.13461	0.9397
26.62675	14.15474	0.9336
26.60891	14.16064	0.9367
26.60289	14.15631	0.9337
26.60748	14.13894	0.9306
26.62044	14.11318	0.9337
26.63299	14.09251	0.9397
26.64285	14.07986	0.9337
26.65140	14.06666	0.9368
26.65895	14.05245	0.9397
26.66711	14.04357	0.9367
26.67039	14.04814	0.9398
26.66409	14.06134	0.9398
26.65413	14.06759	0.9338
26.64295	14.06828	0.9398
26.63073	14.07129	0.9337
26.62251	14.07423	0.9338
26.62622	14.06722	0.9368
26.63732	14.04826	0.9338
26.65163	14.02607	0.9338
26.66119	14.01045	0.9308
26.66595	14.00764	0.9368
26.66402	14.02063	0.9399
26.65969	14.03670	0.9338
26.65590	14.04789	0.9399
26.64929	14.05665	0.9369
26.64000	14.06847	0.9339
26.62648	14.08562	0.9369
26.61128	14.10547	0.9339
26.59726	14.12477	0.9400
26.58546	14.14232	0.9339
26.57204	14.15612	0.9370
26.55647	14.16447	0.9339
26.54687	14.17150	0.9370
26.53996	14.18443	0.9400
26.52894	14.20213	0.9370
26.51472	14.21797	0.9310
26.50233	14.22991	0.9370
26.49050	14.23858	0.9371
26.47963	14.24506	0.9401
26.46864	14.25211	0.9431
26.45810	14.26016	0.9340
26.44948	14.26827	0.9341
26.44023	14.27608	0.9371
26.43352	14.28344	0.9371
26.42796	14.29119	0.9280
26.42096	14.29900	0.9311
26.41443	14.30643	0.9402
26.40755	14.31374	0.9341
26.40070	14.32174	0.9372
26.39422	14.33044	0.9311
26.38883	14.33958	0.9372
26.38437	14.34778	0.9312
26.37976	14.35579	0.9282
26.38009	14.36393	0.9312
26.38113	14.37062	0.9343
26.37578	14.37561	0.9343
26.36097	14.38179	0.9343
26.33957	14.38766	0.9404
26.32559	14.38994	0.9374
26.32012	14.39429	0.9434
26.31791	14.40042	0.9465
26.32009	14.40339	0.9374
26.31588	14.40465	0.9405
26.31314	14.40705	0.9375
26.31364	14.41084	0.9375
26.31529	14.41539	0.9405
26.31341	14.41900	0.9345
26.31101	14.42089	0.9466
26.30663	14.42020	0.9436
26.30022	14.41830	0.9466
26.29516	14.41805	0.9406
26.29411	14.41919	0.9406
26.29308	14.41988	0.9437
26.29076	14.42001	0.9376
26.28762	14.42095	0.9377
26.28545	14.42374	0.9377
26.28272	14.42778	0.9377
26.28190	14.42980	0.9407
26.28417	14.42974	0.9408
26.28751	14.42810	0.9408
26.28791	14.42595	0.9468
26.28489	14.42374	0.9438
26.28123	14.42133	0.9378
26.27641	14.41900	0.9409
26.27300	14.41786	0.9348
26.27105	14.41868	0.9378
26.27041	14.42045	0.9379
26.27142	14.42266	0.9410
26.27408	14.42449	0.9440
26.27560	14.42677	0.9409
26.27477	14.42924	0.9380
26.27274	14.43101	0.9350
26.27061	14.43126	0.9410
26.26753	14.43006	0.9411
26.26468	14.42810	0.9411
26.26237	14.42664	0.9411
26.25970	14.42607	0.9381
26.25888	14.42563	0.9442
26.25986	14.42418	0.9442
26.26141	14.42272	0.9382
26.26267	14.42127	0.9412
26.26183	14.41963	0.9413
26.26033	14.41773	0.9443
26.26041	14.41432	0.9352
26.26297	14.40971	0.9414
26.26570	14.40806	0.9444
26.26700	14.40952	0.9475
26.26683	14.41141	0.9414
26.26677	14.41192	0.9384
26.26666	14.41167	0.9384
26.26989	14.40895	0.9354
26.27569	14.40408	0.9385
26.28051	14.40067	0.9416
26.28012	14.40042	0.9324
26.27545	14.40156	0.9416
26.27271	14.40149	0.9416
26.27080	14.39897	0.9447
26.27147	14.39385	0.9386
26.27475	14.38811	0.9447
26.27776	14.38375	0.9387
26.27921	14.37996	0.9387
26.27952	14.37579	0.9388
26.28147	14.37169	0.9388
26.28330	14.36980	0.9418
26.28403	14.37037	0.9449
26.28438	14.37068	0.9449
26.28345	14.36917	0.9388
26.28400	14.36557	0.9389
26.28397	14.36273	0.9389
26.28109	14.36204	0.9450
26.27460	14.36298	0.9390
26.27112	14.36235	0.9481
26.27188	14.35762	0.9390
26.27296	14.35232	0.9420
26.27380	14.34860	0.9452
26.27474	14.34475	0.9361
26.27387	14.34028	0.9422
26.27197	14.33567	0.9422
26.27236	14.33189	0.9422
26.27398	14.32949	0.9423
26.27496	14.32641	0.9393
26.27666	14.32061	0.9423
26.27960	14.31544	0.9363
26.28146	14.31229	0.9454
26.28060	14.31109	0.9363
26.28074	14.30964	0.9394
26.28324	14.30719	0.9455
26.28509	14.30530	0.9364
26.28535	14.30467	0.9425
26.28455	14.30486	0.9395
26.28253	14.30618	0.9426
26.27894	14.30901	0.9456
26.27444	14.31317	0.9457
26.26720	14.31777	0.9487
26.26275	14.32105	0.9457
26.26255	14.32092	0.9428
26.26525	14.31777	0.9367
26.26867	14.31437	0.9458
26.27182	14.31179	0.9368
26.27462	14.30971	0.9429
26.27660	14.30794	0.9429
26.27690	14.30593	0.9399
26.27539	14.30240	0.9399
26.27389	14.29843	0.9460
26.27335	14.29471	0.9369
26.27456	14.29062	0.9400
26.27830	14.28502	0.9522
26.28159	14.27853	0.9431
26.28197	14.27262	0.9461
26.28165	14.26733	0.9462
26.28118	14.26400	0.9432
26.27853	14.26173	0.9463
26.27698	14.25701	0.9403
26.27863	14.24808	0.9463
26.28171	14.23902	0.9434
26.28463	14.22978	0.9433
26.28992	14.21878	0.9434
26.29596	14.20948	0.9434
26.29971	14.20232	0.9434
26.30022	14.19541	0.9374
26.30172	14.18744	0.9405
26.30352	14.17953	0.9466
26.30536	14.17313	0.9436
26.30478	14.16748	0.9467
26.30469	14.16146	0.9497
26.30322	14.15662	0.9467
26.30173	14.15274	0.9407
26.30324	14.14929	0.9377
26.30352	14.14722	0.9408
26.30321	14.14521	0.9469
26.30181	14.14201	0.9378
26.30115	14.13681	0.9469
26.30364	14.12953	0.9440
26.30588	14.12214	0.9409
26.30757	14.11512	0.9440
26.30729	14.10986	0.9471
26.30552	14.10547	0.9471
26.30404	14.10115	0.9441
26.30214	14.09695	0.9441
26.30078	14.09163	0.9442
26.29863	14.08625	0.9472
26.29733	14.08042	0.9412
26.29700	14.07598	0.9443
26.29563	14.07429	0.9383
26.29214	14.07498	0.9413
26.29025	14.07323	0.9444
26.29104	14.06803	0.9444
26.29334	14.06178	0.9444
26.29422	14.05802	0.9505
26.29078	14.05658	0.9445
26.28722	14.05408	0.9415
26.28704	14.04776	0.9476
26.28957	14.03713	0.9506
26.29369	14.02419	0.9416
26.30048	14.01176	0.9417
26.30505	14.00176	0.9387
26.30746	13.99421	0.9417
26.30964	13.98690	0.9388
26.31042	13.97885	0.9419
26.31153	13.97074	0.9388
26.31267	13.96175	0.9419
26.31569	13.95239	0.9449
26.31816	13.94435	0.9389
26.32008	13.93743	0.9390
26.32254	13.93013	0.9421
26.32556	13.92209	0.9451
26.32865	13.91387	0.9421
26.32944	13.90664	0.9482
26.33077	13.89985	0.9421
26.33125	13.89381	0.9482
26.33167	13.88958	0.9483
26.33119	13.88659	0.9483
26.33165	13.88229	0.9483
26.33251	13.87569	0.9484
26.33444	13.86804	0.9454
26.33627	13.86126	0.9484
26.33906	13.85479	0.9516
26.34156	13.84950	0.9456
26.34276	13.84446	0.9516
26.34307	13.83999	0.9486
26.34377	13.83526	0.9487
26.34529	13.83066	0.9487
26.34527	13.82619	0.9457
26.34458	13.82153	0.9427
26.34521	13.81699	0.9488
26.34642	13.81152	0.9488
26.34838	13.80506	0.9398
26.35052	13.79947	0.9489
26.35237	13.79432	0.9459
26.35411	13.78898	0.9460
26.35481	13.78345	0.9460
26.35572	13.77768	0.9461
26.35606	13.77234	0.9491
26.35507	13.76762	0.9552
26.35327	13.76378	0.9462
26.35235	13.76068	0.9493
26.35406	13.75695	0.9523
26.35689	13.75242	0.9523
26.35913	13.74678	0.9464
26.36172	13.73971	0.9463
26.36482	13.73233	0.9464
26.36827	13.72533	0.9525
26.36993	13.71963	0.9465
26.36954	13.71455	0.9496
26.36932	13.70879	0.9496
26.37121	13.70160	0.9526
26.37434	13.69336	0.9467
26.37852	13.68532	0.9436
26.38294	13.67888	0.9437
26.38472	13.67424	0.9498
26.38491	13.66953	0.9528
26.38690	13.66378	0.9468
26.39162	13.65691	0.9530
26.39472	13.65035	0.9529
26.39547	13.64565	0.9500
26.39625	13.64207	0.9470
26.39634	13.63873	0.9500
26.39753	13.63496	0.9470
26.39946	13.63174	0.9502
26.40189	13.62902	0.9532
26.40329	13.62618	0.9532
26.40337	13.62327	0.9442
26.40331	13.62049	0.9503
26.40255	13.61839	0.9594
26.40266	13.61536	0.9473
26.40365	13.61147	0.9504
26.40370	13.60820	0.9474
26.40434	13.60400	0.9535
26.40721	13.59869	0.9475
26.40990	13.59436	0.9475
26.41063	13.59084	0.9445
26.41118	13.58726	0.9537
26.41123	13.58350	0.9477
26.41243	13.57979	0.9477
26.41314	13.57794	0.9477
26.41272	13.57732	0.9479
26.41078	13.57572	0.9478
26.40850	13.57214	0.9539
26.40647	13.56819	0.9509
26.40619	13.56443	0.9510
26.40737	13.56042	0.9540
26.41058	13.55739	0.9450
26.41305	13.55579	0.9481
26.41393	13.55493	0.9451
26.41301	13.55388	0.9481
26.41195	13.55295	0.9513
26.41032	13.55252	0.9542
26.40934	13.55190	0.9422
26.41114	13.55011	0.9483
