Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
0.02131	16.52957	-0.0316
0.02131	16.52896	-0.0317
0.02118	16.52796	-0.0316
0.02126	16.52742	-0.0256
0.02126	16.52708	-0.0286
0.02121	16.52621	-0.0318
0.02126	16.52520	-0.0286
0.02126	16.52413	-0.0317
0.02121	16.52326	-0.0317
0.02126	16.52205	-0.0286
0.02131	16.52044	-0.0287
0.02121	16.51856	-0.0287
0.02126	16.51708	-0.0227
0.02131	16.51608	-0.0226
0.02121	16.51567	-0.0286
0.02126	16.51520	-0.0317
0.02126	16.51426	-0.0256
0.02126	16.51366	-0.0317
0.02126	16.51292	-0.0286
0.02121	16.51238	-0.0317
0.02126	16.51138	-0.0256
0.02121	16.51004	-0.0257
0.02111	16.50916	-0.0287
0.02121	16.50943	-0.0256
0.02118	16.50809	-0.0286
0.02126	16.50688	-0.0287
0.02121	16.50621	-0.0225
0.02121	16.50319	-0.0317
0.02121	16.50004	-0.0226
0.02126	16.49910	-0.0225
0.02121	16.49836	-0.0286
0.02121	16.49823	-0.0226
1.07066	16.40377	0.0228
8.58219	15.58155	0.0955
23.58336	14.72576	0.1864
24.19035	14.12421	0.2592
24.64591	13.71219	0.3500
24.95075	13.40848	0.4076
25.18656	13.20577	0.4590
25.28339	13.08410	0.4833
25.37769	13.01561	0.4893
25.45157	12.96224	0.4893
25.49326	12.93919	0.4955
25.53756	12.92803	0.4893
25.57221	12.92385	0.4893
25.58036	12.92724	0.4954
25.59019	12.93258	0.4984
25.62540	12.93519	0.4893
25.67257	12.93628	0.4893
25.66254	12.93597	0.4924
25.63830	12.92658	0.4924
25.60487	12.91124	0.4984
25.54356	12.91270	0.4985
25.49811	12.92446	0.5015
25.47060	12.93027	0.5015
25.44467	12.92815	0.5076
25.44286	12.92033	0.5076
25.45940	12.90803	0.5136
25.45727	12.89719	0.5105
25.43310	12.89010	0.5136
25.40000	12.88623	0.5287
25.35119	12.88259	0.5711
25.33235	12.88054	0.6226
25.36559	12.88477	0.6802
25.47151	12.89767	0.7045
25.48853	12.92694	0.6984
25.41363	12.97699	0.7045
25.32485	13.01324	0.7014
25.27948	13.01987	0.6954
25.27457	12.99605	0.6985
25.28745	12.96891	0.7105
25.30534	12.94986	0.7075
25.32447	12.93719	0.7045
25.33728	12.92755	0.7014
25.33860	12.91761	0.6985
25.33637	12.90555	0.6954
25.34188	12.89386	0.7015
25.35449	12.88471	0.6984
25.36779	12.87981	0.6954
25.37979	12.88144	0.7045
25.38184	12.88483	0.7045
25.36988	12.88471	0.7045
25.36147	12.88005	0.7106
25.37118	12.87448	0.7167
25.38650	12.87152	0.7076
25.40067	12.87285	0.7105
25.40959	12.87660	0.7076
