Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
0.02416	13.72267	-0.0801
0.02414	13.72279	-0.0739
0.02414	13.72279	-0.0741
0.02419	13.72291	-0.0801
0.02409	13.72329	-0.0831
0.02414	13.72347	-0.0771
0.02414	13.72335	-0.0832
0.02414	13.72335	-0.0802
0.02414	13.72298	-0.0802
0.02414	13.72279	-0.0862
0.02414	13.72229	-0.0740
0.02414	13.72143	-0.0710
0.02414	13.72093	-0.0803
0.02414	13.72037	-0.0802
0.02409	13.72031	-0.0742
0.02414	13.71957	-0.0802
0.02414	13.71870	-0.0742
0.02414	13.71870	-0.0833
0.02414	13.71882	-0.0802
0.02409	13.71932	-0.0773
0.02409	13.71950	-0.0802
0.02414	13.71926	-0.0803
0.02409	13.71864	-0.0803
0.02414	13.71734	-0.0774
0.02414	13.71672	-0.0774
0.02414	13.71616	-0.0803
0.02414	13.71610	-0.0774
0.02419	13.71628	-0.0743
0.02414	13.71597	-0.0713
0.02409	13.71517	-0.0743
0.02414	13.71418	-0.0803
0.02414	13.71306	-0.0742
0.02419	13.71232	-0.0743
0.02414	13.71108	-0.0774
0.02414	13.71071	-0.0835
0.02414	13.71083	-0.0713
0.02418	13.71108	-0.0773
0.02409	13.71120	-0.0743
0.02414	13.71126	-0.0743
0.02414	13.71157	-0.0804
0.02409	13.71207	-0.0774
0.02409	13.71226	-0.0774
0.02414	13.71306	-0.0713
0.02409	13.71325	-0.0742
0.02414	13.71368	-0.0744
0.02414	13.71442	-0.0745
0.02414	13.71455	-0.0804
0.02414	13.71517	-0.0682
0.02414	13.71560	-0.0714
0.02414	13.71554	-0.0744
0.21280	13.71603	-0.0623
3.51831	13.69931	0.0438
3.95593	13.64318	0.2075
5.00201	13.59795	0.3195
8.95407	13.52508	0.3984
12.25335	13.32172	0.4498
13.46061	13.08617	0.5344
13.64901	12.91991	0.5739
12.32895	12.81599	0.6315
11.25574	12.75621	0.6467
11.35997	12.71792	0.6558
12.80082	12.69147	0.6648
13.37946	12.67070	0.6679
13.66901	12.65289	0.6678
13.34292	12.63965	0.6708
12.36944	12.63430	0.6678
11.93040	12.63262	0.6680
11.41245	12.63977	0.6648
11.22727	12.67768	0.6647
11.20008	12.72413	0.6618
11.19392	12.77891	0.6618
11.17147	12.82923	0.6587
11.17217	12.86922	0.6648
11.28493	12.89549	0.6558
11.48325	12.90615	0.6527
11.81327	12.90446	0.6557
12.20888	12.89719	0.6587
12.54217	12.88235	0.6587
12.91599	12.84949	0.6587
13.23697	12.79992	0.6648
13.37526	12.75507	0.6648
13.29582	12.71846	0.6769
12.98421	12.70087	0.6829
12.70615	12.70280	0.6890
12.58984	12.70629	0.7132
12.65181	12.70262	0.7162
13.27128	12.69876	0.7133
14.01111	12.69021	0.7162
14.72992	12.65975	0.7041
15.27275	12.59307	0.7042
15.61419	12.52136	0.6921
15.81544	12.46506	0.6799
15.95147	12.42151	0.6677
16.07245	12.38792	0.6648
16.17288	12.36165	0.6497
16.24154	12.34131	0.6466
16.28668	12.32580	0.6497
16.32400	12.31322	0.6495
16.37383	12.30333	0.6467
16.42817	12.29695	0.6556
16.47338	12.29206	0.6708
16.50247	12.28962	0.6860
16.52892	12.28950	0.6920
16.52016	12.29046	0.7040
16.48858	12.29195	0.7102
16.45968	12.29302	0.7223
16.41332	12.29391	0.7253
16.37325	12.29421	0.7283
16.39545	12.29379	0.7283
16.47251	12.29296	0.7252
16.56035	12.29141	0.7163
16.63209	12.28879	0.6980
16.68388	12.28343	0.6951
16.71745	12.27825	0.6891
16.72667	12.27551	0.6738
16.71633	12.27485	0.6647
16.70458	12.27557	0.6617
16.70846	12.27860	0.6587
16.72241	12.28194	0.6557
16.73179	12.28349	0.6557
16.74241	12.28617	0.6617
16.75126	12.29028	0.6677
16.75887	12.29528	0.6769
16.76661	12.30011	0.6860
16.77779	12.30482	0.6982
16.78953	12.30964	0.6980
16.75310	12.31501	0.7040
16.70186	12.31960	0.7102
16.67059	12.32252	0.7162
16.66455	12.32473	0.7131
16.68333	12.32622	0.7163
16.70992	12.32496	0.7131
16.73521	12.32276	0.6981
16.75891	12.31918	0.6979
16.78018	12.31477	0.6950
16.80034	12.31119	0.6860
16.81672	12.30881	0.6768
16.83677	12.30732	0.6678
16.83936	12.30660	0.6648
16.82012	12.30553	0.6587
16.81801	12.30321	0.6466
16.82886	12.30023	0.6496
16.84721	12.29761	0.6557
16.86133	12.29492	0.6707
16.86326	12.29379	0.6708
16.84025	12.29415	0.6738
16.78520	12.29719	0.6889
16.76270	12.30339	0.6950
16.77530	12.31083	0.6980
16.79242	12.31668	0.7071
16.79194	12.32049	0.7164
16.77992	12.32347	0.7284
16.76103	12.32616	0.7253
16.72816	12.32866	0.7253
16.69939	12.33015	0.7133
16.69378	12.33021	0.7072
16.70139	12.32979	0.6889
16.71047	12.33051	0.6799
16.72480	12.33266	0.6676
16.74382	12.33546	0.6587
16.75779	12.33802	0.6527
16.75920	12.33993	0.6526
16.75356	12.34119	0.6466
16.75466	12.34274	0.6496
16.76161	12.34477	0.6526
16.76912	12.34691	0.6557
16.77938	12.34912	0.6647
16.78471	12.35079	0.6768
16.77171	12.35240	0.6889
16.76473	12.35401	0.6981
16.76111	12.35622	0.7133
16.75812	12.35849	0.7224
16.74675	12.36112	0.7224
16.72635	12.36344	0.7253
16.71773	12.36529	0.7254
16.71502	12.36589	0.7193
16.71372	12.36565	0.7133
16.71332	12.36529	0.6951
16.71098	12.36559	0.6890
16.69753	12.36691	0.6770
16.67297	12.36905	0.6588
16.67098	12.37216	0.6589
16.67854	12.37556	0.6498
16.67695	12.37819	0.6406
16.67651	12.38046	0.6498
16.68858	12.38267	0.6436
16.71199	12.38452	0.6528
16.73550	12.38542	0.6618
16.74867	12.38518	0.6739
16.72847	12.38452	0.6861
16.69400	12.38482	0.6951
16.67614	12.38721	0.7103
16.67137	12.39025	0.7194
16.67068	12.39276	0.7224
16.67198	12.39479	0.7224
16.67807	12.39599	0.7315
16.68985	12.39736	0.7225
16.70202	12.39796	0.7195
16.71078	12.39856	0.7043
16.71522	12.39987	0.6982
16.72626	12.40208	0.6831
16.72518	12.40495	0.6771
16.69082	12.40878	0.6619
16.65276	12.41296	0.6559
16.63181	12.41649	0.6467
16.63829	12.41900	0.6468
16.66000	12.41918	0.6590
16.72389	12.41792	0.6620
16.81242	12.41523	0.6620
16.84948	12.40919	0.6711
16.86861	12.39814	0.6831
16.89184	12.38333	0.6832
16.91375	12.36792	0.6953
16.92972	12.35318	0.7105
16.94042	12.34250	0.7226
16.95011	12.33683	0.7195
16.93835	12.33397	0.7256
16.85361	12.33480	0.7287
16.78365	12.34089	0.7226
16.79077	12.34214	0.7166
16.77895	12.35187	0.7075
16.75591	12.38739	0.6894
16.74244	12.43813	0.6802
16.72708	12.48727	0.6711
16.70777	12.52592	0.6652
16.68588	12.55141	0.6622
16.65862	12.56461	0.6561
16.66804	12.56893	0.6531
16.70326	12.56377	0.6531
16.73345	12.55219	0.6560
16.77375	12.53659	0.6622
16.85633	12.50033	0.6682
16.92022	12.45363	0.6803
16.96076	12.41535	0.6955
16.99281	12.38637	0.7015
17.01442	12.36291	0.7106
17.02585	12.34703	0.7167
17.01993	12.33844	0.7227
16.98063	12.33773	0.7228
16.93256	12.34506	0.7196
16.89149	12.34966	0.7168
16.89417	12.34465	0.7137
16.88952	12.33922	0.7047
16.87790	12.35198	0.6925
16.85947	12.38410	0.6805
16.84089	12.42294	0.6683
16.82515	12.45464	0.6563
16.81494	12.47619	0.6502
16.81431	12.48625	0.6563
16.82272	12.48553	0.6503
16.83883	12.48020	0.6531
16.86565	12.47535	0.6594
16.91208	12.46769	0.6624
16.95825	12.44184	0.6774
17.00120	12.41254	0.6866
17.03519	12.38482	0.6956
17.06425	12.36267	0.7047
17.08494	12.34787	0.7169
17.07369	12.33952	0.7290
17.01039	12.33880	0.7200
16.95322	12.34482	0.7260
16.94585	12.34315	0.7230
16.92936	12.34357	0.7169
16.90385	12.36106	0.7018
16.88520	12.39497	0.6929
16.86957	12.43400	0.6838
16.84907	12.47811	0.6716
16.82952	12.51921	0.6685
16.81465	12.55081	0.6595
16.81254	12.57139	0.6595
16.82038	12.57962	0.6566
16.84549	12.57638	0.6565
16.87702	12.56743	0.6565
16.88798	12.55333	0.6655
16.92429	12.52478	0.6718
