Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
0.01456	17.03982	-0.0103
0.01456	17.04057	-0.0012
0.01454	17.03676	-0.0011
0.01452	17.02313	-0.0042
0.01449	17.01019	-0.0072
0.01451	16.99691	-0.0073
0.01448	16.97058	-0.0012
0.01447	16.93788	-0.0072
0.01445	16.91866	-0.0072
0.01447	16.91445	-0.0012
0.01445	16.91696	-0.0042
0.01442	16.92083	0.0019
0.01447	16.92375	-0.0042
0.01450	16.92314	-0.0042
0.01442	16.92029	-0.0043
0.01445	16.91967	0.0019
0.01447	16.91567	-0.0012
0.01451	16.90840	-0.0073
0.01449	16.90318	-0.0042
0.01446	16.89944	0.0048
0.01445	16.89958	-0.0012
0.01442	16.90297	-0.0042
0.01442	16.90834	-0.0103
0.01445	16.91506	-0.0073
0.01442	16.92117	-0.0103
0.01445	16.92524	-0.0043
0.01447	16.92993	-0.0042
0.01447	16.93564	-0.0073
0.01446	16.94094	-0.0103
0.01447	16.94631	-0.0072
0.01446	16.95154	-0.0073
0.01448	16.95657	0.0048
0.01443	16.96194	-0.0043
0.01446	16.96670	-0.0012
0.01444	16.97140	-0.0042
0.01447	16.97568	-0.0012
0.01448	16.98004	-0.0012
0.01448	16.98378	-0.0042
0.01439	16.97609	-0.0073
0.01443	16.96140	-0.0042
0.01442	16.95895	-0.0073
0.01443	16.96222	-0.0042
0.01448	16.96426	-0.0042
0.01442	16.96643	-0.0042
0.01444	16.97078	0.0019
0.01442	16.97500	-0.0073
0.01444	16.97874	-0.0042
0.01439	16.98160	-0.0042
0.01439	16.98174	-0.0102
0.01431	16.97963	-0.0073
0.01442	16.97589	-0.0103
0.01439	16.97249	-0.0012
0.01444	16.97201	-0.0073
0.01439	16.97242	-0.0042
0.01439	16.97214	-0.0012
0.01439	16.97269	-0.0042
0.01439	16.97500	-0.0011
0.01439	16.97643	-0.0042
0.01435	16.97650	-0.0011
0.01435	16.97725	-0.0042
0.01439	16.97779	-0.0042
0.01435	16.97772	-0.0012
0.01444	16.97718	-0.0011
0.01435	16.97541	0.0080
0.01435	16.97323	-0.0011
0.01442	16.97317	-0.0011
0.01435	16.97527	-0.0011
0.01435	16.97813	0.0019
0.01435	16.98024	-0.0041
0.01435	16.97874	-0.0072
0.01435	16.96398	-0.0041
0.01439	16.94495	-0.0011
0.01430	16.92015	-0.0071
0.01433	16.89958	-0.0042
0.01437	16.88424	-0.0041
0.01437	16.87488	-0.0071
0.01437	16.85684	-0.0011
0.01445	16.81437	0.0080
0.03356	16.09435	0.0384
8.19028	14.94734	0.0868
10.47007	14.12715	0.1171
19.27585	13.58134	0.1322
12.42127	13.29985	0.1230
9.62824	13.10481	0.0989
9.61800	12.93100	0.0928
9.90097	12.83038	0.1049
9.86205	12.80119	0.1019
9.90214	12.78639	0.1110
18.79460	12.77450	0.1625
19.72568	12.71262	0.2776
19.07646	12.63111	0.4169
19.14974	12.56047	0.5290
19.30457	12.48673	0.6017
19.39453	12.43526	0.6138
19.42391	12.39354	0.6139
19.45527	12.35294	0.6077
19.47658	12.32753	0.6078
19.50574	12.31906	0.6108
19.54313	12.31858	0.6138
19.59303	12.32520	0.6260
19.65721	12.34727	0.6229
19.66534	12.37622	0.6260
19.69594	12.37986	0.6138
19.60098	12.37288	0.6108
19.55837	12.36028	0.6229
19.60270	12.34650	0.6350
19.64685	12.34870	0.6381
19.67622	12.36482	0.6351
19.68341	12.37419	0.6168
19.66300	12.36106	0.6078
19.65951	12.33641	0.6078
19.68195	12.32431	0.6108
19.72005	12.32735	0.6230
19.75618	12.33230	0.6290
19.77380	12.34214	0.6502
19.77942	12.34900	0.6866
19.82932	12.34411	0.7654
19.82691	12.34518	0.8532
19.85048	12.34500	0.9350
19.86680	12.35216	0.9774
19.85709	12.40364	0.9803
19.80609	12.52460	0.9834
19.73351	12.61308	0.9803
19.73423	12.62757	0.9804
19.75300	12.58604	0.9835
19.78148	12.53162	0.9804
19.81625	12.48164	0.9865
19.85879	12.44669	0.9895
19.87301	12.43263	0.9834
19.84086	12.41894	0.9683
19.83419	12.39037	0.9804
19.86094	12.36452	0.9926
19.88931	12.35491	0.9926
19.90789	12.36225	0.9895
19.90684	12.36547	0.9865
19.89777	12.35479	0.9895
