Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
0.03029	15.12079	0.0456
0.03031	15.12066	0.0455
0.03028	15.12066	0.0455
0.03026	15.12040	0.0455
0.03023	15.12047	0.0485
0.03021	15.12034	0.0486
0.03023	15.12027	0.0545
0.03018	15.12021	0.0424
0.03018	15.12021	0.0425
0.03018	15.12027	0.0454
0.03018	15.12021	0.0455
0.03013	15.11989	0.0454
0.03013	15.11963	0.0485
0.03009	15.11963	0.0455
0.03013	15.11950	0.0484
0.03013	15.11950	0.0424
0.03008	15.11950	0.0453
0.03004	15.11963	0.0454
0.03004	15.11950	0.0454
0.03004	15.11931	0.0515
0.03004	15.11950	0.0484
0.02999	15.11931	0.0485
0.03001	15.11924	0.0454
0.02994	15.11898	0.0484
0.02994	15.11898	0.0515
0.02996	15.11886	0.0454
0.02994	15.11879	0.0514
0.02991	15.11873	0.0453
0.02989	15.11879	0.0515
0.02989	15.11879	0.0484
0.02987	15.11873	0.0423
0.02989	15.11879	0.0454
0.02982	15.11886	0.0393
0.02979	15.11815	0.0454
0.02982	15.11782	0.0453
0.02979	15.11744	0.0423
0.02979	15.11744	0.0424
0.02979	15.11737	0.0454
0.02974	15.11699	0.0454
0.02974	15.11641	0.0514
0.02974	15.11615	0.0484
0.02974	15.11621	0.0484
0.02971	15.11628	0.0419
0.02964	15.11641	0.0454
0.02971	15.11653	0.0514
0.02964	15.11641	0.0513
0.02971	15.11628	0.0393
0.02964	15.11628	0.0484
0.02964	15.11621	0.0484
0.02960	15.11615	0.0423
0.02960	15.11634	0.0484
0.02960	15.11634	0.0484
0.02960	15.11634	0.0515
0.02955	15.11628	0.0484
0.02960	15.11621	0.0484
0.02960	15.11621	0.0485
0.02957	15.11615	0.0454
0.02955	15.11634	0.0484
0.02950	15.11583	0.0454
0.02949	15.11563	0.0453
0.02950	15.11544	0.0423
0.02949	15.11537	0.0454
0.02945	15.11531	0.0423
0.02949	15.11531	0.0484
0.02945	15.11512	0.0485
0.02940	15.11537	0.0484
0.02944	15.11537	0.0515
0.02940	15.11518	0.0454
0.02944	15.11525	0.0454
0.02940	15.11525	0.0484
0.02940	15.11537	0.0424
0.02935	15.11518	0.0484
0.02935	15.11525	0.0423
0.02935	15.11518	0.0453
0.02935	15.11499	0.0424
0.02935	15.11492	0.0453
0.02930	15.11492	0.0454
0.02930	15.11467	0.0484
0.02930	15.11467	0.0484
0.02925	15.11454	0.0484
0.02930	15.11460	0.0424
0.02930	15.11441	0.0484
0.02930	15.11421	0.0515
0.02927	15.11454	0.0423
0.02925	15.11467	0.0454
0.02922	15.11447	0.0484
0.02920	15.11441	0.0515
0.02920	15.11454	0.0423
0.02922	15.11441	0.0424
0.02920	15.11428	0.0484
0.02918	15.11389	0.0423
0.02912	15.11409	0.0484
0.02913	15.11396	0.0424
0.02915	15.11376	0.0454
0.02915	15.11376	0.0485
0.02913	15.11421	0.0515
0.02915	15.11409	0.0515
0.02910	15.11396	0.0515
0.02915	15.11383	0.0455
0.02912	15.11376	0.0485
0.02910	15.11376	0.0484
0.02912	15.11389	0.0454
0.02910	15.11376	0.0484
0.02912	15.11376	0.0454
0.02910	15.11396	0.0485
0.02912	15.11402	0.0454
0.02907	15.11441	0.0484
0.02900	15.11512	0.0454
0.02892	15.11557	0.0424
0.02888	15.11576	0.0485
0.02887	15.11608	0.0424
0.02925	15.11647	0.0454
0.02971	15.11699	0.0484
0.02994	15.11763	0.0425
0.03004	15.11853	0.0485
0.03004	15.11847	0.0485
0.03013	15.11531	0.0545
0.03026	15.11260	0.0485
0.03028	15.11118	0.0454
0.03031	15.11086	0.0515
0.03038	15.11106	0.0484
0.03048	15.11176	0.0455
0.03057	15.11170	0.0454
0.03067	15.11209	0.0455
0.03087	15.11228	0.0454
0.03131	15.11254	0.0455
0.03170	15.11299	0.0425
0.03209	15.11363	0.0485
